Var1	Freq
1	来氟米特;甲氨蝶呤;	245
2	甲氨蝶呤;	182
3	尼美舒利;来氟米特;甲氨蝶呤;	127
4	来氟米特;甲氨蝶呤;美洛昔康;	124
5	甲氨蝶呤;美洛昔康;	101
6	甲氨蝶呤;青霉胺;	100
7	来氟米特;	80
8	尼美舒利;甲氨蝶呤;	78
9	尼美舒利;甲氨蝶呤;青霉胺;	56
10	甲氨蝶呤;美洛昔康;青霉胺;	54
11	甲氨蝶呤;羟基氯喹;	48
12	正清风痛宁;甲氨蝶呤;	47
13	塞来昔布;甲氨蝶呤;	45
14	甲氨蝶呤;白芍总甙;	43
15	双氯芬酸钠;来氟米特;甲氨蝶呤;	36
16	正清风痛宁;甲氨蝶呤;美洛昔康;	35
17	强的松;来氟米特;甲氨蝶呤;美洛昔康;	34
18	来氟米特;洛索洛芬钠片;甲氨蝶呤;	34
19	来氟米特;甲基泼尼松龙;甲氨蝶呤;美洛昔康;	34
20	美洛昔康;	33
21	甲氨蝶呤;美洛昔康;羟基氯喹;	32
22	塞来昔布;来氟米特;甲氨蝶呤;	31
23	尼美舒利;来氟米特;甲氨蝶呤;青霉胺;	31
24	强的松;来氟米特;甲氨蝶呤;	30
25	来氟米特片;正清风痛宁缓释片;甲氨蝶呤片;醋酸泼尼松片;	30
26	尼美舒利;	29
27	来氟米特片;正清风痛宁缓释片;甲氨蝶呤片;	28
28	甲氨蝶呤;艾拉莫德;	28
29	白芍总甙;	27
30	来氟米特;美洛昔康;	26
31	尼美舒利;强的松;来氟米特;甲氨蝶呤;	25
32	来氟米特;甲基泼尼松龙;甲氨蝶呤;	25
33	来氟米特;甲基泼尼龙;甲氨蝶呤;美洛昔康;	25
34	来氟米特;甲氨蝶呤;青霉胺;	25
35	LEF;甲氨蝶呤;	24
36	来氟米特片;正清风痛宁缓释片;洛索洛芬钠片;甲氨蝶呤片;	24
37	洛索洛芬钠片;甲氨蝶呤;	24
38	尼美舒利;正清风痛宁;甲氨蝶呤;	23
39	来氟米特;甲氨喋呤;	23
40	洛索洛芬钠;甲氨蝶呤;	23
41	甲氨蝶呤;白芍总甙;美洛昔康;	23
42	甲氨蝶呤;艾拉莫德;青霉胺;	23
