	PANC754	AFF3	ARID4B	CACNA2D3	CHMP3	CIR1	COPS7B	DIS3L2	DNAH12	DOCK7	DRAM1	EIF4G3	EMC3	EXPH5	FAM24B	FBXO16	FRMD4B	FSTL1	GIGYF2	GPR89A	HPCAL4	HRH1	IFT172	INO80D	ITGA6	KCNJ13	KIAA1324	KPNA4	LMOD1	LRRFIP1	MAFK	MITD1	MTMR8	OSBPL9	PLEKHG5	PMVK	PPIE	PTPN4	RAD54L2	RNF103-CHMP3	RPRD2	RYR2	SDHB	SMARCA2	SMIM12	SNX27	SRSF11	SSB	SYTL1	THRB	TMC5	TMCC2
PANC754	1	0.0971095291929944	0.118740192178578	0.0553553926513649	0.0619715585274736	0.0444270039749962	-0.0891381884204496	-0.00165938317078664	0.134645659756315	0.0312824951799744	0.055741952851923	0.0446126965323972	-0.047771700847256	0.0665282058797948	0.0452123010673138	0.089624806314248	0.0613034070609168	0.0140273557784426	0.148489059391737	-0.0881327363280567	0.0467719833055674	-0.0104647821995733	0.101313630937446	0.166925813887198	-0.0123110100124832	0.120420279716097	0.0447557719290673	-0.0718499322919137	0.160387885709468	0.0368960971480761	0.0187097790285948	-0.0205393606354906	0.437763122895001	0.063075157947739	-0.0697593410631303	-0.0986783942685283	-0.0901787808118532	0.165069519045087	0.0799431411385922	0.00854490356406914	0.0896199385934827	0.157672689646582	-0.0622721650477714	0.169869642225519	-0.101422267594504	0.0347366780049226	0.0360521422665147	-0.0434223804299486	-0.0611846268039457	0.0801870360791922	0.0358084310162717	-0.0468775771226736
AFF3	0.0971095291929944	1	0.26112449447172	0.0999642097698684	-0.048541106226304	0.0483624524546075	-0.0888281541726346	0.0205115406917565	0.20329729878286	0.184692772924582	-0.0481489096178999	0.118201038763506	0.0288540828418985	-0.180572382362521	-0.131893230402628	0.2169868739856	-0.0421347816811285	0.192293964391567	0.35872408024769	0.117733912695499	0.109772957855783	-0.265526544354339	0.0962695927687749	0.124166083667973	-0.348873480155374	0.117561369143099	0.268955638824466	-0.277253725278333	0.326884696741051	-0.0139082332533289	-0.221613139975406	-0.219043790533493	-0.0536222301246526	0.0742449530614368	-0.355017409459019	0.10979367411109	-0.207160022363174	0.122074821357878	0.0842868970173843	-0.0807757374706203	0.148466890545384	0.128339548471124	-0.301082050142998	0.355467652605808	-0.352531528654901	0.318360909439545	0.00365680661367353	-0.105091067954777	-0.221168999979655	0.233460107272361	-0.0695454747725699	0.022703629414647
ARID4B	0.118740192178578	0.26112449447172	1	0.0661519509073594	0.205144424035916	0.264842587456983	-0.164738523184272	-0.145349700381189	0.252273745079376	0.216205688896281	-0.0319285997904547	0.375661494792015	-0.223759897627365	0.262086658822255	0.0184954405724841	0.149271849847358	0.265701252682242	0.0853772444246822	0.416040994749935	0.0949002138803723	0.120410029603814	-0.0538815700981116	0.0488298134250793	0.556716858415573	-0.00100436874353497	0.182566384955283	0.297228316909021	0.184536774647989	0.191771864366951	0.28240326225008	-0.112539019616458	0.0147285812998435	0.0464404439984343	0.143087801275482	-0.0487971371523554	-0.219117026151159	-0.338769010043265	0.510140907920899	0.225726156544995	0.00931405229064374	0.516346596886238	0.215228845799896	-0.433802950704632	0.296893314834484	-0.50917648680763	0.367521123820377	0.495209031652323	0.208775600597864	0.112213127205146	0.241869207823651	0.186555562204912	-0.108322908971982
CACNA2D3	0.0553553926513649	0.0999642097698684	0.0661519509073594	1	-0.0124500773030766	0.135296701997827	0.0261388740421823	-0.0205759304058458	0.0661958500610531	-0.0616222045773503	-0.0678000941323087	0.127949828139631	-0.139087346805951	-0.0934862850656025	0.0714579076841216	0.0333637203283099	0.127484502771511	0.0816789362539558	-0.00629623605602339	-0.171559441277727	0.37171731541113	0.142638862409144	0.0835050277732165	0.00473375731612235	-0.0474175143962683	0.00252726196516397	-0.0520395823514321	-0.000673878073023682	0.111427695802243	-0.146584793055991	-0.139395096037026	-0.0181861627305198	0.0352908773723189	-0.122360777992518	0.198716020688711	0.025806822644701	0.0431471238465749	0.134408672475422	-0.015041088171525	0.0696032720406621	0.0100349768021143	0.26711168533092	-0.22553754963728	0.148764526766943	-0.0796999386059894	-0.0158146849744575	0.0291152704921182	0.0269330241440489	-0.0538003325788863	0.016158632596	-0.256963900641398	0.42465748988607
CHMP3	0.0619715585274736	-0.048541106226304	0.205144424035916	-0.0124500773030766	1	0.0561672037550398	-0.222561084176596	-0.183221404964943	-0.0812681211233798	0.207794507390644	0.0465699564498813	0.111946042525333	-0.0972395786812866	0.258542945835202	0.0655690597581622	0.0403415451486405	0.196621752102515	0.198048483451486	0.316017527185921	-0.18617710695055	0.0605318135517773	0.268281275786204	-0.00316143667189579	0.133377343544014	0.206950184634863	0.133403141610113	0.247414088990356	0.224945167972534	0.189827854460929	0.367809949822007	0.103404887011346	-0.0884439324370115	0.0612295206694399	0.0405444105173188	0.0944788433924152	-0.194821119634489	-0.142296889372058	0.209109445828238	-0.183174765420991	0.0649751940894919	0.239306209269475	0.123476967218251	-0.16274983876328	0.146983847328734	-0.161260918625194	-0.0439296313417595	-0.0506562005904205	0.039190563071461	0.170052139880965	0.106795942741786	0.250569377156887	-0.110816831804123
CIR1	0.0444270039749962	0.0483624524546075	0.264842587456983	0.135296701997827	0.0561672037550398	1	0.0933924052069875	0.024059835843993	0.0746495933971559	-0.22999294826654	0.0265683463402631	0.0149956352163843	0.108675958939994	-0.0546570922135637	0.153213443916707	0.121957931600717	0.0457404034881238	-0.044933000823907	0.00308484748062811	0.060085229960054	0.138363884747146	-0.0513998819802461	0.024698863533462	0.132405372009547	-0.118161196268412	-0.0122145644836868	0.00569838630506544	-0.0597844481306192	0.0782384028592905	0.0825606252659305	-0.193873351171586	0.336080637319369	-0.0226871713863881	0.0763706802103344	-0.0624227208601006	0.141097785791394	0.156584491170517	0.12864618640603	-0.153289765112165	-0.0186617290489338	0.0809828580746123	0.0616891815795166	-0.0570751921810088	0.0695518694886262	-0.0917728409939687	-0.0593375862973594	0.233066949540586	0.498468590576542	0.0630274162437669	0.0377655350534789	-0.0575421420044765	0.0345252330925563
COPS7B	-0.0891381884204496	-0.0888281541726346	-0.164738523184272	0.0261388740421823	-0.222561084176596	0.0933924052069875	1	0.552049514917554	0.0860269503466366	-0.222031843694106	-0.158284058497574	-0.197884768644771	-0.0212856404582389	-0.141654021816557	0.0250976456040569	0.150549330203404	-0.198084663104521	-0.198574401921927	-0.0572832281160096	0.194833125148328	-0.0245341499238879	-0.137100673369924	0.243107018360977	-0.10369967412394	-0.251387979701823	-0.00688692167321332	0.0184897076141163	-0.147477427979307	-0.202374590141566	-0.176273354324131	-0.160856714227542	0.296435518371092	0.0494665551437746	-0.106870436291713	0.121971234787606	0.113947716598429	0.354813188419428	-0.149456334720566	0.0852703051740565	0.0294416658376383	-0.048265735373134	-0.0711092249476786	0.03237884358594	-0.286319341043783	0.0816126386212974	-0.141765171452805	0.123137242535558	0.192646014208082	0.141723739872191	-0.253765309411142	-0.00357858124469741	0.140960124475976
DIS3L2	-0.00165938317078664	0.0205115406917565	-0.145349700381189	-0.0205759304058458	-0.183221404964943	0.024059835843993	0.552049514917554	1	0.0917864749106129	-0.254214381266065	-0.111305585579391	-0.118496491938155	0.0108528955621799	-0.0832009611738356	-0.0813932224513107	0.195473675811947	-0.0467644289253709	-0.171513981839478	0.178817864651845	0.118030444522909	-0.148826494627034	-0.227638783392873	0.263443319008311	0.057691743263447	-0.150538903470726	0.126629666860691	0.0277329303761385	-0.332722544789144	-0.079240243291747	0.0161846897656555	0.0185022165349496	0.132879418386716	0.0985552349795248	0.00145418008214887	0.0455134107055635	0.131533044506968	0.205726982299524	-0.0488389341273228	0.111246013839903	-0.0410793809863354	0.000873960543323189	-0.0289178774147205	-0.0640574008660003	-0.166821080038662	-0.0594558322452413	-0.122974521184643	-0.0331279959710922	-0.0602375133371393	0.134987351067577	-0.197765078341329	0.0177849016238203	-0.000690032245432447
DNAH12	0.134645659756315	0.20329729878286	0.252273745079376	0.0661958500610531	-0.0812681211233798	0.0746495933971559	0.0860269503466366	0.0917864749106129	1	0.0372388422277409	0.00461275068644554	0.0708020561857645	-0.04376339548595	0.161965581726804	-0.0766330506672787	0.25671745768972	0.0827505453085859	-0.0166499282555758	0.0730496131036484	0.131934897296342	0.0629307966278154	-0.0309022971137252	0.298813637552604	0.173058202966433	-0.199649702930038	0.125648853538576	0.245506660324387	-0.0677885395003593	0.0911516574040605	-0.0520108273702041	-0.149120742253262	0.0901255615957727	0.102338218892369	0.0498890711447384	-0.0800489618741038	-0.0899145470570779	-0.107612043655602	0.208404851759974	0.149808434814364	0.0492712820597497	0.15369473332093	0.12747775848967	-0.184671491710203	0.0192569314467373	-0.255751150007009	0.161658187685062	0.232981189286848	0.0259020785170365	-0.0525783774643532	0.128142977938965	0.191787331701541	-0.0306142852442119
DOCK7	0.0312824951799744	0.184692772924582	0.216205688896281	-0.0616222045773503	0.207794507390644	-0.22999294826654	-0.222031843694106	-0.254214381266065	0.0372388422277409	1	-0.119750747579402	0.362143487215182	-0.26544634950037	0.0231022595117952	-0.124241024983902	-0.0338889489362534	0.0202974790345543	0.200811799835624	0.344327480797899	-0.119102161888075	0.11832216922992	0.115427590819237	0.0422433767890023	0.235699082029338	0.142624716873629	0.111850928544763	0.0707957513363376	0.23515318684058	0.0575501740283121	0.0213005436739715	-0.0449174070295057	-0.293639296612726	-0.0312491938973585	0.152241327694258	-0.0500318210796477	-0.364221554942845	-0.269483285650687	0.211497959485379	0.207702590327863	0.068704922771267	0.174613925458012	0.0780109199960419	-0.179744842528772	0.241374240720778	-0.236153148336721	0.328985142023107	0.172576561228409	0.0468638966234687	-0.265237410593292	0.102354002675947	-0.0554709286290291	0.0912722382432349
