					
Term	Count	Freq(%)	P-Value	Fold Enrichment	Benjamini
Alternative splicing	415	47.64638347	2.5244E-10	1.269098017	1.23191E-07
Splice variant	417	47.87600459	1.38522E-10	1.27222302	3.11674E-07
Alternative products	398	45.6946039	3.72753E-08	1.233381223	9.31881E-07
Pituitary	158	18.14006889	4.1045E-07	1.449208795	3.20146E-05
Adrenal gland	191	21.92881745	2.6667E-05	1.300196345	0.001039486
Olfactory Bulb	133	15.26980482	6.70298E-05	1.37534001	0.001306272
Kidney	287	32.95063146	6.46643E-05	1.195313738	0.001679913
Colorectal Adenocarcinoma	167	19.17336395	0.000135274	1.296805361	0.002108194
Cell	680	78.07118255	0.000396987	1.031933696	0.002181479
Appendix	208	23.88059701	0.00032176	1.229351318	0.003132752
Thymus	156	17.91044776	0.000318951	1.29067259	0.003548285
Cardiac Myocytes	372	42.70952928	0.000475	1.124007997	0.004109177
Cell part	680	78.07118255	0.000388116	1.032003299	0.004261
Testis	124	14.23650976	0.00078898	1.316874949	0.00558116
Dorsal root ganglia	101	11.59586682	0.000720311	1.372389316	0.005604686
Chronic myelogenous leukemia 	99	11.36624569	0.000865408	1.371117131	0.005611783
Occipital Lobe	138	15.84385763	0.00261201	1.253090466	0.013508155
Signaling by Rho GTPases	16	1.836969001	0.000304882	2.888995164	0.013928772
White blood cells monocyte	72	8.266360505	0.00165455	1.43988182	0.028321431
Testis Interstitial	183	21.01033295	0.008720455	1.170122869	0.037243129
