	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0600568705728149	1.06189693551516	0.0700828546677156	0.856940985888247	0.391477500069915	0.925609351007323	1.21825163113285
BRCA	0.0266161049744329	1.02697347706926	0.0829660570786992	0.320807157910199	0.748356534658958	0.872847538891376	1.2083147120324
CESC	-0.00607628516075597	0.993942138125986	0.124425190700379	-0.0488348470800251	0.961050911339595	0.778843479889576	1.2684460991861
CHOL	0.0950016581039838	1.09966067847634	0.290799502378389	0.326691267787547	0.743901405483918	0.621913108292899	1.94440926177992
COAD	0.161545294945916	1.17532569326644	0.11018779227975	1.46609067668564	0.14262358534696	0.94703539605327	1.45864715406532
ESCA	-0.0176173783259271	0.982536900359747	0.112407020198564	-0.156728452500622	0.875458862335771	0.788257008387435	1.22470051048889
GBM	0.0477550350911048	1.04891367680712	0.126211154655082	0.378374124074952	0.705152687841696	0.819046612785945	1.34329339040996
HNSC	-0.175954901836846	0.838655804320533	0.0728455009646776	-2.41545324703259	0.0157156399165731	0.727072224701747	0.967364086021906
KICH	-0.722515445406759	0.485529395897152	0.370825878133897	-1.94839542764023	0.0513676665091425	0.234729659748949	1.00429913515141
KIRC	-0.329184128633135	0.719510522060464	0.0589834897096367	-5.58095375932552	2.39203237720574e-08	0.640959091348938	0.80768866272916
KIRP	0.260513191053191	1.29759583039511	0.133335162222317	1.95382213297063	0.0507222558269275	0.999181410452024	1.685134372443
LIHC	-0.212520431880468	0.808543796082489	0.0814191008673022	-2.61020362073067	0.00904883438571576	0.689286043095998	0.948435089802672
LUAD	-0.113766801180079	0.892466053647919	0.0748850547733623	-1.5192190420958	0.128707369743012	0.770636246234488	1.03355592318134
LUSC	0.152944519413869	1.16526032782333	0.0724609988937649	2.11071502944778	0.0347968133731324	1.01098345133926	1.34307997801567
PAAD	-0.235602088622743	0.790094999181147	0.137420535440274	-1.71446056346609	0.0864441738781838	0.603540948636435	1.03431276559015
PCPG	-0.179544742203946	0.835650561258876	0.361459046340186	-0.496722226271155	0.619384946565408	0.411481402244922	1.69706785464055
PRAD	-0.467734747036425	0.626419661293932	0.402160398372581	-1.16305521112771	0.244807102520867	0.28480383217763	1.37779603966448
READ	0.296424758821113	1.34504135369275	0.245348986994544	1.20817600452414	0.226979569532397	0.831561168235885	2.1755900975771
SARC	-0.150934710384559	0.85990383961748	0.0780856853384064	-1.93293700030218	0.053243959140958	0.73787574087507	1.00211264909179
STAD	0.171096208699784	1.1866049052453	0.0877856837790479	1.94902176908964	0.0512928250677295	0.999039891334177	1.40938436329289
THCA	-0.395119878124824	0.673599284589486	0.315163982153133	-1.25369617246695	0.209952459677424	0.363189721543967	1.24930847236143
THYM	-0.0390272779573688	0.961724474909333	0.503936097723251	-0.0774448945683617	0.938269627299251	0.358178476176199	2.58227120600245
UCEC	-0.127602241631754	0.880203417799816	0.112175556992436	-1.13752269258051	0.255319843679403	0.706478652418197	1.09664751235521
