	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0163749361969061	0.983758404264896	0.0164441516780951	-0.995790875531683	0.319351764574326	0.952557428660083	1.01598136641813
BRCA	-0.0345778572206576	0.966013125661469	0.0145705521618337	-2.37313293529338	0.0176379145946482	0.938816147792299	0.993997984743543
CESC	-0.0113727186729338	0.988691706232013	0.0227645489636168	-0.499580232892387	0.61737067935101	0.945548199147781	1.03380376680215
CHOL	-0.0470561942136005	0.954033784905733	0.0476230140879023	-0.988097774045643	0.323104765821358	0.869014396890584	1.04737098257321
COAD	-0.0473497550889912	0.953753759017017	0.0335550087798733	-1.41110841006223	0.158212650585959	0.893046735759234	1.01858748978657
ESCA	0.0158800169305249	1.01600677448121	0.0284287355819554	0.558590334935768	0.57644133766456	0.960943868741126	1.07422483182501
GBM	-0.100669359046746	0.904231959581516	0.0405895204554432	-2.48018103976505	0.0131315690647455	0.835083668554759	0.979106007597625
HNSC	0.000874186387590702	1.00087456859988	0.0131411948779632	0.0665225952212799	0.946961769165507	0.975424925123494	1.02698821433455
KICH	0.157926511773836	1.17108013094385	0.0771579245090915	2.04679574753501	0.0406781433837064	1.00672225220271	1.36227114290042
KIRC	0.00259751599213989	1.00260089245965	0.0161559916236834	0.160777255438294	0.872268839696576	0.971350754518297	1.03485640473855
KIRP	-0.0436435464484986	0.957295127911906	0.0309550070002788	-1.40990265155183	0.158568429638122	0.900942136091419	1.0171729406503
LIHC	-0.00735288969691908	0.992674076662495	0.0175160790267226	-0.419779431555515	0.67464659199796	0.959173048325441	1.02734519511165
LUAD	-0.0481070404783103	0.953031768641191	0.0151309829958869	-3.17937311088033	0.00147593973931487	0.925183463515191	0.981718316266083
LUSC	0.0167222219104153	1.01686282087895	0.0126242603688151	1.32461003036052	0.185300527376098	0.99201120763303	1.04233701043869
PAAD	-0.0791625793058776	0.923889706887031	0.0439635151694626	-1.80064262379239	0.0717592263965566	0.847614381280164	1.00702891473201
PCPG	0.00585458851342802	1.00587176011128	0.0832667268545514	0.0703112603868132	0.94394592019724	0.85440906826027	1.18418452632944
PRAD	-0.0988636429084147	0.905866220885675	0.0854673618305423	-1.15674148342654	0.247377995743547	0.766150545505139	1.07106053106137
READ	0.0424302398979987	1.04334327010197	0.0869816673434572	0.48780669759362	0.625686766935646	0.879808775747081	1.23727474568861
SARC	0.02141695901499	1.02164794816279	0.0159359986510115	1.3439357949262	0.178969149767407	0.990231005287324	1.05406165269728
STAD	-0.0160666465039845	0.984061733595506	0.0252145295956042	-0.637197947440013	0.523995914498583	0.936611956556636	1.03391536777636
THCA	0.0851896860810136	1.08892360075981	0.0696561657180626	1.22300280531983	0.221328636728852	0.9499614349248	1.2482134165642
THYM	-0.0656996701740754	0.936412054533929	0.0696809751428922	-0.942863816692398	0.345750564589277	0.816872813017697	1.07344438681601
UCEC	-0.0273306485931374	0.973039454201407	0.017122032125443	-1.59622691938094	0.110438139533894	0.940927474745369	1.00624735151749
