	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0369400718980618	1.03763083572836	0.0609740506843654	0.605832669528281	0.544625873367645	0.920749863933553	1.16934880300133
BRCA	-0.113393209739601	0.892799533615231	0.0882604332700486	-1.28475700309168	0.198877211788055	0.750976829761351	1.06140559286879
CESC	-0.0912338404999967	0.912804235341832	0.104875381902506	-0.869926181387441	0.384340746552332	0.74320318059714	1.12110872747951
CHOL	-0.171562535320643	0.842347589896292	0.176860372803015	-0.970045084727531	0.33202401989684	0.595590161880288	1.19133845321426
COAD	-0.0213689163391571	0.978857781321115	0.0978748783331601	-0.218328918544538	0.827172844158485	0.807994398638317	1.18585296837163
ESCA	-0.0173588689192538	0.982790928223775	0.111690776489632	-0.155419001146126	0.876491005424868	0.78956843449062	1.22329866089704
GBM	-0.12172732333457	0.885389760717677	0.134282452162704	-0.906502088501325	0.364670159955038	0.680507732947486	1.15195609164988
HNSC	-0.152159717373927	0.858851096344347	0.0633976378615062	-2.40008496383295	0.0163912667868994	0.758496720181912	0.972483052418447
KICH	-0.262569557909075	0.769072867407441	0.378098707162214	-0.694447119059906	0.487401852876733	0.366546677152941	1.6136364404567
KIRC	-0.272723912985068	0.76130294447421	0.0878935665622256	-3.10288822779752	0.00191642004489148	0.640829314263974	0.904425188368267
KIRP	0.128682586838967	1.13732906365285	0.145338086197699	0.885401687923174	0.375940022367718	0.85540962800788	1.51216137471107
LIHC	-0.262517355152458	0.769113016179088	0.105208600781264	-2.49520812179841	0.0125883272113987	0.625801266745496	0.94524390264084
LUAD	-0.149976187863441	0.86072847196495	0.0793125138469374	-1.89095239312266	0.0586306995367208	0.736809530948556	1.00548848967433
LUSC	0.0511412392440494	1.05247153306979	0.0641585372768476	0.797107312833087	0.425388709623716	0.928107991218053	1.19349939705671
PAAD	-0.0645584846899986	0.937481284356415	0.0966134340252331	-0.668214367301523	0.503996765683323	0.775755926637406	1.13292226116546
PCPG	-0.405439084134127	0.666684016208443	0.420568427327811	-0.964026440858121	0.335032669764874	0.292369152367413	1.52022733543814
PRAD	-0.324125802284799	0.723159261569787	0.401792972587801	-0.806698534813148	0.419840188474536	0.329023679119803	1.58942760288004
READ	-0.00343567796733821	0.996570217220954	0.231601339269218	-0.0148344477548314	0.988164257267224	0.632948662700255	1.56908807361229
SARC	-0.0918055418800883	0.912282533043905	0.0995488696378734	-0.922215814343721	0.356416015747378	0.750573467666589	1.10883138819756
STAD	0.130544287759368	1.13944840239277	0.0805094786879801	1.6214772457452	0.104915326093716	0.973116578136549	1.33421081387975
THCA	-0.332395709257299	0.717203462645555	0.370145414352066	-0.898013851769994	0.369178164741181	0.347195453711699	1.4815309397971
THYM	-0.711872649502273	0.490724381714347	0.328675857843782	-2.16588055530571	0.0303203155488496	0.257672599664297	0.934559666501843
UCEC	-0.171615494845418	0.842302980749486	0.107799181404204	-1.59199256070349	0.111386376114583	0.681882442320464	1.0404642609144
