	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0392229441360094	1.04000232022463	0.0348811460265235	1.12447406705572	0.260811966024636	0.971277711599957	1.11358966972578
BRCA	-0.00448860291925597	0.995521455803329	0.0596051260613554	-0.0753056526486592	0.93997152409237	0.885757114322148	1.11888795804166
CESC	0.0119468129278016	1.01201846113566	0.0731658263156606	0.163284056634025	0.870294786395887	0.876818229947322	1.16806577543549
CHOL	-0.0647173560475427	0.937332357262535	0.108030999602703	-0.599062827202825	0.549130989109231	0.758468337617545	1.15837656550189
COAD	0.0100695145006725	1.01012038265766	0.0564164836911633	0.17848532630632	0.858341844081804	0.904380806041013	1.12822295723753
ESCA	-0.0725369081058391	0.930031420328727	0.0857252643577248	-0.846155548767376	0.397465975728921	0.786191137360617	1.10018849322378
GBM	0.0420226470009728	1.04291809745048	0.0893648425777198	0.470236905127719	0.638185769966747	0.875351966622821	1.24256093487296
HNSC	-0.0615465736858582	0.940309151056586	0.0285413878777124	-2.15639736755475	0.0310526500623252	0.889152367629554	0.994409205610002
KICH	-0.361725527308786	0.696473504566823	0.286688559795032	-1.26173687421431	0.207043483618065	0.397077112434379	1.2216149643824
KIRC	-0.261575886686066	0.769837452794517	0.0383568501081197	-6.81953512733033	9.13355794642864e-12	0.714084532025069	0.829943343044356
KIRP	-0.231087077491029	0.793670352203183	0.0617984634748307	-3.73936606992092	0.00018448490670077	0.703132561016409	0.89586610390473
LIHC	-0.0591919800849853	0.942525805602696	0.0365142953084964	-1.62106319141293	0.10500408708807	0.87742948678551	1.012451607344
LUAD	-0.163460330616589	0.849200185581171	0.0517522806488941	-3.15851453437505	0.00158575401859927	0.767288093892356	0.93985682943787
LUSC	0.0829099518489971	1.08644397187246	0.0472233545303088	1.75569805816704	0.0791399785634316	0.990400252346258	1.19180149764879
PAAD	-0.202468121168624	0.816712518023764	0.0628536939495043	-3.22126049315867	0.00127628087143393	0.722051294495727	0.923783867131705
PCPG	-0.0146132213093038	0.98549303360402	0.236530553415223	-0.0617815377265477	0.950736806157302	0.619895361322886	1.5667104157861
PRAD	-0.305453725401053	0.736788998656075	0.185575275706696	-1.64598287265286	0.0997672852865433	0.512131125516558	1.05999811667973
READ	0.235516548042356	1.26556232366287	0.136732869951772	1.72245743196516	0.0849866876131658	0.968046696613468	1.65451522191855
SARC	-0.163372643907579	0.849274652415564	0.0737325825721814	-2.21574557961052	0.0267089314055066	0.734999213207265	0.981317288882844
STAD	0.0954471922057443	1.10015072396685	0.0555800747739443	1.71729154006985	0.085925917009488	0.98660279955376	1.22676685692786
THCA	-0.358967435234025	0.698397094119193	0.227657369136988	-1.57678812065172	0.114844285949993	0.447012965338503	1.09115067994678
THYM	-0.0170402830217529	0.983104081434149	0.210713989620023	-0.0808692534011691	0.93554593208569	0.650488204794588	1.48579732546831
UCEC	0.0973698496481147	1.10226797166282	0.0687538072447033	1.41621029511229	0.156713942536341	0.963305060100116	1.26127717135357
