	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0339850295622546	1.0345691186596	0.0354118701558892	0.959707279300603	0.33720255864832	0.965199019996997	1.1089249357997
BRCA	-0.0545825320188877	0.946880357685318	0.0512401913172957	-1.06522888802064	0.286772363954553	0.856405361684443	1.04691359008637
CESC	0.144535813198048	1.15550307648327	0.0876773454091245	1.64849668433285	0.0992507905321729	0.973060883227182	1.37215192058087
CHOL	-0.177254064229186	0.837566961684291	0.130767407921797	-1.35549115063281	0.175261126150769	0.648201629685178	1.08225339644051
COAD	0.0213266213734784	1.02155565906535	0.0545088323089399	0.391250747266157	0.69561190092443	0.918045131430864	1.13673710457124
ESCA	0.23719654874808	1.26769025622337	0.0912215536948893	2.60022482780151	0.00931627017404228	1.06014489151615	1.51586693345793
GBM	0.0623510264193833	1.06433588917841	0.0608479264122649	1.02470256746194	0.305503551239323	0.944680297848759	1.19914735977119
HNSC	0.0408650308671133	1.04171149715931	0.0448414068280077	0.911323568055166	0.362124912043254	0.954065919863243	1.13740866403595
KICH	-0.0362121776324595	0.964435640101679	0.109678931633531	-0.330165302425218	0.74127506278975	0.777883169749566	1.19572725065872
KIRC	0.229664073949494	1.25817728440521	0.0499920313564101	4.59401364013679	4.34800939351714e-06	1.14074492612817	1.38769854919819
KIRP	-0.0241286764319652	0.976160092878338	0.0680081147972316	-0.354791137850323	0.7227460680202	0.854343336947642	1.11534612107198
LIHC	0.0148322241795735	1.01494276747475	0.0507002663573958	0.292547263460479	0.769868228523334	0.918936301482751	1.12097957125773
LUAD	0.00276140512886144	1.00276522131988	0.0482564192749535	0.0572235812426864	0.954367093820082	0.912269855330636	1.10223754869579
LUSC	0.0606114004630083	1.06248595240485	0.0521426156631675	1.16241580312249	0.245066607134146	0.959266596663624	1.17681195507477
PAAD	0.12058354580851	1.1281549896494	0.0624009211945129	1.93240009122034	0.0533101428005771	0.99828146603863	1.27492468203511
PCPG	-0.154410296998636	0.856920357022495	0.113922203961244	-1.35540124426636	0.17528975343355	0.685440409455045	1.07130027373695
PRAD	-0.18773393875297	0.828835198825828	0.190540065335405	-0.985272774114487	0.324490102312113	0.570532237160313	1.20408233237068
READ	0.0100634356002207	1.01011424225507	0.116395915864501	0.0864586658859724	0.931101812831914	0.804070467546503	1.26895691806704
SARC	-0.000870955499410785	0.999129423672242	0.0459425236103795	-0.018957502352222	0.984875007521219	0.913093816713372	1.09327167370468
STAD	0.0718460681258877	1.07448993308401	0.0463790562120183	1.54910586790401	0.121356272555861	0.981125191170785	1.17673934650601
THCA	0.130113567008432	1.13895772400151	0.14462279263941	0.899675387494736	0.368293025126557	0.857836379203827	1.51220527423502
THYM	0.467569114240715	1.59610951363721	0.343595043037839	1.36081449285991	0.173572320699821	0.81394311771368	3.12990616184481
UCEC	-0.0197062528359329	0.980486646180798	0.0763870989732255	-0.257978809259928	0.796423261570688	0.844152413725427	1.13883944144187
