	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.172588091519092	1.18837650189546	0.0679803154128388	2.53879509783059	0.011123494939916	1.04013355341345	1.3577474792758
BRCA	0.120912666037916	1.12852634938605	0.0907078745337443	1.33298973941822	0.182535170997481	0.94471545640532	1.34810086214171
CESC	0.08837629137702	1.09239910506216	0.0923033710828685	0.957454644832822	0.338337828418457	0.911617311460742	1.30903153081687
CHOL	-0.299256425389367	0.741369279152865	0.307643516928251	-0.972737629504998	0.330683718105087	0.405665383146156	1.35488121714742
COAD	-0.298959985486349	0.741589083167809	0.178384357121149	-1.67593162489753	0.093751586341228	0.52278400067382	1.05197245433072
ESCA	-0.143375170330109	0.866428949476731	0.127286322079835	-1.12639887764361	0.259996721655407	0.675128809564194	1.11193466173654
GBM	-0.0293946932192343	0.971033128630031	0.147801467452399	-0.198879576271468	0.842356946151196	0.726817222581875	1.29730736642088
HNSC	0.00395285331347657	1.00396067614224	0.0717434581297188	0.0550970557668052	0.956061141741384	0.872265228020072	1.15553963044917
KICH	0.782070567348442	2.1859938302294	0.56325137561261	1.38849295573906	0.164986988310823	0.724783823484167	6.59309558376945
KIRC	-0.662665769609876	0.515475362738072	0.0945602110632614	-7.00787109248887	2.41971582184365e-12	0.428270455470136	0.620437030376652
KIRP	-0.346120512550739	0.707427228109494	0.188766958451195	-1.83358631929341	0.0667154245260074	0.488655785460185	1.02414275643823
LIHC	-0.0202185743830741	0.97998445039912	0.0993407027442453	-0.203527595683788	0.838722678794604	0.8066037285834	1.19063362713524
LUAD	-0.0206887436188476	0.979523800159278	0.0709243386423954	-0.291701607866397	0.770514779764664	0.852401266473343	1.1256047038129
LUSC	0.0723638473707659	1.07504642572793	0.0770891704252499	0.938703153394731	0.347883173966572	0.924291158604986	1.25039042807108
PAAD	0.137052181738001	1.14688799356777	0.16124055478866	0.849985798657396	0.395332981810252	0.836128057755297	1.57314667004616
PCPG	-0.0639446721773483	0.938056898740712	0.419682165629925	-0.152364521092694	0.87889943838887	0.412092845541087	2.13532157812555
PRAD	-0.373038107940586	0.688638989730218	0.4868539771896	-0.766221753171198	0.443544367019629	0.265204416069767	1.78814389746776
READ	-0.395613161581409	0.673267091145532	0.350440109963721	-1.12890377081084	0.258938429907425	0.338760078280731	1.33808144784972
SARC	0.290066281860557	1.3365160718616	0.121250483026298	2.39228970162242	0.0167436203828682	1.05381793923023	1.69505105563979
STAD	0.0699995777481018	1.0725077283857	0.109744145935138	0.63784338701286	0.523575633332882	0.864940123529906	1.32988723283257
THCA	-0.2719225244914	0.761913288422752	0.36436910245367	-0.746283158095093	0.455496383084671	0.373038800343449	1.55617018535527
THYM	0.144827029342456	1.1558396266361	0.206810379992658	0.700288976537822	0.483746854579124	0.770655469566919	1.7335441001321
UCEC	0.146572194282237	1.15785851856582	0.111696085849338	1.31224109750759	0.189438799267752	0.930207023962609	1.44122363568535
