	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.015897819017253	1.01602486168292	0.040367698183571	0.393825254661739	0.69371005760161	0.938735600006933	1.09967760842368
BRCA	-0.0450566695088517	0.955943307460373	0.0644004632012289	-0.69963269313864	0.48415671995721	0.8425862416898	1.08455082917756
CESC	-0.0188392936047107	0.98133705671216	0.0718386018449862	-0.262244714135198	0.793132782403875	0.852450304026603	1.12971092194769
CHOL	0.219604341445404	1.24558380719035	0.215590180078746	1.01861940727166	0.308383687072704	0.816323426183248	1.9005690281226
COAD	0.112904915589513	1.11952547846744	0.0830835315498653	1.35893255237651	0.174167962493725	0.951290482113321	1.317512705639
ESCA	-0.0426219474192375	0.95827359940296	0.101528990865635	-0.4198007589344	0.67463101043387	0.785358393701137	1.16926017303401
GBM	0.158441238385755	1.17168307221359	0.0496377939808852	3.19194762053222	0.00141316957086686	1.06306149691493	1.29140339076896
HNSC	-0.0347234413361902	0.965872499731676	0.0442217856316373	-0.785211199417244	0.432329750187494	0.885682673805243	1.0533227230581
KICH	0.13400307011169	1.1433963299937	0.155484726932372	0.861840727095814	0.388775169829894	0.843039559679781	1.55076372446821
KIRC	0.180499191491989	1.19781515303695	0.060813014894779	2.96810134811266	0.0029964551281142	1.06322620191938	1.34944110505821
KIRP	-0.109750885967665	0.896057327949332	0.0713999222602344	-1.53712892806313	0.124261740244735	0.77904056437656	1.03065074103586
LIHC	-0.143536727115081	0.866288983307794	0.0535716075713817	-2.67934328690483	0.00737667239971357	0.779942446508126	0.962194846504782
LUAD	-0.0695469550700178	0.932816331900035	0.060554796286468	-1.14849622713633	0.250763769638515	0.828422346041845	1.05036556922558
LUSC	0.08622971895874	1.09005670623727	0.0518193467386042	1.6640448864343	0.0961034596318728	0.984782637893265	1.20658465847327
PAAD	0.15537924080402	1.16810086862811	0.0859730007014202	1.8073027524495	0.0707150871209392	0.986961009665854	1.3824858590429
PCPG	-0.531728716681751	0.587588317453327	0.222493253746767	-2.3898644463483	0.0168545922901896	0.379915096750963	0.908782077259624
PRAD	-0.221228111655318	0.801533820228207	0.250445086587237	-0.883339795840866	0.377052708300871	0.490617017092885	1.30948671282633
READ	0.000503520616646213	1.00050364740443	0.19011618200374	0.00264848899940725	0.997886813988405	0.689273352247125	1.45226497616098
SARC	-0.079281369615618	0.923779964260894	0.0368234919034262	-2.15301063309103	0.0313178428798901	0.859457341175337	0.992916555000678
STAD	0.116807216861781	1.12390273930695	0.0714075680720269	1.63578203285065	0.101885213650361	0.97711683875255	1.29273932996005
THCA	-0.0934166976632866	0.910813887191205	0.135850738110865	-0.687642179662293	0.491678139476341	0.697900140504917	1.18868286299551
THYM	-0.188970831870837	0.827810652030616	0.150019976530308	-1.25963779118883	0.207800056109915	0.616926996094423	1.11078049745528
UCEC	-0.0908269631200132	0.9131757103048	0.066357832160502	-1.36874518293978	0.171078941351642	0.801808141941071	1.0400117363138
