"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"10-207937S",-0.063661216453512,-0.126478415592082,-0.0651282623938987,0.00988401157096585,0.0524469644086331,-0.0258319319756891,0.00576145073912726,-0.0174629249660313,-0.0100413962468095,0.00525686801062317,0.00687198218469842,-0.00484922172588537,0.00193425348761035,-0.00450858737432223
"11-207511S",0.02582937970061,-0.0976674161709586,-0.0558826631623742,-0.0427593358661502,-0.0288846962798906,-0.0233554566542777,0.00375929933137999,-0.0386678221618517,0.000827587741972251,7.42617429737251e-05,0.00709509825805447,0.00114547646223442,-0.0031323106868776,0.0104900312863571
"12-207303S",0.127841602482071,0.165818094663778,0.00273660787846586,-0.0557568764534855,-0.111475365000522,0.00592362856135896,-0.00780159932156834,0.0166443788513414,-0.00598404209219556,0.00768030538367196,0.0128223984074988,0.0188078165828872,-0.00940051922482118,-0.00513729320041662
"13-207277S",0.0492798164224613,0.00258357234293799,0.00482641158889971,0.0793372724764209,-0.0493274995072415,-0.0152158254377011,0.0239883487682842,0.00140266085109786,-0.0190700686196525,0.0114528081968768,0.00899014998131193,-0.00505737835680254,0.00101178021343398,-0.00557929592610942
"14-207838S",-0.000575556206284215,-0.0819316043268023,0.100139536522665,-0.109413016313127,0.0522117742726412,-0.00291474591561689,0.00286713110565378,0.0173176601647164,-0.0113396853922178,0.0115542251570394,0.0157824861095971,-0.0201414620557861,0.000179375188252699,0.000334044450389301
"16-207781S",0.30408338376689,0.0755259863464906,-0.0388906056887868,-0.0098643972106162,0.0137540925746738,-0.0137219396179989,-0.0165879761639388,-0.03207919290594,-0.0276073315419307,0.0133165416312759,-0.0176372044621404,0.00249924153332101,0.00230604155184507,-0.00188486483612603
"17-207468S",0.742782244819587,-0.212830012683576,-0.0256165346185798,0.02948483223365,-0.00254729744879135,0.00780334275239612,0.0298367543229986,0.0258951533933176,0.0263569523331917,-0.00925962123272838,-0.00175294789457407,-0.0100062986079899,0.00592626453513289,0.000196064565685828
"18-LYS211",-0.010138284671213,0.120047271416387,0.0288726565415573,0.0322262350448277,-0.000849637075347582,-0.0240806737147257,-0.0093216810408474,-0.00637040636654107,0.0153581533490275,0.0159660705255972,-0.0126386956578251,-0.0141009093538729,-0.00442981383253907,0.00336289118298528
"19-YZL116",-0.0871122860132691,-0.120246579889855,-0.0749333394282384,0.0854875112400444,0.0121682181357029,0.00214654416358441,0.00480408542387548,-0.0159542626860976,-0.0129748227095523,0.00344735257360381,0.0134539140652083,-0.00842416034684046,-0.00477658921698507,0.00797375469947214
"21-CJX120",0.0806303708582875,-0.0745769962980575,0.195801020200436,0.0759841325221537,0.0127546030093556,0.0198564094458147,0.00662213075746286,-0.0240001082696314,0.0070327232825554,0.00307380022662095,0.0126834659517377,0.0131888513206316,-0.00382837378175614,-0.000985246359100415
"22-ZYH170",-0.0234324179319398,-0.0871656373880584,0.0184029158838211,0.01710704693185,-0.0780929227299014,0.0417208333824519,-0.0178906213905839,-0.00255782668343338,-0.00554359487449746,0.00475174250629115,-0.0157624285907458,0.000900776044388041,-0.00355931640500687,-0.000727590422172002
"23-HJT189",-0.074225090895147,-0.0990076640210685,0.113520904409893,0.0409905101023271,-0.0238209992781302,0.00983042311879224,0.00181710076224534,0.00611133761506952,-0.00225251402650648,0.00251975991080533,-0.018864151484545,-0.00110043198625764,-0.00588268886132,-0.00191423386911874
"25-207656S",0.0265922209520514,0.0804503325367704,-0.022480978898321,0.0012579920855133,0.0976996050757336,0.0547584809932058,0.0471532436905274,-0.0347722581455458,-0.00325363509489304,0.00439120020728361,-0.0172120655948602,0.0149351994911988,0.000631213642373534,-0.00255836469114178
"26-XJD190",0.0761228347586145,0.238268072382347,0.0195984111491793,0.0492315051924024,0.0267668673388972,0.0324113628155026,0.000563085882945177,0.015052920017621,-0.0104268551968319,-0.00673569598274957,0.0281711669360032,0.00674544347092772,0.00583000009188119,0.00972520635112376
"29-3",-0.275027982934533,-0.194028307697222,-0.0851256165882546,0.00519447096010943,0.00181476007055079,0.0360640962557245,-0.00687999715233711,0.0183705893627508,-0.00642929624624779,-0.00195826162397624,-0.000292553024442403,0.00850954149196985,0.00596300112883611,-0.00592794217022684
"3-207536S",0.117841423948657,0.0365883134586361,0.0835522267100598,0.0280060975302362,-0.0288986421858059,-0.0229860870409311,-0.0202332081108171,-0.0103027592183582,0.00144995065368024,-0.0180030084574648,0.000808075265265307,0.00532501460691985,0.00443289957337679,0.00409017793940648
"30-4",-0.0244297191526584,0.086987087402214,-0.0904184433490615,-0.0609165681715998,-0.0605318980051341,0.0211367700958513,0.0277695625878215,-0.00503579892948167,0.0213687118632059,0.00434215746309366,0.000646619532644181,-0.00376325578300227,0.012376756370044,0.00468907078049803
"31-5",-0.0279658212740858,-0.0485272986700837,-0.0260148704585173,-0.114491621450854,-0.0548975380043987,-0.0236680403872692,0.00259988878412976,-0.0221593939272837,0.0100104495234858,-0.0160403282510401,-0.00706588009139669,0.00229785059031311,0.00513914631938883,-0.00157098247675974
"32-6",-0.0446666358289031,0.104851922906229,-0.0902244751597523,0.0397541375125842,0.0306518984445694,0.0101151461700551,-0.0203860008251637,-0.0141271588643611,0.0296091434643426,-0.00905399411029105,-5.19306546518067e-06,-0.00810705813891411,-0.0153740500839437,-0.00436999538803569
"33-7",-0.0555550625977616,-0.057942735434613,0.0348624829717776,0.00873548861914783,0.0349325220153502,-0.0260251802180093,-0.00834441218565095,-0.0243793565032922,0.000347403554228325,-0.00673257713799172,0.00265892881838429,0.00363560536412907,-0.00118963697804864,-0.00301364167679001
"35-9",-0.162274584306854,0.00915147944494791,-0.0478157073837294,0.015896436012651,-0.0134928516187104,-0.00946283154395002,-0.00451308959817839,0.00316353312485297,0.00884296425206495,0.00210006207799349,-0.00703806479755842,0.00708688980916846,-0.000824972079371136,0.00284408686932258
"36-10",-0.197982295229747,-0.0452512573331856,-0.0271841476124039,0.0328625139820919,-0.013482318933512,0.0164181256876083,-0.00569375882566136,0.0159017502875935,0.00873778711952182,0.00688726004205349,-0.00644775700069029,-0.00897584115358588,0.000284517378571382,-0.00737049360438278
"37-11",-0.249079291636254,-0.146915455498284,-0.0271671127171521,0.0106591378187418,0.000109797853404149,0.00264804601659753,0.00670317396839531,0.0186210198776188,0.0147066550436565,0.00709850004267387,-0.00610390386689989,0.013259417752414,0.00675105748923946,0.0142167304532008
"38-13",-0.26748076733376,-0.0840526193214961,-0.0120827845975393,0.0319068592252283,-0.000772394565483294,-0.0107732554879565,0.0248277631361223,0.0185473354968659,-0.0167276617802932,0.00897842692985053,0.00359869017537242,-0.00369757273660918,0.000862148249377877,-0.00205556292636884
