	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.124351073833369	0.883069763768856	0.186933561832319	-0.66521534503747	0.505912767088671	0.612176816390897	1.27383492285805
BRCA	0.0528653893059081	1.05428771716568	0.199275500647004	0.265287951274822	0.790787645581533	0.713403988697566	1.5580549144331
CESC	0.44556096838731	1.561365827079	0.400632475705684	1.11214391095601	0.266076279350771	0.712009336187706	3.42392033652687
CHOL	-0.294368474603306	0.745001926571949	0.638399605173312	-0.461103785494026	0.644724145968677	0.213182065987181	2.60353922374169
COAD	0.269815821350055	1.30972320546603	0.234227227599919	1.15194046445755	0.24934553883997	0.827570392449649	2.07278424963781
ESCA	0.0386957777440542	1.03945421043907	0.322031176638939	0.120161588539112	0.904355145154831	0.552957723158256	1.95397407495886
GBM	0.0710762217167372	1.07366305919115	0.186304243678444	0.381506187478009	0.702827680822168	0.74522180054478	1.54685808148527
HNSC	-0.0841531986089843	0.919290411294523	0.209416266813922	-0.401846522666546	0.687796981373515	0.609813845719163	1.3858243236531
KICH	-18.2576880110437	1.17702813608641e-08	7388.03332633439	-0.00247125144197236	0.998028228635551	0	Inf
KIRC	0.601804404679001	1.82540960816123	0.18382797891194	3.27373671973669	0.00106135450181971	1.27316787786843	2.61718842855668
KIRP	-0.448308136155988	0.638707844726747	0.526263889407107	-0.85186946165175	0.394286548040931	0.22769086944826	1.79167356119296
LIHC	0.213331835396946	1.2377953274052	0.248870555236564	0.857199981710023	0.391334372594598	0.759993430605535	2.01598752153079
LUAD	0.0303078967601532	1.03077185641478	0.162458398460534	0.186557894497008	0.852007282381857	0.74968308640744	1.41725302229817
LUSC	0.191017172943248	1.21048023941126	0.1674815734533	1.14052650094377	0.254067018454149	0.871760386376486	1.68080866360031
PAAD	-0.520018166237293	0.594509747866943	0.310460473954068	-1.67498992581654	0.0939362082663261	0.323515092025153	1.09250495269425
PCPG	-0.271988629914284	0.761862923487335	0.866293580015444	-0.313968192987688	0.753545196447202	0.139471800266489	4.1616664664515
PRAD	0.169009221720608	1.18413105859941	0.648329212685947	0.260684261041429	0.794336004378477	0.332308114317615	4.2194767552368
READ	-0.270946080755734	0.762657617218808	0.425984832885978	-0.636046309255	0.524746238761578	0.330925828706645	1.75763446260787
SARC	0.141004757816673	1.15143012626516	0.29803698322338	0.473111612832924	0.636133552134657	0.642019247403612	2.06503362793661
STAD	0.294273179729144	1.34215050190167	0.183095902613948	1.60720789230118	0.108008771320183	0.937453431806491	1.92155461662094
THCA	0.174905759260939	1.19113395797825	0.578471319692181	0.302358566979622	0.762378736202756	0.383323042070825	3.70131703584568
THYM	0.945683048483762	2.57457133518202	0.803376956369581	1.17713489413146	0.239141669572792	0.533174320995916	12.4319894993437
UCEC	-0.102375386330789	0.90269063033608	0.250241696690576	-0.409106027031843	0.682461853437053	0.552755173747668	1.47416146025714
