	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.24284144916166	1.27486647694489	0.15299477168551	1.58725325373102	0.112455297938695	0.944572539323537	1.72065613425713
BRCA	-0.0636868872776473	0.938298746815319	0.18831701825863	-0.338189760365584	0.735220191783513	0.648702243223135	1.3571781930348
CESC	-0.220793853793426	0.801881968178735	0.26044838909826	-0.847745131224928	0.396579926215028	0.481300571022159	1.33599403284439
CHOL	-0.07969973046994	0.923393571717233	0.476857356327389	-0.167135369544811	0.86726353654199	0.362647868544709	2.35119453951399
COAD	0.189543025376781	1.20869712752001	0.203552038915504	0.931177237951725	0.351761890165474	0.811061301743138	1.80128030142143
ESCA	-0.131351312796941	0.876909650688265	0.290029796055482	-0.45288902927689	0.650628651095535	0.496684994601601	1.54820569139001
GBM	-0.10163543800653	0.903358821938462	0.197965140388025	-0.513400681591301	0.607671068909921	0.612846989586147	1.33158386194428
HNSC	-0.132921620935807	0.875533712932607	0.157505360701033	-0.843918075830513	0.39871518660957	0.642989776035796	1.19217958208854
KICH	1.87676902530069	6.53236482364487	0.850147799850822	2.20757970041211	0.0272735854998262	1.2343073419954	34.5714464601733
KIRC	1.06799110602113	2.90952869044905	0.173814123469108	6.14444375811008	8.02442156612234e-10	2.06953032214424	4.09047265940767
KIRP	1.36875165261676	3.93044107582065	0.319997536531157	4.27738184316768	1.89104272789335e-05	2.09922453161814	7.35908275547358
LIHC	0.201594437068701	1.22335176136217	0.186676069371155	1.07991580146186	0.280179676080515	0.848501067951275	1.76380394622422
LUAD	0.0311165482054965	1.03160572867685	0.158877191426538	0.195852834041847	0.844725355195498	0.755574399496273	1.40847860931814
LUSC	-0.153028588741309	0.858105189313446	0.148497839760086	-1.03051053798859	0.302770408003477	0.641414742921616	1.14800060967206
PAAD	0.501096738481667	1.65053047869591	0.210971471565681	2.37518719835854	0.0175400520480859	1.09155168968627	2.49575983148097
PCPG	1.7039883746514	5.49582314008925	0.872163609821445	1.9537485346359	0.0507309633944883	0.994593777281122	30.3682495075608
PRAD	0.365766755507594	1.44161895375616	0.652129420355727	0.560880622910823	0.57487892038984	0.401565981485624	5.1754015620056
READ	-0.136040535228993	0.872807252329813	0.407825153917067	-0.333575636329331	0.738699805577182	0.3924433242913	1.94115290684384
SARC	0.544705170002393	1.72409999103938	0.212764842630909	2.56012771314533	0.0104633703339345	1.136204976713	2.61618355844679
STAD	-0.260549708438097	0.770627848717239	0.172286083257731	-1.51230850171646	0.130455399254913	0.549787066981448	1.08017688462395
THCA	0.496634802395808	1.64318232288412	0.578240695266566	0.858872103712558	0.390411081604525	0.529037408183135	5.10369986030211
THYM	0.365365103516975	1.44104004090221	0.845438377649347	0.43216053727397	0.665624738653613	0.274813204679895	7.55639235713679
UCEC	0.286403785831107	1.33163004005287	0.210333639288967	1.36166419598546	0.173303885532839	0.881753648648021	2.01103626425601
