	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0503983297104143	1.05168993229927	0.157340305535435	0.320314172130954	0.748730180872481	0.772608364440323	1.43158133487315
BRCA	0.1279129425235	1.13645406156758	0.183478684207095	0.697154239339995	0.485706273258773	0.793185097405824	1.62828050889698
CESC	0.27100839299603	1.31128607595723	0.247196330917215	1.09632854173224	0.272935023211617	0.807762246847271	2.12868474567917
CHOL	0.684609550436256	1.98299742388359	0.575248727994591	1.19011049850195	0.234002964460131	0.64219888176451	6.12314797609832
COAD	-0.0445110279276944	0.956465052208022	0.204840866216385	-0.217295643930128	0.827977951639647	0.64018905470465	1.42899255988897
ESCA	0.00188675895148383	1.00188854000112	0.270608909445504	0.00697227210792848	0.994436976803554	0.589490333191421	1.7027940749278
GBM	0.144529783618718	1.15549610930681	0.237728618407189	0.607961231538239	0.543213186864628	0.725126072201125	1.8412953413332
HNSC	0.193603938974159	1.21361552194857	0.149792731977033	1.29247885674349	0.196191363405197	0.904851514746626	1.62773959164662
KICH	2.72860919403912	15.3115767718874	0.820075694537151	3.32726504664809	0.000877029125003985	3.06881154620572	76.3958228491645
KIRC	0.431535444105078	1.53961970958903	0.167778146739768	2.57205990464546	0.0101095397383515	1.10815483251828	2.13907730273414
KIRP	0.831538831998086	2.29685048921072	0.331372937249631	2.50937460041183	0.0120945149501714	1.19968594439571	4.39741933664551
LIHC	0.836971637604531	2.30936278909674	0.235211570241481	3.55837783296652	0.000373152279367347	1.45639678698849	3.66188427447196
LUAD	-0.0946906726391418	0.909654271908527	0.175000830387959	-0.541086990440115	0.588447624799934	0.64552844860668	1.28185039123754
LUSC	-0.012376243101832	0.987700027622239	0.146021398829084	-0.0847563658551049	0.932455083663175	0.741876177979149	1.31497866291158
PAAD	0.41906188717664	1.52053445346272	0.250178977140477	1.67504836723884	0.0939247422334542	0.931201214562343	2.48284150408225
PCPG	-17.0825943061397	3.81174251579923e-08	9945.18044445687	-0.00171767565219604	0.998629493790572	0	Inf
PRAD	-1.04828539530325	0.350538268699085	1.06392185678841	-0.985302998161566	0.324475260469335	0.0435635748520757	2.8206380729725
READ	0.275901304710186	1.31771780506864	0.39396543323992	0.700318559527445	0.483728383698257	0.608805306835861	2.85211083789561
SARC	0.577236845024117	1.78111014172184	0.213323427640831	2.70592335501003	0.00681147648655843	1.17249107549294	2.70565243800312
STAD	0.26779970049805	1.30708530525748	0.18401819209637	1.45528927030108	0.145589195822565	0.911312575087254	1.87473764976463
THCA	0.808232433757772	2.24393816989422	0.578216029675975	1.3978035756129	0.162172060346816	0.722491112802283	6.9693016579516
THYM	1.44332568477185	4.23475588752405	0.81409199712945	1.77292700316564	0.0762408034772933	0.858760413043576	20.882608413867
UCEC	-0.0237793486561317	0.976501152279734	0.248947374819161	-0.0955195798847261	0.923902138866391	0.59947126495535	1.59065922947061
