	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.362528243394544	1.43695780497924	0.164927973571844	2.19810039220924	0.0279419525872117	1.04005682922978	1.98532202785483
BRCA	0.140868247212214	1.15127295457068	0.168106491696909	0.837970299601487	0.402047384318636	0.828105744434827	1.60055575611361
CESC	-0.283855918793352	0.752875112046555	0.256160347698664	-1.10811810392789	0.267810813320719	0.4556998205282	1.24384717484004
CHOL	-0.126162619493998	0.881471490679695	0.503439372321091	-0.250601415841454	0.802122286963336	0.328609337543575	2.36448542420999
COAD	0.260948866391919	1.29816128406622	0.247250962316942	1.05540081197912	0.291242051691907	0.799591653389966	2.10760419059373
ESCA	-0.223647112589261	0.799597252392519	0.290098128565797	-0.770936074958292	0.440744822985521	0.452834303404423	1.41189782052059
GBM	-0.136955830816069	0.872008741195993	0.183130088100756	-0.747860890782282	0.454544069492609	0.609032158054481	1.24853710048953
HNSC	-0.243332443873246	0.784010830845463	0.148375589698974	-1.63997625463138	0.101010104233402	0.586171273877446	1.04862351717956
KICH	61	3.10429793570183e+26	562145956.096852	1.08512743600508e-07	0.999999913419357	0	Inf
KIRC	0.89805227409943	2.4548171408644	0.172461132807226	5.20727342724378	1.91635610221676e-07	1.75073318852275	3.44205915246654
KIRP	1.57862742566619	4.84829659467948	0.319266277041581	4.94454798137227	7.63207429048177e-07	2.59315951234165	9.06461008592353
LIHC	0.457391559249894	1.57994740616878	0.224533412726731	2.03707570154186	0.0416424564525601	1.01746491582619	2.45338563269526
LUAD	0.367474539106486	1.44408303041721	0.171286978708008	2.14537346550387	0.0319229988876609	1.03226790353441	2.02018854950231
LUSC	-0.344728849711534	0.708412413658352	0.15634452063638	-2.20493080479162	0.027458950479268	0.521441347691511	0.962424920936936
PAAD	-0.265480728809638	0.766837220609292	0.242200210587472	-1.09612096606233	0.2730258405519	0.477025934949229	1.23271981632271
PCPG	-0.539188526423483	0.583221329101225	1.10625663913792	-0.487399132667495	0.625975508078874	0.0667092472131561	5.09895003959087
PRAD	1.36790652792081	3.92712076623693	0.701201637750632	1.95080338418616	0.0510804391303092	0.993597158141131	15.521660248568
READ	-0.146444608248266	0.86377357694118	0.501818094663154	-0.291828074367401	0.770418078861296	0.323036486584073	2.30966105442575
SARC	0.0220869300087116	1.0223326519941	0.20292255733587	0.108844133933095	0.913326117924693	0.68685369333327	1.52166911451135
STAD	0.228383564083769	1.25656720705966	0.18069328590583	1.26392944230807	0.20625535306309	0.881818727442624	1.79057338738642
THCA	0.542928896515939	1.72104023622247	0.504130091622996	1.07696189046767	0.281497291480127	0.640729488094652	4.62282374969942
THYM	0.996396876053452	2.70850514598597	0.807581642226305	1.23380327629369	0.217276218292433	0.556307512668093	13.1869513870997
UCEC	0.649520396686532	1.91462234955572	0.227264621693451	2.85799167440432	0.00426331577303993	1.2264084310774	2.98903582895128
