	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.195486721019716	1.21590264786768	0.158029517047342	1.23702663067148	0.21607719611666	0.892038986171145	1.65734824599694
BRCA	0.052734216320246	1.0541494321679	0.175827396684971	0.299920361186543	0.764237902893885	0.746857295675783	1.48787597279132
CESC	0.152265885591062	1.16446981101855	0.246992087029908	0.616480825042076	0.537577223511417	0.717609514566194	1.88959303527811
CHOL	0.417267748498579	1.51780884957525	0.487205277408618	0.856451618746768	0.391748023138475	0.584126886529005	3.94390971718187
COAD	0.156897596753583	1.16987580868608	0.229801958826239	0.682751346224242	0.494763978357065	0.745644774242689	1.83547106480956
ESCA	-0.536411994752791	0.584842911738523	0.290616087673132	-1.84577529429863	0.0649248392656623	0.330876839178698	1.03374183656918
GBM	0.362071219392118	1.43630123081839	0.185812657207009	1.9485821086383	0.0513453504696627	0.997887338212773	2.06732879219132
HNSC	0.193936256449646	1.21401889461522	0.142763534691333	1.35844392525691	0.174322864306869	0.91770881850264	1.60600164972536
KICH	1.09952329940372	3.00273427749579	0.804942654002075	1.36596476026836	0.17195002442867	0.619938306176852	14.5440490632886
KIRC	0.801222178010278	2.22826259852009	0.157317963842426	5.0930113665392	3.52420561349693e-07	1.63703165394201	3.03302272500798
KIRP	0.945685522347922	2.57457770432965	0.302252413070814	3.12879395317304	0.0017552534518535	1.42373212166997	4.65568645585973
LIHC	-0.0113840492597904	0.988680503838227	0.293171422743008	-0.038830692136626	0.969025374494764	0.556554889819942	1.75632117613062
LUAD	0.0549332068785314	1.05647004738661	0.158108122171303	0.347440764738284	0.72826021265967	0.77495290575688	1.44025392089468
LUSC	0.0531956651522494	1.05463598044206	0.151485558931548	0.35115997542899	0.725468335370943	0.783714428356879	1.41921216580755
PAAD	-0.588252994651427	0.555296543869727	0.270087320685938	-2.17801040477371	0.0294052621304946	0.327059091690591	0.942808989163883
PCPG	-0.335732817454211	0.714814066146247	0.866160534224997	-0.38761038420506	0.698304383113174	0.130892844769741	3.9036446190728
PRAD	-0.0935044035264489	0.910734006976082	0.691168844763091	-0.135284459412373	0.892386971710162	0.234999839809888	3.52951913556075
READ	0.450373496757425	1.56889805440934	0.399040917178751	1.12863988971757	0.25904977611373	0.717679398914797	3.42972239254931
SARC	-0.491599515939866	0.611647271771442	0.235321936715468	-2.08905095207621	0.0367031368389294	0.385651164636888	0.970079749189129
STAD	0.229853046453972	1.25841506778427	0.188791851616483	1.21749452895299	0.223416116768557	0.869208559324777	1.82189701865877
THCA	0.91890489802662	2.50654396516056	0.504428840438272	1.82167398919584	0.068504466918005	0.932619988268359	6.73668024309488
THYM	0.0950173027263598	1.09967788238697	0.709909985704686	0.13384415579398	0.893525810028114	0.273519954084454	4.42121836799414
UCEC	0.582763095097186	1.79098024899424	0.211910077305738	2.75004899486866	0.00595863545433586	1.18225895330181	2.71311986543156
