	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0684090674244867	0.933878376208609	0.167892751380688	-0.40745694416177	0.683672410897043	0.672016212237907	1.29777943696584
BRCA	-0.43573530499299	0.646788905073071	0.20284405835378	-2.14812949676359	0.0317034695669742	0.434611672346046	0.962550972152757
CESC	0.0378832763478291	1.03860999545115	0.241830324955345	0.156652298899339	0.87551888277034	0.646556008614921	1.66839486181853
CHOL	0.682470279120652	1.97875978871756	0.54265025376873	1.25766140231367	0.208514236799414	0.683106382080614	5.73188950382766
COAD	0.138951434003354	1.14906829300159	0.219579748102132	0.632806236478259	0.526860183676117	0.747204055854677	1.7670647417342
ESCA	-0.282394930675542	0.753975857531693	0.274573001878264	-1.0284876107402	0.303720515716013	0.440190308842106	1.29144050271348
GBM	-0.330145192129124	0.718819358941752	0.198875758140183	-1.66005749125246	0.0969028874127188	0.486784131740521	1.06145873930183
HNSC	-0.222974963958864	0.800134881253594	0.144808263345722	-1.53979447586166	0.123610458903787	0.602423890281942	1.06273313280965
KICH	0.302520779948058	1.35326579692197	0.670986825656775	0.450859492884893	0.652090819767692	0.363277151806004	5.04113266693087
KIRC	0.914140494674626	2.49463018226106	0.153640166389885	5.94987961907602	2.68339775641571e-09	1.84598184632414	3.37120311266328
KIRP	0.346547432538414	1.41417657022404	0.304772970455516	1.13706747688439	0.255510078643074	0.778180627275866	2.56996293877367
LIHC	0.0713234210082451	1.07392850074583	0.205697148816983	0.346739959296686	0.728786687252714	0.717605300099744	1.60718214393606
LUAD	-0.229063261180167	0.795278221674854	0.161829052903101	-1.41546438708582	0.156932382953303	0.579121848828945	1.09211464072586
LUSC	-0.191592903996581	0.825642916016601	0.155376273860522	-1.23308983563713	0.21754224925865	0.608885644470266	1.11956363392582
PAAD	0.159777595926589	1.17324990641478	0.215463006422975	0.741554657475304	0.458357204292382	0.769109338665758	1.78975247562362
PCPG	0.612351740018998	1.84476470836597	0.86896178738416	0.704693519219485	0.48100098531335	0.335953652609514	10.1298402407554
PRAD	0.508424162448526	1.6626690331399	0.637858859238788	0.797079408844885	0.425404914291885	0.476276729644067	5.80433210715189
READ	0.435684907762722	1.54602157859632	0.419060599529107	1.03967041581169	0.29849304974447	0.680002520192039	3.51496156339308
SARC	0.0699767628401619	1.07248325949974	0.206324602123877	0.339158598246795	0.734490256552543	0.71575880990369	1.60699431986307
STAD	0.0128853975506596	1.01296877200515	0.175621123943001	0.0733704309673002	0.94151134682924	0.717971301849207	1.42917374331647
THCA	-0.68113481247406	0.506042403170238	0.57760796617753	-1.17923375777112	0.238305107336143	0.163127100662194	1.56981220635192
THYM	-1.93528160108409	0.144383604518698	1.06361336120361	-1.81953487204605	0.0688298676090054	0.0179543027990774	1.16109355440318
UCEC	0.0314884817636562	1.03198948882835	0.223533337194486	0.140867049894484	0.887974972910551	0.665891317642193	1.59936355503657
