	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	1.14741673923747	3.15004500248124	0.713143371307478	1.6089566073282	0.107625830249352	0.778552708857361	12.7451660045216
BRCA	-0.277276632473831	0.757844823622259	0.363717828693581	-0.76233995311631	0.445857134272954	0.371520781390695	1.54588600546434
CESC	0.165059245853326	1.17946299493303	0.464845154959306	0.355084363238712	0.722526390688028	0.474250072992847	2.9333320870936
CHOL	0.645271653497641	1.906504867648	0.587258062909509	1.09878721851976	0.271860888559367	0.603063368269377	6.02716232092868
COAD	0.131980474547745	1.14108603882875	0.221752526122898	0.595170106313017	0.551729770331113	0.73886024459465	1.76227826241243
ESCA	-0.109073913617237	0.896664139358851	0.265091328410208	-0.41145787103399	0.680736826753565	0.533314821391814	1.50756466267691
GBM	-0.408791628743251	0.664452670736474	0.231183584557108	-1.7682554301007	0.0770182113141415	0.42235751642566	1.04531666770169
HNSC	1.62476057398645	5.07720327710295	0.584295186788077	2.78071873724975	0.00542387064342908	1.61536841522557	15.9579653000863
KICH	-0.19140587657643	0.825797348322237	0.802341863851059	-0.238559004833333	0.811447556747355	0.171363708145334	3.97949640490786
KIRC	0.349202450659607	1.4179362234097	0.17213835767692	2.02861497792962	0.0424975217908117	1.01188757141599	1.98692343937371
KIRP	0.0694391361319128	1.07190681882412	0.349426050643537	0.198723409442504	0.842479111137985	0.540412069702154	2.12612614088152
LIHC	0.476114202207585	1.60980684895711	0.367397845111444	1.29590907661193	0.195006811780416	0.783509304100186	3.30752688881642
LUAD	-0.560517795883299	0.570913370708003	0.278755754270746	-2.0107846646957	0.0443482066239496	0.330592415745436	0.985933316462278
LUSC	0.179202754231146	1.19626326701974	1.0038190687567	0.178520970370787	0.85831385373766	0.167253196587354	8.55616414645516
PAAD	-0.328945686830468	0.719682103901711	0.229810656572974	-1.43137699415612	0.152322198192164	0.458696596643029	1.12916104995536
PCPG	0.723138220947746	2.06089060304373	1.11812699009476	0.64674068988037	0.51779978374395	0.230305081021091	18.441929543556
PRAD	-0.949465856685184	0.386947653766932	1.05693397834648	-0.898320875416053	0.369014506377347	0.0487515450707801	3.07125623481983
READ	0.246947672822685	1.28011212637146	0.397776233121206	0.620820582680308	0.534717679089526	0.58702996192154	2.79148793482245
SARC	0.520592396333225	1.68302437190909	0.29828392803599	1.74529147366737	0.0809341453526412	0.937973708408065	3.01988319187268
STAD	0.116749597539088	1.12383798265797	0.179537661417107	0.65027914821644	0.515511923655447	0.79046195385465	1.59781480323716
THCA	0.900208158477847	2.46011515168761	0.507005908476378	1.77553780622221	0.0758091288694036	0.910733316131397	6.64537735950113
THYM	-0.593675320069816	0.552293693877462	0.808775771161787	-0.734041920193795	0.462923189473135	0.113171976292377	2.69526374187175
UCEC	0.0733807477814889	1.07614019691373	0.460919763932328	0.15920503637215	0.873507336021974	0.43604693633243	2.65585565892072
