	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.145835371330633	0.864299980028543	0.385943752017505	-0.377866905652145	0.705529468346048	0.405647296269763	1.84153687784119
BRCA	-0.317603307879041	0.727891479964993	0.195709431522657	-1.62283087436322	0.104625563772359	0.495996333164395	1.06820549100717
CESC	0.284459059212346	1.32904290012296	1.008656676148	0.282017723115339	0.777929920577601	0.184064010484293	9.59641716878689
CHOL	-1.133359763135	0.321949762356863	1.03339668260919	-1.0967325347643	0.272758329698296	0.0424775302530038	2.4401524491719
COAD	-0.638342086254796	0.528167354479802	0.586661614885082	-1.08809247112552	0.276554287100374	0.167264694801039	1.66778024896417
ESCA	0.215276074692711	1.24020423871204	0.297148957783657	0.724471915696386	0.468776062813609	0.69272292414058	2.22037772985145
GBM	0.0585957997359618	1.06034656174968	0.25165700423872	0.23283993192726	0.815885703775989	0.647495869208754	1.7364355272078
HNSC	-0.00650430419433564	0.993516803004849	0.164901435426866	-0.0394435874830228	0.96853672914435	0.719135718759344	1.37258602528586
KICH	-16.0293884726703	1.09276062543551e-07	9049.85397835703	-0.00177123172495435	0.998586762292004	0	Inf
KIRC	-0.375450164207574	0.686979955385798	0.342473545108918	-1.09628953701568	0.272952086759214	0.35109937417497	1.34418200035492
KIRP	0.373458136247761	1.45274974471507	0.376422221086138	0.992125637987512	0.321136241404612	0.69467174102746	3.03809943045642
LIHC	0.345536257301213	1.41274731263192	0.198203412091553	1.74334161886984	0.0812739595704729	0.957973376592039	2.0834138172492
LUAD	-0.371539851514508	0.689671520826854	0.36175496581257	-1.02704837977817	0.304397683666035	0.339403180344391	1.40142118337545
LUSC	0.155738036419993	1.1685200532951	0.361489034286377	0.430823681076354	0.666596579333964	0.575355337043386	2.37321013127201
PAAD	0.135120150842743	1.14467430967223	0.254029600288961	0.531907111175402	0.594790331848147	0.695747329609069	1.8832688527311
PCPG	-19.3284383605862	4.03427850417827e-09	13547.8292942152	-0.00142668156948503	0.998861673188688	0	Inf
PRAD	-0.721470412286408	0.486037055411071	0.801294281674712	-0.900381331535936	0.367917352123591	0.101066319856519	2.33739607386551
READ	-18.1643473386489	1.29218347695303e-08	5615.40355442747	-0.00323473587652078	0.997419058686803	0	Inf
SARC	0.277436866290386	1.31974279625508	0.587274370705047	0.472414394582403	0.636631031805419	0.417446139860702	4.17232519828397
STAD	0.469712849848641	1.59953482060022	0.200790636082228	2.3393165090442	0.0193190589162026	1.07914648248582	2.37086594251694
THCA	-18.1553658191219	1.30384152319978e-08	6880.4131723982	-0.00263870284592136	0.997894622181897	0	Inf
THYM	3.17963344554317	24.0379407226672	1.12104556881749	2.83631061393617	0.0045638036393246	2.67092406856875	216.338083506843
UCEC	0.149502944571201	1.16125689021056	0.244972733086587	0.61028402095003	0.541673680049555	0.718467513031433	1.87693603482737
