	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0207699684813706	1.02098716539479	0.0328190395434305	0.63286338571502	0.526822859743973	0.957380694216738	1.08881952414313
BRCA	-0.0131844786581438	0.98690205585896	0.0469205306637862	-0.280995940830646	0.77871351320584	0.900192158597768	1.08196417682177
CESC	-0.0165650796547081	0.983571366822803	0.0438804571811062	-0.377504718930791	0.705798558169476	0.902515697698314	1.07190671154072
CHOL	0.00195049035762457	1.00195239380129	0.0480207201156221	0.040617682386442	0.967600687283198	0.911951571648194	1.10083542882628
COAD	0.0614862591723459	1.06341588421402	0.0317348883244996	1.93749725991246	0.0526845880008807	0.999287275112056	1.13165990497765
ESCA	0.0120735036513918	1.01214668260885	0.0412520561996602	0.292676408491155	0.769769503953979	0.933532929991387	1.09738057887852
GBM	0.00481308041790595	1.00482468189494	0.0372478296746028	0.129217741273868	0.897185358392691	0.934081743994177	1.08092535566305
HNSC	-0.0333304302376618	0.967218908406956	0.0457649825237912	-0.728295487064478	0.466432724323499	0.884238772889753	1.05798619723791
KICH	-0.376342416151769	0.686367269560688	0.277229486710996	-1.35751222071156	0.174618513090352	0.39863772753968	1.18177482003958
KIRC	0.157589011699357	1.17068495800164	0.0612233519329532	2.57400169582246	0.0100529780487373	1.03830901930551	1.31993775013915
KIRP	0.254172636415453	1.28939438147891	0.0818045186997011	3.10707330665319	0.00188949537409879	1.09838259106889	1.51362365400519
LIHC	0.0302353804915554	1.03069711139612	0.0176905529910345	1.70912579764344	0.0874276499009186	0.995572364768873	1.06706109272824
LUAD	0.0143266824315686	1.01442980120781	0.0324678184550336	0.441257932109309	0.65902627745938	0.951886882268705	1.08108204950347
LUSC	-0.0615992666336809	0.940259604700935	0.0292679292828213	-2.10466774189715	0.035320240342343	0.887840336024837	0.99577377638723
PAAD	0.0447949764517084	1.04581342154847	0.0707926381374303	0.63276320293005	0.526888289600857	0.910322774900963	1.20147022885363
PCPG	-0.17247188736596	0.841581947564523	0.271787253734305	-0.634584164622254	0.525699658678065	0.494026995689664	1.43364670482786
PRAD	-0.408357220546576	0.664741377126616	0.299365409785067	-1.36407616644742	0.172543595029671	0.369685497359086	1.19528924348086
READ	0.0285295206567055	1.02894038538207	0.0555284600844735	0.513781952773489	0.607404447020943	0.922835520599864	1.1472448697922
SARC	-0.0064669768096089	0.993553889080946	0.0315303820247343	-0.205103027439878	0.837491631162174	0.934012563090985	1.05689084870662
STAD	0.0631321468885614	1.06516758851393	0.040192901374728	1.57072877869565	0.116245661491034	0.984477247151532	1.15247152222498
THCA	0.229835754948831	1.25839330808179	0.160411375194805	1.43278963022239	0.151917965688439	0.918912141810779	1.72329175529722
THYM	-0.0466003106777532	0.954468812354305	0.123827833259134	-0.376331471295577	0.706670485350153	0.748788730397304	1.21664586654991
UCEC	-0.0821706772059635	0.921114731990395	0.0382569282512813	-2.14786395463445	0.0317245645912794	0.854573402727668	0.992837299618273
