	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0492223198589071	1.05045386153631	0.0266953774870188	1.84385180104093	0.0652047410361628	0.99690514041259	1.10687895014751
BRCA	0.0444268350917314	1.04542848523302	0.0276220709438612	1.60838176044164	0.107751593870038	0.990335574510702	1.1035862447702
CESC	0.0985882027554954	1.10361174169823	0.0555219625287836	1.77566134670376	0.0757887519958405	0.989819333271673	1.23048604474966
CHOL	0.0929548648519288	1.09741220228801	0.125894344707419	0.738356159428428	0.460298048021619	0.857449051702065	1.40453072907365
COAD	-0.0304433545584404	0.970015377460369	0.0425716676445335	-0.715108339486192	0.474542101244275	0.892362989834124	1.05442498538009
ESCA	0.1134162079697	1.12009802967207	0.0849374647520489	1.33529071418351	0.181781216611481	0.9483248526229	1.32298504315814
GBM	-0.0332645051717396	0.967282674479123	0.0948408529565173	-0.350740257333944	0.725783220824274	0.803201902634542	1.16488241534109
HNSC	0.0575859625313409	1.05927632481532	0.0369719107427165	1.55755981702096	0.119337630414381	0.985232474472725	1.13888484331047
KICH	0.233052969710742	1.26244834908009	0.143989794079136	1.61853811376838	0.105546679867737	0.952027040387563	1.67408672913978
KIRC	-0.0777943171410227	0.925154695438097	0.0435487125622228	-1.78637467249737	0.0740386136717307	0.849465266807785	1.00758823690061
KIRP	-0.0495993359935717	0.951610624254378	0.0481554896213875	-1.02998300678772	0.303017982728128	0.865903021320001	1.0458016173836
LIHC	0.0203890651911022	1.02059834208091	0.0240992417789099	0.846045920371877	0.397527127684685	0.973512532354646	1.06996154773572
LUAD	0.0697503777986732	1.07224049281295	0.0239113914962483	2.91703549789718	0.00353375553136657	1.02314878026175	1.12368767534828
LUSC	-0.00637213683604773	0.993648122173979	0.0269129937558641	-0.23676804200422	0.812836745457075	0.942593052289555	1.04746856376847
PAAD	0.07810667665458	1.08123799537026	0.0464966315935347	1.67983516176773	0.0929893918430958	0.98705941215815	1.18440246679395
PCPG	0.14744616036549	1.15887088996495	0.140118683793114	1.05229478592016	0.292664323153901	0.880573910172508	1.52512097405322
PRAD	0.0785561265106246	1.08172406685582	0.283675206262407	0.276922779208128	0.781839401062365	0.620371329874756	1.88617187878643
READ	-0.0796086760748638	0.923477654588322	0.116519148494063	-0.683223977378451	0.494465323717923	0.734928538789722	1.16039986680658
SARC	0.0303788758497642	1.03084502225934	0.0374596561471454	0.810975833051772	0.417379549292427	0.957872402840091	1.10937684055425
STAD	0.0330541435788327	1.03360650088137	0.0366883072705482	0.900944906917717	0.367617612937612	0.961891503092327	1.11066829806655
THCA	0.0838039418412378	1.0874156761927	0.0921791438153523	0.909142115803427	0.363275113981716	0.907679569071116	1.30274261217505
THYM	0.00428335231065285	1.00429253897605	0.0755272030519222	0.0567127092963869	0.954774049756886	0.866106632723977	1.16452578208624
UCEC	0.045740769274689	1.04680301227689	0.0236125674985677	1.93713662343003	0.0527286448432927	0.999461132636173	1.09638735387508
