	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0657740873630042	0.936342371973974	0.0273244480797692	-2.4071515432256	0.0160774968428794	0.887515740960096	0.987855197481243
BRCA	0.0396288163964188	1.04042451398974	0.0395308834712443	1.00247737759885	0.316113087227461	0.962857078005662	1.12424075601428
CESC	-0.0240763651770262	0.976211158373457	0.0541927249008755	-0.444273013048607	0.656845210067368	0.877838929117285	1.08560715881116
CHOL	0.00297069225801883	1.00297510913691	0.079765476872391	0.0372428320433832	0.970291387253003	0.857815043608831	1.17269926313734
COAD	0.0245321300043429	1.02483551854788	0.0495684667140514	0.494914037705924	0.62066080123875	0.929953885522353	1.1293977652315
ESCA	-0.0522110223074157	0.949128558410429	0.0916444153865099	-0.569713081666962	0.568872315969058	0.793080320295393	1.13588119303569
GBM	0.0164871009023095	1.01662376317224	0.0410542050871478	0.401593475438423	0.687983232389096	0.938025952467913	1.10180733606285
HNSC	-0.0205128067979189	0.979696149623565	0.0257183585077284	-0.797593936321978	0.425106170979435	0.931536539480351	1.03034556875531
KICH	0.0491181322642733	1.05034442297637	0.100168361070644	0.490355754444585	0.623882180133782	0.863114217041541	1.27818935790333
KIRC	0.0648425753343587	1.06699104045435	0.033616637432784	1.92888344243265	0.0537453337952649	0.998955722322593	1.13966000190968
KIRP	0.0840991998877234	1.08773679182462	0.0619616199540879	1.35727890829902	0.174692606431986	0.963345320066047	1.22819024875504
LIHC	-0.00389759137431566	0.996109994376359	0.036560720586485	-0.106605977994767	0.915101575861486	0.927228465462049	1.07010856315981
LUAD	-0.00267566497119416	0.997327911429863	0.0376235373566709	-0.0711167837789645	0.943304810468004	0.926430320643762	1.0736511324736
LUSC	0.00287857836616697	1.00288272545115	0.0450962012391302	0.063831947859706	0.949104039408962	0.918045475596206	1.09555984724521
PAAD	-0.577914288900629	0.56106737148255	0.108809585651092	-5.31124427542407	1.088792720626e-07	0.45331086259696	0.694438676229614
PCPG	-0.35811345205501	0.698993768228407	0.241474272674143	-1.48302942623733	0.138066592768501	0.435441713532428	1.12206128360682
PRAD	-0.132569792828061	0.875841804496554	0.169821871888868	-0.78064027532811	0.435014096790362	0.627874768561872	1.22173864106818
READ	0.03855975580324	1.03931283147552	0.146315746746997	0.263537976332211	0.792135956840734	0.780193090359086	1.38449208922435
SARC	0.0574651261898488	1.05914833347276	0.0342067987920993	1.67993288524623	0.0929703746147332	0.990466764701002	1.13259246274333
STAD	0.065815220093018	1.068029348568	0.0591134821148848	1.11337071913829	0.26554924520297	0.951186547989448	1.19922500146126
THCA	0.0372328855679105	1.03793471270881	0.128757332042839	0.289170993039236	0.772450528255436	0.806439138512145	1.33588316389694
THYM	0.137745679022724	1.14768363313224	0.120494820200436	1.14316680827933	0.252969340311404	0.906268346237739	1.45340806310595
UCEC	0.0668215359108713	1.06910466435829	0.0424715627117532	1.57332416432089	0.115643776829713	0.983712895498448	1.16190891527706
