Run,Age,Assay Type,AvgSpotLen,Bases,Biomaterial_provider,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,samplenumber,sex,SRA Study,tissue
SRR10201252,not applicable,AMPLICON,252,178950240,not applicable,PRJNA574555,SAMN12870884,Human,67343876,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6921108,Illumina HiSeq 2500,not applicable,crc.ct.46,PAIRED,PCR,OTHER,178,64,Homo sapiens,ILLUMINA,2019-10-25T00:00:00Z,SRS5452261,crc.ct.46,crc.ct.46,missing,SRP223644,blood
SRR10200580,not applicable,AMPLICON,252,134427636,not applicable,PRJNA574555,SAMN12871187,Human,54121857,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6920620,Illumina HiSeq 2500,not applicable,crc.ct.732,PAIRED,PCR,OTHER,134,51,Homo sapiens,ILLUMINA,2019-10-25T00:00:00Z,SRS5451773,crc.ct.732,crc.ct.732,missing,SRP223644,blood
SRR10201256,not applicable,AMPLICON,252,111004236,not applicable,PRJNA574555,SAMN12870503,Human,45251962,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6921104,Illumina HiSeq 2500,not applicable,crc.ct.116,PAIRED,PCR,OTHER,111,43,Homo sapiens,ILLUMINA,2019-10-25T00:00:00Z,SRS5452257,crc.ct.116,crc.ct.116,missing,SRP223644,blood
SRR10223017,not applicable,AMPLICON,104,62341240,not applicable,PRJNA574555,SAMN12903845,Human,36383707,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6942391,Illumina HiSeq 2500,not applicable,normal.ct.206,PAIRED,PCR,OTHER,62,34,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470543,normal.ct.206,normal.ct.206,missing,SRP223644,blood
SRR10223103,not applicable,AMPLICON,110,71005550,not applicable,PRJNA574555,SAMN12904357,Human,39808516,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6942959,Illumina HiSeq 2500,not applicable,normal.ct.668,PAIRED,PCR,OTHER,71,37,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5471111,normal.ct.668,normal.ct.668,missing,SRP223644,blood
SRR10223582,not applicable,AMPLICON,127,236410500,not applicable,PRJNA574555,SAMN12904497,Human,90480793,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6943114,Illumina HiSeq 2500,not applicable,normal.ct.794,PAIRED,PCR,OTHER,236,86,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5471266,normal.ct.794,normal.ct.794,missing,SRP223644,blood
SRR10223604,not applicable,AMPLICON,127,326119236,not applicable,PRJNA574555,SAMN12904477,Human,129800887,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6943092,Illumina HiSeq 2500,not applicable,normal.ct.776,PAIRED,PCR,OTHER,326,123,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5471244,normal.ct.776,normal.ct.776,missing,SRP223644,blood
SRR10222740,not applicable,AMPLICON,252,143184384,not applicable,PRJNA574555,SAMN12904095,Human,60000099,SUN YAT-SEN UNIVERSITY,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX6942668,Illumina HiSeq 2500,not applicable,normal.ct.431,PAIRED,PCR,OTHER,143,57,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470820,normal.ct.431,normal.ct.431,missing,SRP223644,blood
SRR10222741,not applicable,AMPLICON,252,128189880,not applicable,PRJNA574555,SAMN12904094,Human,52680076,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX6942667,Illumina HiSeq 2500,not applicable,normal.ct.430,PAIRED,PCR,OTHER,128,50,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470819,normal.ct.430,normal.ct.430,missing,SRP223644,blood
SRR10222742,not applicable,AMPLICON,252,153386856,not applicable,PRJNA574555,SAMN12903743,Human,62398902,SUN YAT-SEN UNIVERSITY,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX6942666,Illumina HiSeq 2500,not applicable,normal.ct.114,PAIRED,PCR,OTHER,153,59,Homo sapiens,ILLUMINA,2019-10-03T00:00:00Z,SRS5470818,normal.ct.114,normal.ct.114,missing,SRP223644,blood
