"","R","Pvalues"
"TCGA-UCEC",0.0717388873717349,0.092510939639303
"TCGA-BRCA",0.0924484759174676,0.0021259181443301
"TCGA-LGG",0.113483446794891,0.0102480724688419
"TCGA-CESC",0.0612081814599461,0.287418244649518
"TCGA-STAD",0.155741649118896,0.00249184271325263
"TCGA-ESCA",0.0575092557163918,0.46868220012472
"TCGA-THCA",0.129714171393325,0.00359863380491802
"TCGA-OV",0.0788891211741984,0.127781132902494
"TCGA-ACC",0.0820573178997845,0.472184056378821
"TCGA-GBM",-0.0978334324131054,0.224355112533925
"TCGA-HNSC",0.0322408099922947,0.471950522290108
"TCGA-PRAD",0.131096252648961,0.0033804760247746
"TCGA-LIHC",0.0203188893487606,0.696470702949774
"TCGA-BLCA",0.0416305091277007,0.398188579334014
"TCGA-COAD",0.115778794243391,0.0113028746856812
"TCGA-LUSC",0.0702836880646369,0.115776522431191
"TCGA-TGCT",-0.0109492199507739,0.894207470212553
"TCGA-KIRP",0.0761659948533125,0.197456732028724
"TCGA-KIRC",0.103898610114855,0.0159161402291648
"TCGA-PAAD",0.0275744707272786,0.715615685289109
"TCGA-MESO",-0.134846121419876,0.215762249686147
"TCGA-LUAD",0.150338042033833,0.00049678047460834
"TCGA-THYM",0.234541472662655,0.010244745397233
"TCGA-SARC",0.21027534594926,0.000659582991130067
"TCGA-CHOL",0.0739284433021372,0.668284586226973
"TCGA-UCS",0.0256389954627371,0.851215268393333
"TCGA-PCPG",0.0469301411991567,0.533903841036349
"TCGA-READ",0.0595905772256468,0.445673698014773
"TCGA-KICH",-0.0227080795475869,0.857506501204417
"TCGA-UVM",0.333096508502217,0.00253495384961276
"TCGA-SKCM",0.344679456994798,0.000363399555442661
"TCGA-DLBC",0.00130360793469533,0.992983824399222
