"","R","Pvalues"
"TCGA-READ",0.0337817969596615,0.926186594179621
"TCGA-UCEC",-0.0401246656216364,0.818984176136274
"TCGA-KIRC",-0.285378315611186,0.0151030898072942
"TCGA-THCA",-0.0339413929289426,0.800317830085046
"TCGA-PRAD",0.177684743918795,0.207592993870847
"TCGA-COAD",-0.183182905153777,0.251628880011457
"TCGA-LUAD",-0.0503738165249478,0.704769132865072
"TCGA-STAD",0.322789973938802,0.0715597414154783
"TCGA-HNSC",0.390364858255833,0.00880102240858106
"TCGA-LIHC",-0.0623675412848287,0.666999148806849
"TCGA-BRCA",0.227646755873928,0.0153108657528225
"TCGA-LUSC",-0.192644009533731,0.184787665536055
"TCGA-CESC",0.0992747830239771,0.936695435550685
"TCGA-KIRP",-0.182297603628953,0.317987299644464
"TCGA-BLCA",0.187309846397759,0.442564332337937
"TCGA-ESCA",0.105634179396486,0.75723652842168
"TCGA-KICH",-0.248032096652172,0.24256069048886
"TCGA-GBM",0.836980528369082,0.0770508777047932
"TCGA-CHOL",-0.844329652880332,0.00419402687979556
"TCGA-PCPG",-0.621293358187207,0.573215066939254
"TCGA-PAAD",0.644264402718803,0.355735597281197
