miRNA	5637	SV_HUC_1	T24	UM_UC_3
hsa-miR-483-5p	101.0001428	1	16.13909741	4.032356918
hsa-miR-10b-5p	5740.248699	91	33598.44192	23607.56168
hsa-miR-10b-3p	112.3925641	3	358.6611763	416.4328978
hsa-miR-483-3p	25.05066724	1	10.46193588	5.043142558
hsa-miR-544b	22.51901806	1	4.784774352	1
hsa-miR-10a-5p	58582.09628	4921	97025.5829	58434.18089
hsa-miR-196b-5p	2737.712767	481	786.3406781	1.673857093
hsa-miR-10a-3p	266.8231643	50	292.4276251	379.0338292
hsa-miR-18a-5p	1142.773782	258	313.243884	275.9336939
hsa-miR-301b	50.36715908	12	19.92387176	25.59578389
hsa-miR-345-5p	906.0645831	240	326.4905943	222.362055
hsa-miR-17-5p	4544.04446	1252	1768.489622	4874.671425
hsa-miR-301a-3p	54.16463286	16	16.13909741	28.96506936
hsa-miR-18a-3p	93.4051952	29	33.17058199	54.23471035
hsa-miR-301a-5p	73.15200173	23	18.03148458	6.72778529
hsa-miR-24-2-5p	45.30386071	138	67.23355116	14.14021331
hsa-miR-16-2-3p	55.43045745	170	161.85291	60.29942418
hsa-miR-195-5p	11.12659673	36	44.52490505	1128.362917
hsa-miR-671-5p	251.6332692	825	489.2358914	101.0677783
hsa-miR-27a-5p	257.9623921	960	468.4196325	776.9464426
hsa-miR-3065-3p	18.72154429	82	8.569548704	5.380071104
hsa-miR-3065-5p	12.39242133	58	10.46193588	2.347714186
hsa-miR-23a-5p	59.22793122	294	197.8082663	100.0569927
hsa-miR-23a-3p	12221.27061	61707	25879.39463	32026.7322
hsa-miR-193b-3p	295.9371299	1553	451.3881479	292.7801213
hsa-miR-27a-3p	19033.93856	100756	42865.46192	45110.34152
hsa-miR-22-3p	3785.815529	20801	20809.68939	28119.03492
hsa-miR-193b-5p	63.025405	384	182.6691689	19.53107006
hsa-miR-34c-5p	36.44308857	242	392.7241454	2.684642732
hsa-miR-1257	9.860772143	66	8.569548704	4.706214011
hsa-miR-6720-3p	2.265824592	17	8.569548704	10.77092785
hsa-miR-126-3p	79.48112469	662	298.1047866	1751.343799
hsa-miR-126-5p	52.89880826	456	190.2387176	914.076361
hsa-miR-34c-3p	2.265824592	20	16.13909741	1.336928546
hsa-miR-22-5p	17.45571969	172	59.66400246	129.0328477
hsa-miR-1271-5p	221.253479	3232	112.6508434	1.336928546
