bcr_sample_barcode	bcr_analyte_barcode	experimental_protocol_type	protocol_file_name	protocol_name
CDE_ID:2673864	CDE_ID:2673835			
TCGA-18-5592-01A	TCGA-18-5592-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-18-5592-01A	TCGA-18-5592-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-18-5592-01A	TCGA-18-5592-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-18-5592-01A	TCGA-18-5592-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-18-5592-11A	TCGA-18-5592-11A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-18-5592-11A	TCGA-18-5592-11A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-18-5595-01A	TCGA-18-5595-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-18-5595-01A	TCGA-18-5595-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-18-5595-01A	TCGA-18-5595-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-18-5595-01A	TCGA-18-5595-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-18-5595-11A	TCGA-18-5595-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-18-5595-11A	TCGA-18-5595-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-21-5782-01A	TCGA-21-5782-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-21-5782-01A	TCGA-21-5782-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-21-5782-01A	TCGA-21-5782-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-21-5782-01A	TCGA-21-5782-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-21-5782-10A	TCGA-21-5782-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-21-5782-10A	TCGA-21-5782-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-21-5784-01A	TCGA-21-5784-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-21-5784-01A	TCGA-21-5784-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-21-5784-01A	TCGA-21-5784-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-21-5784-01A	TCGA-21-5784-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-21-5784-10A	TCGA-21-5784-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-21-5784-10A	TCGA-21-5784-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-21-5786-01A	TCGA-21-5786-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-21-5786-01A	TCGA-21-5786-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-21-5786-01A	TCGA-21-5786-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-21-5786-01A	TCGA-21-5786-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-21-5786-10A	TCGA-21-5786-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-21-5786-10A	TCGA-21-5786-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-21-5787-01A	TCGA-21-5787-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-21-5787-01A	TCGA-21-5787-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-21-5787-01A	TCGA-21-5787-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-21-5787-01A	TCGA-21-5787-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-21-5787-10A	TCGA-21-5787-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-21-5787-10A	TCGA-21-5787-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-22-5471-01A	TCGA-22-5471-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-22-5471-01A	TCGA-22-5471-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-22-5471-01A	TCGA-22-5471-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-22-5471-01A	TCGA-22-5471-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-22-5471-11A	TCGA-22-5471-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-22-5471-11A	TCGA-22-5471-11A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-22-5471-11A	TCGA-22-5471-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-22-5472-01A	TCGA-22-5472-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-22-5472-01A	TCGA-22-5472-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-22-5472-01A	TCGA-22-5472-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-22-5472-01A	TCGA-22-5472-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-22-5472-11A	TCGA-22-5472-11A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-22-5472-11A	TCGA-22-5472-11A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-22-5472-11A	TCGA-22-5472-11A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-22-5472-11A	TCGA-22-5472-11A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-22-5473-01A	TCGA-22-5473-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-22-5473-01A	TCGA-22-5473-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-22-5473-01A	TCGA-22-5473-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-22-5473-01A	TCGA-22-5473-01A-01W	Repli-G	[Not Available]	[Not Available]
