""	"AGTR1"	"EPAS1"	"EPAS2"	"EPAS3"	"EPAS4"	"GALR1"	"LINE-1"	"NTSR1"	"SLC5A8"	"ZBTB1"	"ZBTB2"	"ZBTB3"	"ZBTB4"	"ZMYND10"	"Reference"
"AGTR1"	1	0.288333156904621	0.249446203559576	0.328152563150512	0.308916295642847	0.250826132065882	-0.144580551617152	0.40046861752485	0.362200464131509	0.33780091381402	0.245712023784604	0.326321158849808	0.289633905765437	-0.0097639331457469	-0.0767240912920001
"EPAS1"	0.288333156904621	1	0.702501609828242	0.627549467647314	0.720213987822866	0.36908840390371	-0.395645091874064	0.32830903956542	0.393129165282378	0.348321463116127	0.327140318446204	0.413500943221365	0.394487576288916	-0.134975376742063	-0.00137383761835873
"EPAS2"	0.249446203559576	0.702501609828242	1	0.63098879115304	0.800754431444643	0.30573574558121	-0.485296279881386	0.234467611787745	0.335008277694797	0.323980396368546	0.273499323744644	0.371609374699009	0.393740054100405	-0.246117322934193	-0.00190099647520646
"EPAS3"	0.328152563150512	0.627549467647314	0.63098879115304	1	0.685308118562224	0.211705697382014	-0.336192033939197	0.238250378804849	0.235886579192395	0.261283228489942	0.235553886290451	0.290803125606338	0.288350433134465	-0.101841287597415	-0.00644195691916194
"EPAS4"	0.308916295642847	0.720213987822866	0.800754431444643	0.685308118562224	1	0.30534598611715	-0.417725556298154	0.269928183534041	0.397527763457903	0.345414536336175	0.300361870056421	0.402012080668096	0.430490511478665	-0.246830306126568	-0.0816121483395779
"GALR1"	0.250826132065882	0.36908840390371	0.30573574558121	0.211705697382014	0.30534598611715	1	-0.302315007561103	0.36940063495045	0.3916546418147	0.340812526083464	0.341134682565278	0.426843588788089	0.305699775940047	-0.148830827645019	0.131888636752199
"LINE-1"	-0.144580551617152	-0.395645091874064	-0.485296279881386	-0.336192033939197	-0.417725556298154	-0.302315007561103	1	-0.291681561529548	-0.241038818282121	-0.204179353743021	-0.190906689532474	-0.326783823415568	-0.277629322243731	-0.0570586156336816	-0.0160437991738442
"NTSR1"	0.40046861752485	0.32830903956542	0.234467611787745	0.238250378804849	0.269928183534041	0.36940063495045	-0.291681561529548	1	0.416906113571365	0.414087609200351	0.420678038359593	0.406306228584215	0.299250790718384	0.0477751329610785	0.010658492326592
"SLC5A8"	0.362200464131509	0.393129165282378	0.335008277694797	0.235886579192395	0.397527763457903	0.3916546418147	-0.241038818282121	0.416906113571365	1	0.479162674898756	0.386723927521337	0.409914591724974	0.324424243571144	-0.119159775415236	0.0319292893899008
"ZBTB1"	0.33780091381402	0.348321463116127	0.323980396368546	0.261283228489942	0.345414536336175	0.340812526083464	-0.204179353743021	0.414087609200351	0.479162674898756	1	0.819486064132396	0.76955159650975	0.678289444435842	-0.133914563625139	-0.0526776334575479
"ZBTB2"	0.245712023784604	0.327140318446204	0.273499323744644	0.235553886290451	0.300361870056421	0.341134682565278	-0.190906689532474	0.420678038359593	0.386723927521337	0.819486064132396	1	0.788577454315997	0.725824097123262	-0.13460968861243	-0.0400462567593944
"ZBTB3"	0.326321158849808	0.413500943221365	0.371609374699009	0.290803125606338	0.402012080668096	0.426843588788089	-0.326783823415568	0.406306228584215	0.409914591724974	0.76955159650975	0.788577454315997	1	0.764676721573453	-0.212944918176935	-0.0194671457809495
"ZBTB4"	0.289633905765437	0.394487576288916	0.393740054100405	0.288350433134465	0.430490511478665	0.305699775940047	-0.277629322243731	0.299250790718384	0.324424243571144	0.678289444435842	0.725824097123262	0.764676721573453	1	-0.207255276554627	-0.119651715876477
"ZMYND10"	-0.0097639331457469	-0.134975376742063	-0.246117322934193	-0.101841287597415	-0.246830306126568	-0.148830827645019	-0.0570586156336816	0.0477751329610785	-0.119159775415236	-0.133914563625139	-0.13460968861243	-0.212944918176935	-0.207255276554627	1	-0.00861275447456968
"Reference"	-0.0767240912920001	-0.00137383761835873	-0.00190099647520646	-0.00644195691916194	-0.0816121483395779	0.131888636752199	-0.0160437991738442	0.010658492326592	0.0319292893899008	-0.0526776334575479	-0.0400462567593944	-0.0194671457809495	-0.119651715876477	-0.00861275447456968	1
