	Category
X611.121_mas.lungtumortissue.Signal	tumor
X612..123.lungtumortissue.Signal	tumor
X613.132_mas.lungtumortissue.Signal	tumor
X614.185_mas.lungtumortissue.Signal	tumor
X615.187_mas.lungtumortissue.Signal	tumor
X616..232.lungtumortissue.Signal	tumor
X617..234.lungtumortissue.Signal	tumor
X618..243.lungtumortissue.Signal	tumor
X619.390_mas.lungtumortissue.Signal	tumor
X620..440.lungtumortissue.Signal	tumor
X1146.Lung.398SCC.lungtumortissue.Signal	tumor
X1608.4644T.lungtumortissue.Signal	tumor
X1609.4645T.lungtumortissue.Signal	tumor
X1610.4648T.lungtumortissue.Signal	tumor
X1611.4652T.lungtumortissue.Signal	tumor
X1612.4653T.lungtumortissue.Signal	tumor
X1613.4654T.lungtumortissue.Signal	tumor
X1614.6008T.lungtumortissue.Signal	tumor
X1615.6220T.lungtumortissue.Signal	tumor
X1616.6338T.lungtumortissue.Signal	tumor
X1617.6499T.lungtumortissue.Signal	tumor
X1618.6501T.lungtumortissue.Signal	tumor
X1619.6512T.lungtumortissue.Signal	tumor
X622.H1395wt.lungcellline.Signal	tumor
X623.H441wt.lungcellline.Signal	tumor
X624.H1155wt.lungcellline.Signal	tumor
X625.CALU3wt.lungcellline.Signal	tumor
X626.H23KO.lungcellline.Signal	tumor
X627.A427KO.lungcellline.Signal	tumor
X628.H522KO.lungcellline.Signal	tumor
X629.A549KO.lungcellline.Signal	tumor
X631.H2126KO.lungcellline.Signal	tumor
X990.H1299.lungcellline.Signal	tumor
X1657.normal_lung.lungnormaltissue.Signal	normal
X1686.Nlung.571.lungnormaltissue.Signal	normal
X1688.Nlung.593.lungnormaltissue.Signal	normal
TCGA.60.2713.01	tumor
TCGA.17.Z049.01	tumor
TCGA.38.4626.01	tumor
TCGA.17.Z029.01	tumor
TCGA.66.2777.01	tumor
TCGA.17.Z040.01	tumor
TCGA.46.3768.01	tumor
TCGA.18.3412.01	tumor
TCGA.66.2794.01	tumor
TCGA.05.4420.01	tumor
TCGA.17.Z037.01	tumor
TCGA.17.Z033.01	tumor
TCGA.73.4670.11	para
TCGA.17.Z010.01	tumor
TCGA.22.4604.01	tumor
TCGA.17.Z019.01	tumor
TCGA.18.3410.11	para
TCGA.55.1594.11	para
TCGA.55.1596.01	tumor
TCGA.33.4547.01	tumor
TCGA.05.4395.01	tumor
TCGA.46.3765.01	tumor
TCGA.05.4430.01	tumor
TCGA.17.Z030.01	tumor
TCGA.66.2788.11	para
TCGA.21.1082.01	tumor
TCGA.73.4666.11	para
TCGA.49.4486.01	tumor
TCGA.18.3414.11	para
TCGA.60.2725.01	tumor
TCGA.49.4501.11	para
TCGA.17.Z062.01	tumor
TCGA.18.3407.01	tumor
TCGA.37.3783.01	tumor
TCGA.17.Z036.01	tumor
TCGA.17.Z048.01	tumor
TCGA.17.Z012.01	tumor
TCGA.46.3767.01	tumor
TCGA.18.3419.01	tumor
TCGA.66.2795.01	tumor
TCGA.18.3416.11	para
TCGA.49.4505.11	para
TCGA.18.3407.11	para
TCGA.22.4596.01	tumor
TCGA.05.4249.01	tumor
TCGA.37.4130.01	tumor
TCGA.60.2698.01	tumor
TCGA.34.2605.01	tumor
TCGA.22.1011.01	tumor
TCGA.67.3771.01	tumor
TCGA.64.1677.01	tumor
TCGA.21.1076.01	tumor
TCGA.17.Z011.01	tumor
TCGA.17.Z058.01	tumor
TCGA.17.Z050.01	tumor
TCGA.60.2715.01	tumor
TCGA.66.2727.01	tumor
TCGA.37.3789.01	tumor
TCGA.37.4129.01	tumor
TCGA.18.4086.01	tumor
TCGA.66.2790.01	tumor
TCGA.60.2721.01	tumor
TCGA.44.2655.01	tumor
TCGA.43.2581.01	tumor
TCGA.17.Z044.01	tumor
TCGA.44.2657.01	tumor
TCGA.17.Z031.01	tumor
TCGA.38.4630.01	tumor
TCGA.22.4607.01	tumor
TCGA.38.4628.11	para
TCGA.17.Z003.01	tumor
TCGA.60.2720.01	tumor
TCGA.67.3774.01	tumor
TCGA.17.Z005.01	tumor
TCGA.66.2790.11	para
TCGA.17.Z025.01	tumor
TCGA.55.1592.11	para
TCGA.05.4382.01	tumor
TCGA.66.2758.01	tumor
TCGA.73.4675.11	para
TCGA.66.2795.11	para
TCGA.17.Z008.01	tumor
TCGA.17.Z051.01	tumor
TCGA.05.4422.01	tumor
TCGA.49.4505.01	tumor
TCGA.18.3421.11	para
TCGA.18.3415.11	para
TCGA.17.Z009.01	tumor
TCGA.60.2723.01	tumor
TCGA.51.4079.01	tumor
TCGA.66.2785.01	tumor
TCGA.73.4666.01	tumor
TCGA.22.0940.01	tumor
TCGA.73.4677.01	tumor
TCGA.17.Z013.01	tumor
TCGA.37.4132.01	tumor
TCGA.22.4595.01	tumor
TCGA.73.4675.01	tumor
TCGA.44.3918.01	tumor
TCGA.49.4494.01	tumor
TCGA.22.4591.01	tumor
TCGA.34.2608.01	tumor
TCGA.05.4432.01	tumor
TCGA.17.Z053.01	tumor
TCGA.60.2707.01	tumor
TCGA.17.Z032.01	tumor
TCGA.66.2767.01	tumor
TCGA.44.4112.01	tumor
TCGA.17.Z000.01	tumor
TCGA.17.Z015.01	tumor
TCGA.60.2719.01	tumor
TCGA.73.4662.11	para
TCGA.17.Z045.01	tumor
TCGA.22.1012.01	tumor
TCGA.17.Z002.01	tumor
TCGA.18.3406.01	tumor
TCGA.60.2711.01	tumor
TCGA.18.3408.11	para
TCGA.60.2695.01	tumor
TCGA.66.2778.01	tumor
TCGA.17.Z034.01	tumor
TCGA.17.Z035.01	tumor
TCGA.17.Z007.01	tumor
TCGA.22.1000.01	tumor
TCGA.66.2744.11	para
TCGA.17.Z014.01	tumor
TCGA.34.2604.01	tumor
TCGA.66.2766.01	tumor
TCGA.73.4668.11	para
TCGA.55.1594.01	tumor
TCGA.18.3406.11	para
TCGA.44.2661.01	tumor
TCGA.44.2659.01	tumor
TCGA.21.1077.01	tumor
TCGA.44.4112.11	para
TCGA.66.2742.01	tumor
TCGA.17.Z020.01	tumor
TCGA.17.Z027.01	tumor
TCGA.44.3918.11	para
TCGA.60.2706.01	tumor
TCGA.73.4659.11	para
TCGA.05.4250.01	tumor
TCGA.43.3920.01	tumor
TCGA.37.3792.01	tumor
TCGA.66.2791.01	tumor
TCGA.22.1005.01	tumor
TCGA.49.4510.11	para
TCGA.44.2666.01	tumor
TCGA.44.3396.01	tumor
TCGA.66.2771.01	tumor
TCGA.66.2789.01	tumor
TCGA.66.2759.01	tumor
TCGA.21.1083.01	tumor
TCGA.05.4403.01	tumor
TCGA.66.2737.01	tumor
TCGA.35.3615.01	tumor
TCGA.17.Z047.01	tumor
TCGA.66.2787.11	para
TCGA.66.2782.01	tumor
TCGA.17.Z018.01	tumor
TCGA.66.2763.01	tumor
TCGA.56.1622.01	tumor
TCGA.66.2800.01	tumor
TCGA.44.2668.01	tumor
TCGA.64.1678.01	tumor
TCGA.38.4629.11	para
TCGA.60.2712.01	tumor
TCGA.66.2754.11	para
TCGA.66.2734.11	para
TCGA.17.Z021.01	tumor
TCGA.05.4434.01	tumor
TCGA.17.Z043.01	tumor
TCGA.17.Z016.01	tumor
TCGA.18.3409.01	tumor
TCGA.05.4426.01	tumor
TCGA.21.1080.01	tumor
TCGA.60.2714.01	tumor
TCGA.37.4141.01	tumor
TCGA.73.4670.01	tumor
TCGA.17.Z028.01	tumor
TCGA.17.Z022.01	tumor
TCGA.66.2727.11	para
TCGA.05.4389.01	tumor
TCGA.66.2742.11	para
TCGA.66.2753.11	para
