"Coefficient"	"ci.lb"	"ci.ub"	"pvalue"	"tau2"	"QE"	"QE.P-value"
"sampletype"	-1.03	-2.4	0.34	0.140218583811899	0.9	65.59	5.84010893970464e-08
"age"	-0.3	-0.44	-0.16	1.99993363654881e-05	0.18	17.57	0.0626030219538928
"stage1"	-0.01	-0.05	0.03	0.608381462108295	0.79	33.5	2.13522626661831e-05
"stage2"	0.05	-0.01	0.11	0.11088725552823	0.67	33.56	4.87025040767421e-05
"genderatio"	-0.69	-8.1	6.71	0.854694829469997	0.98	50.51	2.14773586705655e-07
"methods"	-0.09	-1.28	1.1	0.879921936598253	1.11	73.89	2.05759789007015e-09
"aim"	-0.82	-2.05	0.41	0.190345681686875	1.07	71.1	6.40326531473168e-09
"Multipletarget"	1.05	-0.71	2.81	0.242750159347893	1.01	72.02	4.40527827713564e-09
"controldesign"	-1.25	-2.35	-0.15	0.0256608463194909	0.89	62.9	1.6837553142906e-07
"Ad2Sc"	0.44	-0.56	1.44	0.38658966691265	0.89	45.78	6.62718395537978e-07
"primer"	-1.02	-2.02	-0.01	0.0476554936913392	0.35	18.28	0.0107614541742275
