mean.A	mean.B	delta	Pvalue.ttest	p.adjust.BH	Pvalue.wilcox	a.shapiro.pvalue	b.shapiro.pvalue
?|100130426	0.225958056590755	0.367621847058647	-0.141663790467892	0.32846719946319	0.406470982591692	0.0666638704296502	8.40297817405807e-34	1.36335141917301e-09
?|100133144	25.0250830995264	34.9468456369329	-9.92176253740652	0.0658989651593682	0.103851063377878	0.103480769477618	7.91075393038881e-22	3.64418453503856e-05
?|100134869	22.7180291089457	36.2385102911043	-13.5204811821586	0.026309576194357	0.0478485170383864	0.0161683910155852	9.68997531313823e-38	2.54566487399448e-06
?|10357	36.2961677213041	11.2045919244669	25.0915757968372	6.96166057619326e-14	1.02827232582607e-12	4.20974596530326e-07	1.5886807389192e-27	6.44838018973866e-05
?|10431	888.673601300388	705.126688467892	183.546912832496	8.61439316277746e-05	0.000335474404447997	0.000399154724273042	1.06582610053187e-15	0.000361231673832763
?|136542	9.63498680342514e-05	0.000111019000849519	-1.4669132815268e-05	0.382091628221117	0.461183022869356	0.397602801498953	0.148370848914598	0.392905672985186
?|155060	131.268970636564	92.8670732157948	38.401897420769	0.000200719552125905	0.000713879911571768	0.00157595527300732	8.59192634168166e-16	0.134543598518847
?|26823	0.806560939192901	1.14137341573356	-0.334812476540664	0.509508373991649	0.58439756572193	0.22421208915055	1.37410266215136e-24	5.82984529786203e-11
?|280660	0.332398193700864	0.0524931022084152	0.279905091492449	0.0382703495024765	0.0655319887936067	0.750437708534013	4.72550568656021e-40	6.49554422512636e-13
?|317712	0.00245469336192784	0.000102137369971323	0.00235255599195652	0.17677854690053	0.241694751312642	0.580804329126494	4.61443557318128e-41	0.816965107105389
?|340602	78.0674788913134	1.78276111271142	76.284717778602	0.00359248268846154	0.00879429793302896	0.232576332537158	1.14032518428718e-39	1.51873611761836e-06
?|388795	4.00328101771383	1.45662877081561	2.54665224689822	0.104098339465896	0.153423472675659	0.0404491071018815	1.38559054774247e-40	3.95730959740799e-09
?|390284	3.20001215208119	1.9153952876677	1.28461686441349	0.0031574123062725	0.00788815186907772	0.502882692971471	6.78047905344904e-33	0.00206615699258319
?|391343	0.938562278986894	0.127198691295302	0.811363587691592	0.00384639153417751	0.00932622356702038	0.00217249102140469	1.78257985258758e-39	2.00804134527711e-09
?|391714	1.92720220672933	0.980811261108281	0.946390945621051	0.156829208600779	0.218295625883566	0.062172578456827	1.16357378378195e-36	1.16523627450165e-11
