	CCP1	CCP2	CCP3	CCP4	CCP5	CCP6	CCP7	CCP8	CCP9	CCP10	CCP11	CCP12	CCP13	CCP14	CCP15	CCP16	CCP17	CCP18	CCP19	CCP20	CCP21	CCP22	CCP23	CCP24	CCP25	CCP26	CCP27	CCP28	CCP29	CCP30
Brain	-0.770384900254422	0.401939947958828	-0.267959965305886	0.569414926275007	-0.435434943622064	-0.602909921938243	0.0669899913264712	-0.602909921938243	0.736889904591185	0.569414926275007	-0.9378598785706	0.904364882907364	0.401939947958828	-0.9378598785706	-0.770384900254422	1.23931483953972	-0.267959965305886	-0.602909921938243	0.569414926275007	-0.267959965305886	0.904364882907364	1.07183986122354	-0.100484986989707	-0.267959965305886	-0.100484986989707	-0.435434943622064	-1.10533485688678	0.0669899913264712	0.904364882907364	1.23931483953972
Colon	2.1434873023011	5.31902404645088	6.90679241852577	2.93737148833855	3.73125567437599	2.34195834881046	8.2960897440913	3.53278462786663	5.51749509296024	5.7159661394696	7.50220555805385	6.50985032550705	1.34960311626366	4.92208195343216	0.555718930226211	9.68538706965682	4.7236109069228	2.54042939531982	3.73125567437599	3.33431358135727	4.32666881390407	5.51749509296024	8.2960897440913	1.94501625579174	4.32666881390407	5.91443718597896	2.93737148833855	3.73125567437599	5.51749509296024	4.92208195343216
Intestine	0.186827287943694	-1.46164878214773	0.186827287943694	-0.431351238340589	0.186827287943694	0.59894630546655	0.392886796705122	0.392886796705122	0.59894630546655	1.01106532298941	0.392886796705122	1.83530335803512	-0.637410747102017	1.01106532298941	1.01106532298941	1.01106532298941	1.62924384927369	-1.2555892733863	-0.843470255863444	0.186827287943694	0.392886796705122	0.59894630546655	-0.225291729579161	-1.04952976462487	-0.843470255863444	-0.637410747102017	0.392886796705122	-0.843470255863444	1.21712483175083	1.62924384927369
Kidney	-1.47797943533888	0.826562303755006	0.365653955936229	2.20928734721134	4.28337491239583	1.05701647766439	0.826562303755006	0.135199782026841	-0.786616913610713	-0.325708565791936	-0.0952543918825473	1.97883317330195	0.135199782026841	-0.786616913610713	-1.70843360924827	-0.556162739701324	1.28747065157378	-0.0952543918825473	1.05701647766439	0.135199782026841	0.365653955936229	-0.0952543918825473	-0.325708565791936	-1.24752526142949	-1.47797943533888	-0.556162739701324	-0.325708565791936	-0.325708565791936	0.365653955936229	1.97883317330195
Liver	4.0906031418243	-1.2524599507271	0.643465662758879	0.988179410665421	1.6776069064785	0.126395040899066	0.643465662758879	-0.735389328867289	-1.08010307677383	-0.563032454914018	0.643465662758879	-1.08010307677383	0.298751914852337	0.643465662758879	-0.390675580960747	-0.735389328867289	-0.0459618330542054	-1.08010307677383	0.643465662758879	0.643465662758879	0.988179410665421	0.471108788805608	-0.218318707007476	-0.735389328867289	0.81582253671215	0.643465662758879	0.988179410665421	-0.0459618330542054	0.298751914852337	-0.390675580960747
Lung	-0.797102189701199	-1.3756441015811	-0.989949493661166	-0.411407581781264	0.552828938018574	-0.797102189701199	0.167134330098639	-1.3756441015811	0.167134330098639	1.32421815385844	-0.989949493661166	-0.218560277821296	-0.0257129738613289	-1.18279679762113	-0.989949493661166	0.938523545938509	-1.3756441015811	-0.604254885741231	1.13137084989848	-0.411407581781264	-1.3756441015811	0.552828938018574	-0.411407581781264	0.167134330098639	0.359981634058606	-0.604254885741231	3.63838580137805	0.167134330098639	0.552828938018574	1.70991276177838
Pancreas	0.0226106009640913	-0.82528693518934	0.0226106009640913	0.0226106009640913	0.234584985002449	0.234584985002449	0.658533753079165	-1.0372613192277	-0.613312551150982	-0.613312551150982	-0.189363783074267	0.446559369040807	-0.189363783074267	-0.189363783074267	0.234584985002449	-1.0372613192277	-1.46121008730441	-0.401338167112624	1.5064312892326	0.446559369040807	-0.189363783074267	-0.401338167112624	-1.0372613192277	0.446559369040807	0.0226106009640913	-0.401338167112624	1.08248252115588	-0.82528693518934	0.870508137117522	0.446559369040807
Spleen	1.06588457087056	0.219944435259005	0.642914503064783	0.00845940135611539	-0.837480734255442	0.219944435259005	-0.625995700352553	-0.625995700352553	1.48885463867634	0.219944435259005	0.431429469161894	0.00845940135611539	-0.837480734255442	-1.04896576815833	0.431429469161894	0.219944435259005	0.642914503064783	-0.625995700352553	-0.625995700352553	0.219944435259005	0.431429469161894	1.06588457087056	-0.625995700352553	-0.414510666449663	1.06588457087056	0.854399536967673	0.642914503064783	-0.414510666449663	0.642914503064783	0.00845940135611539
stomach	0.468088417341507	0.268618921315297	0.468088417341507	-0.928198054841964	0.867027409393927	0.268618921315297	-0.130320070737124	-0.728728558815754	-1.12766755086817	-0.728728558815754	-0.928198054841964	0.268618921315297	1.66490539349877	1.66490539349877	-0.329789566763334	1.46543589747256	-0.928198054841964	-0.529259062789544	-0.529259062789544	0.667557913367717	-0.728728558815754	2.06384438555119	0.667557913367717	0.468088417341507	1.86437488952498	0.867027409393927	0.268618921315297	0.468088417341507	-0.928198054841964	-0.728728558815754
WBC	-3.87324925217192	-2.44160470331805	-3.09235222552436	-3.74309974773066	-2.44160470331805	-2.70190371220058	-3.35265123440688	-3.22250172996562	-3.09235222552436	-2.57175420775931	-2.57175420775931	-2.9622027210831	0.812132907713468	-3.74309974773066	-0.749661145581662	-3.48280073884814	-3.22250172996562	-3.22250172996562	-3.87324925217192	0.942282412154729	-3.74309974773066	-3.48280073884814	-3.35265123440688	-0.489362136699141	-2.9622027210831	-3.09235222552436	-3.22250172996562	-2.31145519887679	-2.9622027210831	-3.6129502432894
