	X6.P.1.sorted.clipped.bam.hapInfo.txt.hap	X6.P.10.sorted.clipped.bam.hapInfo.txt.hap	X6.P.2.sorted.clipped.bam.hapInfo.txt.hap	X6.P.3.sorted.clipped.bam.hapInfo.txt.hap	X6.P.4.sorted.clipped.bam.hapInfo.txt.hap	X6.P.5.sorted.clipped.bam.hapInfo.txt.hap	X6.P.6.sorted.clipped.bam.hapInfo.txt.hap	X6.P.7.sorted.clipped.bam.hapInfo.txt.hap	X6.P.8.sorted.clipped.bam.hapInfo.txt.hap	X6.P.9.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P11.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P12.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P13.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P14.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P15.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P16.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P17.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P18.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P19.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P20.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P21.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P22.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P23.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P24.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P25.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P26.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P27.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P28.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P29.sorted.clipped.bam.hapInfo.txt.hap	RRBS.6P30.sorted.clipped.bam.hapInfo.txt.hap
Brain	-2.91150914827858	-1.95272457694645	-2.67181300544555	-2.19242071977948	-1.71302843411341	-1.95272457694645	-1.95272457694645	-2.43211686261252	-1.95272457694645	-1.23363614844735	-2.19242071977948	-1.23363614844735	-1.71302843411341	-1.47333229128038	-1.95272457694645	-2.19242071977948	-1.47333229128038	-1.95272457694645	-1.71302843411341	-1.71302843411341	-1.23363614844735	-0.0351554342821783	-1.95272457694645	-1.95272457694645	-1.95272457694645	-1.71302843411341	-2.67181300544555	-1.71302843411341	-1.47333229128038	-1.95272457694645
Colon	-1.07327907760162	-1.07327907760162	-1.36283278558766	-1.79716334756673	-1.07327907760162	-1.50760963958069	-1.50760963958069	-0.783725369615568	-2.2314939095458	-2.08671705555278	-0.928502223608591	4.13868766614723	-0.783725369615568	-0.0598410996504498	2.40136541823095	-0.204617953643473	8.33721643194492	-0.638948515622544	-0.928502223608591	0.374489462328621	6.45511733003561	1.53270429427281	-0.349394807636497	-0.0598410996504498	-1.65238649357371	-0.494171661629521	2.25658856423793	-0.783725369615568	0.374489462328621	-1.94194020155976
CT	-1.1461282303442	-0.489947945795992	0.166232338752212	3.44713376149323	0.166232338752212	0.166232338752212	0.822412623300415	4.10331404604143	0.822412623300415	2.13477319239682	-0.489947945795992	13.9460183142645	-0.489947945795992	-0.489947945795992	3.44713376149323	-1.1461282303442	11.9774774606199	0.166232338752212	4.10331404604143	0.166232338752212	12.6336577451681	4.10331404604143	1.47859290784862	3.44713376149323	-0.489947945795992	0.822412623300415	8.04039575333065	-0.489947945795992	0.822412623300415	0.166232338752212
Intestine	-2.48935294352463	-1.85301527902447	-1.21667761452431	-1.21667761452431	-2.23481787772457	-2.10755034482453	-2.87115554222473	-2.3620854106246	-2.23481787772457	-1.5984802132244	-2.23481787772457	0.692335378976175	-1.9802828119245	-2.10755034482453	-1.5984802132244	-2.3620854106246	-0.0712698184240179	-1.47121268032437	-2.48935294352463	-1.9802828119245	-0.453072417124114	-1.34394514742434	-1.9802828119245	-1.34394514742434	-2.23481787772457	-2.74388800932469	-0.325804884224082	-2.3620854106246	-2.48935294352463	-2.48935294352463
Kidney	-1.81594433984341	-1.54651639624647	-1.27708845264952	-1.95065831164188	-1.68123036804494	-2.62422817063425	-2.22008625523883	-2.3548002270373	-1.95065831164188	-2.08537228344036	-1.81594433984341	-2.08537228344036	-2.22008625523883	-1.95065831164188	-1.68123036804494	-2.22008625523883	-0.872946537254102	-2.3548002270373	-2.08537228344036	-2.08537228344036	-1.54651639624647	-0.73823256545563	-1.81594433984341	-1.41180242444799	-1.81594433984341	-2.22008625523883	-0.872946537254102	-2.48951419883577	-1.95065831164188	-1.81594433984341
Liver	-1.17954408013978	-2.15288424406931	-1.93658642986274	-1.72028861565618	1.19973187613239	-1.50399080144962	-1.6121397085529	-0.0980550091069744	-0.963246265933219	-1.17954408013978	-1.6121397085529	-0.530650637520097	-1.6121397085529	-0.638799544623378	-0.422501730416816	-1.6121397085529	-0.314352823313536	-1.28769298724306	-1.39584189434634	-1.82843752275946	1.41602969033895	4.11975236792097	-1.82843752275946	-1.28769298724306	-2.04473533696603	-1.82843752275946	-0.963246265933219	-1.6121397085529	-1.6121397085529	-1.50399080144962
Lung	-2.71600090015802	-1.96489445653025	-2.26533703398135	-1.96489445653025	-2.26533703398135	-1.81467316780469	-2.1151157452558	-1.96489445653025	-1.96489445653025	-1.96489445653025	-1.96489445653025	-1.21378801290248	-1.66445187907914	-2.41555832270691	-1.51423059035358	-2.41555832270691	-0.763124146725814	-2.26533703398135	-2.41555832270691	-2.71600090015802	-1.06356672417692	-1.51423059035358	-1.36400930162803	-1.81467316780469	-1.96489445653025	-2.26533703398135	-2.26533703398135	-2.1151157452558	-2.26533703398135	-1.96489445653025
Pancreas	-2.28936947370133	-1.9520360541972	-2.28936947370133	-1.78336934444514	-1.9520360541972	-2.62670289320545	-2.62670289320545	-2.12070276394927	-2.62670289320545	-2.28936947370133	-2.28936947370133	0.409297882331672	-1.9520360541972	-1.10870250543689	-1.27736921518895	-1.78336934444514	-0.096702246924516	-1.9520360541972	-1.78336934444514	-1.61470263469308	2.77063181886055	-0.096702246924516	-2.45803618345339	-2.12070276394927	-2.12070276394927	-2.12070276394927	-1.44603592494102	-1.9520360541972	-1.9520360541972	-1.61470263469308
Spleen	-2.16295869078454	-1.49616285246282	-1.30564975579948	-1.30564975579948	-1.40090630413115	-1.87718904578952	-1.78193249745785	-1.49616285246282	-1.87718904578952	-2.06770214245287	-2.16295869078454	-0.829367014141107	-1.68667594912617	-1.5914194007945	-1.87718904578952	-2.06770214245287	-1.2103932074678	-1.87718904578952	-1.97244559412119	-1.68667594912617	-0.16257117581939	-1.30564975579948	-1.68667594912617	-1.97244559412119	-1.97244559412119	-1.97244559412119	-1.5914194007945	-1.01988011080446	-1.30564975579948	-1.97244559412119
Stomach	-2.64949899388926	-2.15965735574211	-1.99637680969306	-1.99637680969306	-2.15965735574211	-1.50653517154591	-1.66981571759496	-2.15965735574211	-1.99637680969306	-1.83309626364401	-2.15965735574211	-0.363571349202552	-1.66981571759496	-1.66981571759496	-2.32293790179116	-1.99637680969306	1.432514657337	-2.15965735574211	-1.99637680969306	-1.50653517154591	0.289550834993649	-1.1799740794478	-1.99637680969306	-1.99637680969306	-1.99637680969306	-1.99637680969306	-1.34325462549685	-2.32293790179116	-2.15965735574211	-2.48621844784021
