	NCP1	NCP2	NCP3	NCP4	NCP5	NCP6	NCP7	NCP8	NCP9	NCP10	NCP11	NCP12	NCP13	NCP14	NCP15	NCP16	NCP17	NCP18	NCP19	NCP20	NCP21	NCP22	NCP23	NCP24	NCP25	NCP26	NCP27	NCP28	NCP29	NCP30	NCP31	NCP32	NCP33	NCP34	NCP35	NCP36	NCP37	NCP38	NCP39	NCP40	NCP41	NCP42	NCP43	NCP44	NCP45	NCP46	NCP47	NCP48	NCP49	NCP50	NCP51	NCP52	NCP53	NCP54	NCP55	NCP56	NCP57	NCP58	NCP59	NCP60	NCP61	NCP62	NCP63	NCP64	NCP65	NCP66	NCP67	NCP68	NCP69	NCP70	NCP71	NCP72	NCP73	NCP74	NCP75
Brain	21	14	15	20	24	11	16	13	13	16	11	32	21	17	16	17	24	15	18	16	19	17	6	18	17	11	24	15	23	17	12	14	13	38	15	6	13	11	16	25	28	14	25	5	11	14	10	16	17	19	22	14	20	15	3	12	14	17	17	19	6	14	17	14	20	21	21	17	12	17	19	10	27	27	11
Colon	21	21	15	15	22	18	27	26	12	17	19	19	32	14	15	12	13	1	13	11	11	18	20	13	14	25	22	13	20	20	15	16	11	13	19	16	16	15	16	12	17	24	21	21	16	12	16	15	11	10	11	23	17	20	17	18	23	13	18	22	22	11	24	13	15	12	21	26	16	19	22	21	13	26	16
Intestine	22	20	18	16	18	35	21	22	21	12	17	21	20	15	3	12	10	23	15	15	14	24	13	24	18	20	11	19	22	20	15	19	22	17	19	17	29	20	18	13	12	14	21	12	17	12	24	11	21	12	25	14	11	13	15	11	15	14	11	15	20	19	13	14	19	20	11	16	18	17	17	18	16	13	21
Kidney	23	15	11	16	15	25	19	22	6	15	20	26	17	12	19	21	25	23	11	21	20	13	20	16	10	19	21	18	11	20	16	16	17	22	20	11	31	13	18	19	14	18	15	20	22	19	14	22	20	11	15	21	17	15	21	23	13	18	13	20	15	19	16	19	18	23	13	13	16	18	17	16	16	13	10
Liver	15	25	14	22	12	21	19	14	18	16	19	16	19	19	11	17	17	14	13	32	14	23	12	16	17	16	21	17	25	2	18	21	18	29	15	24	16	20	16	29	13	29	13	13	22	13	30	22	18	16	13	10	14	25	13	22	14	15	21	15	24	12	26	23	13	11	17	25	20	23	11	10	30	22	30
Lung	20	12	15	15	10	12	11	17	13	21	33	22	11	15	18	17	18	16	19	17	11	25	19	16	19	21	19	20	16	13	14	19	12	26	16	18	23	17	21	20	14	15	17	15	15	15	20	13	12	23	15	15	11	40	22	19	17	17	20	11	11	13	15	10	27	11	25	20	19	14	20	17	12	18	10
Pancreas	21	15	16	19	14	20	30	12	10	10	14	16	22	19	18	10	20	16	23	18	18	16	18	17	12	12	12	23	17	24	22	14	23	23	19	23	4	15	20	26	16	19	15	20	16	13	25	13	19	11	27	13	14	17	18	10	15	24	16	11	11	17	16	22	16	15	12	20	18	18	11	12	12	14	20
Spleen	20	11	26	11	12	11	15	16	14	25	13	24	25	19	19	20	15	14	18	12	10	16	12	3	17	18	14	21	17	21	14	13	20	16	11	15	23	15	18	12	13	17	24	22	17	13	17	18	23	20	30	21	14	15	15	18	14	10	13	15	16	13	18	16	22	12	15	17	21	12	23	24	25	21	22
stomach	13	20	18	19	25	18	26	11	20	16	21	21	14	21	17	15	10	16	15	20	13	13	19	13	13	14	13	13	32	18	21	17	2	16	18	13	11	14	19	22	12	12	11	12	10	21	10	15	24	22	16	13	19	12	21	14	10	17	28	12	25	22	19	21	21	18	15	7	19	21	14	14	20	20	12
WBC	37	33	43	29	23	34	37	32	40	35	28	51	47	43	33	40	31	37	32	35	28	48	24	29	34	46	48	46	45	46	46	44	41	56	35	38	53	40	40	42	43	37	34	40	40	53	41	40	36	46	42	33	29	53	35	51	31	27	42	42	39	29	40	45	48	28	47	53	51	34	51	39	45	44	45
CT	8	9	8	10	9	9	5	7	7	7	8	14	10	7	7	7	7	5	6	5	7	7	9	8	6	8	6	5	8	14	5	6	8	8	8	5	9	6	8	10	6	7	8	6	6	7	9	7	8	11	8	8	8	10	9	11	7	8	7	7	9	9	10	9	10	5	9	10	9	7	10	11	12	7	8
