Yield MHL
1 13.95 0.012359837116137
2 8.42 0.0145051412837331
3 31.7 0.00689906176021238
4 48.49 0.0140000195842938
5 21.97 0.00841330955386135
6 11.49 0.0114037362510323
7 10.59 0.0205992665556512
8 9.83 0.000590165190513791
9 23.54 0.00063731395047553
10 14.27 0.00701350282764892
11 31.95 0.0092398217202942
13 45.3 0.0597063626380708
14 24.41 0.029565541099745
15 9.54 0.0804752850126152
16 18.09 0.0212916536018558
18 22.31 0.0103148551876222
19 18.18 0.00974858966563732
20 61.11 0.0292668673702222
23 29.27 0.0275223652668928
24 15.14 0.0240292319446122
25 46.4 0.0133264923843187
26 17.89 0.0316075420239349
27 92.73 0.0709153430006245
29 10.02 0.0197249439045729
31 43.71 0.0250384230129512
33 18.65 0.0865025878166736
34 75.68 0.0062200002834908
35 20.26 0.0126904595710602
36 21.47 0.0216375658918063
37 16.53 0.0127446995930351
38 21 0.0445925600937477
39 12.18 0.00769766893630862
40 21.28 0.0655984490848087
41 8.75 0.01738226041705
42 15.33 0.00122745532813809
43 18.5 0.00361999883654785
44 21.23 0.0460612457846871
45 14 0.0174235262553291
46 91.77 0.0103392462521533
48 17.37 0.0476911413199138
49 40.69 0.0426691156143797
50 17.81 0.0452248170769623
51 59.84 0.0744166338489197
52 88.89 0.0255559427210515
54 12.51 0.0448362537480139
55 11.48 0.0117662563609084
57 40.77 0.0198433165740086
58 12 0.0358711825914887
59 15.6 0.0112329580235292
60 12.31 0.008824349737241
61 13.65 0.00881227640850663
62 22.6 0.0245257816735024
63 6.55 0.04534709801556
64 6.22 0.0191167957198873
65 10.29 0.0245477226657513
66 5.92 0.00621758044377726
67 8.55 0.0198355717688132
68 8.15 0.00291457105918549
69 8.4 0.0441963418370698
70 7.85 0.0240641308312069
71 5.9 0.0204818094645418
72 7 0.0150054016448547
73 6.3 0.00335769670101124
74 9.45 0.0115961532120868
75 5.25 0.0100790961686597
76 6.4 0.0271701259324452
77 10.25 0.00466124032258366
78 9 0.00999350222521364
79 7.65 0.0281323498311984
80 7 0.0216905842945791
81 4.15 0.00262229313337318
82 3.6 0.00237461369909765
83 6.2 0.0143286154866788
84 5.45 0.0062511378079403
85 4.95 0.00265057166365215
86 14.66 0.0205290491411841
87 11.55 0.0242832489902491
88 13.8 0.00271764820093381
90 12.74 0.0178732938738225
91 15.54 0.0306317402611361
92 13.76 0.0271025157881843
93 35.73 0.0258556231878002
94 20.6 0.0195258815940818
95 15.6 0.0170739861146222
96 33.25 0.0129493219736621
97 31.98 0.0271508226544167
98 9.6 0.0189095208162436
99 20.96 0.00835909986348535
101 12.33 0.0283343594484183
102 27.71 0.0220941032722025
103 24.84 0.038388451344356
104 15.38 0.0219939323663197
105 18.99 0.015484127598985
106 15.11 0.0128535152332692
107 16.64 0.0138281687524073
108 23.38 0.0402168885977155
109 28.23 0.0514591263278809
110 19.74 0.0233829256936242
111 47.31 0.0271021870882917
112 74.54 0.0879478259805068
114 12.29 0.029126317257746
115 24.31 0.0371115521893927
116 31.5 0.0351694618704028
117 48.46 0.00751531341877547
118 50 0.0546447324077612
119 41.11 0.0575238203077745
120 8.2 0.0198337857506155
121 70.85 0.0245463228380832
122 25.78 0.0568649760147812
123 9.47 0.00915380571425685
124 8.11 0.0215016542030344
125 13.27 0.033848583791163
126 16 0.00963600331607316
127 17.83 0.0407310945821886
128 24.41 0.0345880283129749
129 24.72 0.03563580736702
130 70.38 0.0606491218826918
131 17.44 0.0468742785059808
132 10.65 0.025781260927976
133 10.73 0.00774597492328433
134 11.28 0.0146129480365716
135 14.04 0.0201059199047357
