	V1
CCP	3.0517578125e-05
CCP.1	3.0517578125e-05
CCP.2	0.01171875
CCP.3	0.375
CCP.4	0.09375
CCP.5	0.046875
CCP.6	0.1875
CCP.7	0.046875
CCP.8	0.375
CCP.9	0.01171875
CCP.10	0.0234375
CCP.11	6.103515625e-05
CCP.12	0.046875
CCP.13	0.375
CCP.14	0.375
CCP.15	0.046875
CCP.16	0.046875
CCP.17	1.9073486328125e-06
CCP.18	0.046875
CCP.19	0.1875
CCP.20	3.814697265625e-06
CCP.21	0.0234375
CCP.22	1.9073486328125e-06
CCP.23	0.046875
CCP.24	0.0003662109375
CCP.25	3.0517578125e-05
CCP.26	3.814697265625e-06
CCP.27	0.046875
CCP.28	1.9073486328125e-06
CCP.29	9.5367431640625e-07
