	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
	2.532	0.05	0.038	0.06	0.062	0.038	0.046	0.04	0.048	0.04
	0.044	3.598	0.056	0.05	0.036	0.03	0.046	0.05	0.028	0.058
	0.044	0.04	3.556	0.044	0.032	0.046	0.042	0.046	0.048	0.06
	0.042	0.05	0.056	3.582	0.05	0.048	0.046	0.044	0.058	0.048
	0.054	0.03	0.04	0.036	4.588	0.042	0.064	0.048	0.056	0.044
	0.066	0.038	0.046	0.042	0.038	4.602	0.034	0.054	0.042	0.048
	0.06	0.048	0.044	0.052	0.054	0.04	2.582	0.038	0.068	0.042
	0.05	0.048	0.052	0.042	0.042	0.048	0.052	5.586	0.046	0.046
	0.056	0.068	0.05	0.048	0.056	0.046	0.048	0.048	4.556	0.046
	0.052	0.03	0.062	0.044	0.042	0.06	0.04	0.046	0.05	3.568
z	0.844	0.8995	0.889	0.8955	0.9176	0.9204	0.860666666666667	0.931	0.9112	0.892
