	PCP1	PCP2	PCP3	PCP4	PCP5	PCP6	PCP7	PCP8	PCP9	PCP10
Brain	0	0	0	0	0	0	0	0	0	0
Colon	1.64557647718322	1.97967910253824	0	0	0	3.89472344081552	0.215425175866456	0	0	0
Intestine	0	0	0	0	0	0	0	0	0	0
Kidney	0	0	0	0	0	0	0	0	0	0
Liver	0	0	0	0	0	0	0	0	0	0
Lung	0	0	0	0	0.642230681521481	1.50382129408421	0	0	0	0.142686311533642
Pancreas	0.522063754687733	0	0	0.522063754687733	0.814426488110691	0	0	0.522063754687733	1.45366487187298	1.45366487187298
Spleen	0	0	0	0	0	0	0	0	0	0
stomach	0	0	0	0	0	0	0	0	0	0
WBC	0.594524159860304	0.961708200967754	0	2.00012936247077	0	0.961708200967754	1.77857781509182	0.961708200967754	1.15557241306013	0
CT	6.61994425631566	6.61994425631566	7.94131037918875	3.25267933908767	1.49966483436863	1.49966483436863	0.768175157736334	0.131604769164673	5.39833877283773	3.25267933908767
