cp	tt	nt	np
19768	1	1	NA	0.0118518518518518
33458	0.423854166666667	0.558333333333333	0.00434782608695652	0.025
68429	0.850549450549451	0.6	0.0241407982261641	NA
86298	0.470620557426113	0.57363315696649	NA	0.0337962962962963
98027	0.612927627927628	0.501190476190476	0.00298507462686567	0.0738095238095239
103276	0.561111111111111	1	0.0251661918328585	NA
112310	1	1	0.00380952380952381	0.025
130712	0.571666666666667	1	0.0395177262824322	0.00444444444444444
139370	0.895833333333333	1	0.00320512820512821	NA
NA	0.931554178145087	1	0.0220760233918128	0.0405982905982906
NA	0.596153846153846	0.527777777777778	NA	0.0555555555555556
NA	0.505555555555556	1	0.00233918128654971	0.0111111111111111
NA	1	0.593943833943834	0.00388654274598477	0.00476190476190476
NA	0.427016079158936	0.656666666666667	NA	0.00317460317460317
NA	NA	1	0.148281821274685	0.0243322109988777
NA	0.833333333333333	1	0.00203035274815423	NA
NA	0.770046466691204	0.802619047619048	NA	0.00416666666666667
NA	0.566666666666667	1	NA	0.0439814814814815
NA	0.830555555555555	0.510416666666667	0.0238095238095238	0.0937500000000001
NA	0.739292929292929	1	NA	0.0555555555555556
NA	0.832199546485261	1	0.00347222222222222	NA
NA	0.673675213675214	1	0.0086682427107959	0.00666666666666667
NA	0.527777777777778	0.638888888888889	NA	0.0416666666666667
NA	0.7125	0.5325	0.0362179487179487	NA
NA	1	0.832914862914863	0.0021505376344086	0.00929257512006459
NA	0.433333333333333	0.66875	NA	0.0583333333333333
NA	1	1	0.0048780487804878	0.0166666666666667
NA	0.736345598845599	1	0.000701754385964912	0.0277777777777778
NA	0.955555555555555	0.510416666666667	0.0182539682539682	NA
NA	1	0.542592592592593	0.00476190476190476	NA
NA	0.668981481481482	0.625	0.00354767184035477	0.0555555555555556
NA	0.71683170995671	0.559722222222222	0.121445279866333	0.05
NA	1	1	0.0196759259259259	NA
NA	1	1	0.00932055749128919	NA
NA	0.619835054884409	0.664189985376776	0.0607503607503607	0.00293410293410293
NA	0.9	1	0.0496384913536076	NA
NA	0.922222222222222	0.518910256410256	0.00268817204301075	0.0494708994708995
NA	0.87962962962963	0.555555555555555	0.00198412698412698	NA
