ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-9006934	R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	289/5101	458/10619	2.49915926653881e-11	3.50382129168741e-08	2.91480891297368e-08	MTOR/PTPRU/LCK/COL9A2/THBS3/NTRK1/LAMB3/ADAM12/DOCK1/RNF41/PXN/WASF3/FLT1/KL/COL4A1/ARHGEF7/AKT1/NEDD4/MAP2K5/CSK/IGF1R/MEF2A/PCSK6/CDH5/RANBP10/ESRP2/BCAR1/MAPK7/GFAP/GGA3/BAIAP2/YES1/LAMA1/SOCS6/PTPRS/PRKACA/EPS15L1/CALM3/AP2A1/PPP2R1A/EPN1/ROCK2/NRP2/FN1/COL6A3/PLCG1/YWHAB/LAMA5/TIAM1/COL6A1/RBFOX2/NCF4/ITPR1/DUSP7/MUC20/FGFRL1/FGFR3/KLB/MEF2C/FGFR4/ITPR3/WASF1/PLG/THBS2/ELMO1/TNS3/EGFR/NOS3/PTK2B/DUSP4/FGFR1/PLAT/PRKACG/PCSK5/NTRK2/PTPN3/COL27A1/MAPKAP1/LAMC3/RAPGEF1/VAV2/COL5A1/IRS4/PRKCZ/CDC42/WASF2/PIK3R3/MKNK1/EPS15/DOCK7/PRKACB/COL24A1/COL11A1/VAV3/AHCYL1/RAP1A/NGF/RIT1/DNM3/LAMC1/LAMC2/AKT3/STAM/ABI1/ITGB1/CXCL12/NRG3/FGFR2/AP2A2/PDE3B/PTPRJ/POLR2G/PAK1/GAB2/YAP1/PDGFD/CUL5/CBL/FGF23/NTF3/PTPN6/GRIN2B/PTPRO/ITPR2/NCKAP1L/STAT6/RAP1B/PTPN11/ATP6V0A2/FLT3/GTF2F2/COL4A2/PSEN1/RPS6KA5/HSP90AA1/CYFIP1/SPRED1/USP8/ADAM10/NRG4/SH3GL3/NTRK3/PRKCB/POLR2C/ATP6V0D1/WWOX/CYBA/CRK/POLR2A/NCOR1/GRAP/AP2B1/TNS4/JUP/STAT5B/STAT5A/STAT3/ATP6V0A1/DUSP3/ITGA3/CLTC/PRKCA/GRB2/SPHK1/PTPN2/ROCK1/LAMA3/PIK3C3/RIT2/FGF22/POLR2E/MATK/SH3GL1/VAV1/INSR/COL5A3/DNM2/VRK3/KIDINS220/ADAM17/MEMO1/SOS1/PRKCE/SPRED2/TIA1/TGFA/NCK2/RALB/PTPN18/STAM2/NCKAP1/STAT1/ABI2/ERBB4/IRS1/COL4A4/COL4A3/ITCH/SRC/ELMO2/PTPN1/COL9A3/ATP6V1E1/MAPK1/POLR2F/PDGFB/GRAP2/PRR5/CTNNB1/LAMB2/RHOA/MST1R/DOCK3/TLR9/PRKCD/LRIG1/ATP6V1A/COL6A5/COL6A6/PIK3R4/NCK1/PIK3CB/TEC/PDGFRA/KIT/POLR2B/EREG/EGF/GAB1/PDGFC/RICTOR/FGF10/ERBIN/THBS4/RASA1/FER/CTNNA1/NRG2/PDGFRB/CYFIP2/FGF18/ATP6V0E1/FLT4/RANBP9/FYN/LAMA4/PTPRK/LAMA2/TAB2/ESR1/RPS6KA2/COL11A2/RAC1/ADCYAP1R1/RALA/PTPN12/SH2B2/LAMB1/ATP6V0A4/BRAF/PPP2CB/NRG1/ATP6V1H/LYN/PAG1/ATP6V0D2/WWP1/ESRP1/POLR2K/PTK2/SH3GL2/CLTA/SHB/SHC3/ATP6V1G1/DNM1/RALGDS/VEGFD/SH3KBP1/RPS6KA3/ELK1/FURIN/PAK2/MAPK13/ATP6V0E2/NCF2/NTF4/CALM2/ITGA2	289
R-HSA-373752	R-HSA-373752	Netrin-1 signaling	43/5101	50/10619	2.26469287184121e-08	1.58754970316069e-05	1.32067352736845e-05	DOCK1/TRPC6/RGMA/PITPNA/PLCG1/DSCAM/ROBO1/TRIO/TRPC7/SLIT3/CDC42/PRKCQ/MAPK8/UNC5B/SLIT1/ABLIM1/PAK1/DSCAML1/AGAP2/NTN4/PTPN11/TRPC4/NEO1/SIAH1/NTN1/DCC/SRC/NCK1/TRPC1/ABLIM2/SLIT2/UNC5C/MYO10/ABLIM3/UNC5A/FYN/EZR/RAC1/WASL/UNC5D/PTK2/TRPC5/MAPK13	43
R-HSA-112316	R-HSA-112316	Neuronal System	251/5101	413/10619	7.81570479891676e-08	3.6525393760271e-05	3.03852663761395e-05	EPB41/PTPRF/SLC1A7/KCNC4/CHRNB2/KCNN3/CACNA1E/PPFIA4/KCNMA1/KCNJ11/PLCB3/NRXN2/SHANK2/GRIK4/NRGN/SLC6A12/SLITRK5/ARHGEF7/GABRB3/APBA2/CHRFAM7A/HCN4/ADCY9/GRIN2A/KCNG4/TUBB3/KCNH6/DLGAP1/TUBB6/PTPRS/CACNA1A/PRKACA/SLC1A6/KCNK6/GRIK5/CALM3/KCNA7/AP2A1/SHANK1/TUBA3D/CHRNA1/PLCB1/DLGAP4/KCNQ2/DNAJC5/SLC6A1/GRIP2/ADCY5/KCNMB3/CAMK2A/GLRA1/GRIA1/RIMS1/CAMK2B/ADCY1/STX1A/ACHE/PRKAG2/CHRNB3/NCALD/PRKACG/CACNA1B/NLGN4X/NLGN3/GNB1/KCNAB2/DLGAP3/GRIK3/PRKAA2/GNG12/LRRC7/PRKACB/KCND3/PRKAB2/KCNJ10/KCNH1/KCNK2/KCNK1/GNG4/CACNB2/LRRTM3/CAMK2G/SLC18A2/AP2A2/KCNQ1/SYT9/PPFIBP2/ABCC8/SLC1A2/RTN3/SYT12/PPFIA1/DLG2/GRM5/GRIA4/KCNJ5/SLC6A13/GRIN2B/ABCC9/SYT10/SLC38A1/CACNB3/TUBA1C/KCNH3/GRIP1/MDM2/KCNMB4/KCNC2/SYT1/PPFIA2/ALDH2/ADCY4/GNG2/KCNH5/SIPA1L1/NRXN3/KCNK10/BEGAIN/GABRA5/GABRG3/CHRNA7/RASGRF1/HOMER2/NTRK3/ABAT/PRKCB/ADCY7/CAMKK1/KCNJ12/GIT1/SLC6A4/AP2B1/MAPT/NSF/PPM1E/PRKCA/CACNG4/KPNA2/PRKAR1A/EPB41L3/GNAL/KCNG2/GNG7/KCNN1/GRIN2D/ADCY3/KCNG3/NRXN1/LRRTM4/EPB41L5/CACNB4/KCNH7/GLS/ERBB4/PRKAG3/CHRND/EPB41L1/SRC/KCNB1/CHRNA4/GRIK1/KCNJ6/TUBA8/MAPK1/PPM1F/SYN3/CACNG2/CAMK1/SLC6A11/SYN2/KCNH8/PRKAR2A/GNAI2/CACNA2D2/CACNA2D3/GABRR3/KCNAB1/NLGN1/KCNMB2/HTR3C/IL1RAP/DLG1/GABRA2/GABRA4/GABRB1/NAAA/PDLIM5/CAMK2D/GLRB/GRIA2/GLRA3/SLC6A3/ADCY2/SLC1A3/PRKAA1/HCN1/HOMER1/RASGRF2/CAMK4/KCNN2/GABRG2/ALDH5A1/KCNK17/LRFN2/KCNQ5/MYO6/GABRR1/GABRR2/GRIK2/EPB41L2/GRM1/RPS6KA2/PRKAR1B/RAC1/DBNL/GNAI1/CACNA2D1/GNGT1/PRKAR2B/KCND2/NRG1/CHRNA6/KCNB2/ADCY8/KCNQ3/KCNK9/SLC1A1/PTPRD/UNC13B/APBA1/GABBR2/STXBP1/GRIN1/RPS6KA3/IL1RAPL1/CASK/MAOA/RPS6KA6/IL1RAPL2/GABRA3/NLGN4Y/KCNA2/KCNA3/ACTN2/GNG3/TUBA3C/GNB3/TUBA1B/PLCB2/CALM2/GRIN3A	251
R-HSA-1500931	R-HSA-1500931	Cell-Cell communication	91/5101	129/10619	1.58517646300246e-07	5.55604350282363e-05	4.62204084475455e-05	CLDN19/CADM3/LAMB3/ACTN3/NECTIN1/KRT5/PXN/ACTN1/CDH5/PARD6A/CDH15/KRT14/SDK2/VASP/SPTBN1/LIMS2/CDH4/CLDN18/CLDN11/CLDN16/CDH6/DST/SDK1/FLNC/PTK2B/PLEC/SPTAN1/FLNA/KIRREL1/NECTIN4/LAMC2/RSU1/ITGB1/PARD3/ILK/PARVA/CADM1/KIRREL3/PTPN6/PTPN11/CLDN10/FERMT2/MPP5/IQGAP1/CLDN6/CDH8/CDH3/CDH1/CDH13/JUP/GRB2/LAMA3/CDH2/CDH7/PARD6G/NPHS1/ACTN4/NECTIN2/NCK2/LIMS1/ITGA6/SIRPG/SRC/PARD6B/CLDN14/PARVB/CTNNB1/CADM2/CD47/NECTIN3/NCK1/PIK3CB/PRKCI/CDH18/CDH12/CDH10/CDH9/FYB1/CTNNA1/CD2AP/FYN/AFDN/SKAP2/MAGI2/WASL/CDH17/PTK2/CASK/ARHGEF6/ACTN2/KIRREL2	91
R-HSA-194840	R-HSA-194840	Rho GTPase cycle	95/5101	138/10619	5.31985203435584e-07	0.000149168651043338	0.000124092548506658	ARHGEF16/ARHGAP29/SRGAP2/OBSCN/ARHGAP21/ARHGAP22/ARHGAP19/ARAP1/ARHGEF17/RACGAP1/ARHGEF7/ARHGEF40/ABR/ARHGAP27/ARHGAP45/TRIP10/PLEKHG2/ARHGEF4/NGEF/PREX1/TIAM1/ARHGEF3/KALRN/ARHGAP10/TRIO/ARAP3/ARHGEF5/FGD3/VAV2/PLEKHG5/ARHGEF19/ARHGEF10L/CDC42/SYDE2/VAV3/ARHGAP30/RHOU/GDI2/ARHGAP12/RHOBTB1/ARHGAP42/ARHGEF12/ARHGAP32/FGD4/SRGAP1/STARD13/MCF2L/ARHGAP5/SOS2/RHOJ/ARHGAP11B/MYO9A/AKAP13/ARHGAP17/ARHGAP44/RHOT1/ARHGAP23/RALBP1/VAV1/MYO9B/ARHGEF1/ARHGAP35/SOS1/ARHGAP25/ARHGAP15/CHN1/ITSN1/BCR/RAC2/SRGAP3/RHOA/ARHGAP31/ARHGEF26/ECT2/ARAP2/ARHGAP24/FAM13A/DEPDC1B/RASGRF2/FAM13B/ARHGAP26/ARHGEF37/ARHGAP18/TIAM2/RAC1/CHN2/ARHGEF10/DLC1/ARHGAP39/ARHGAP6/OPHN1/STARD8/ARHGEF6/MCF2/RAC3	95
R-HSA-6811442	R-HSA-6811442	Intra-Golgi and retrograde Golgi-to-ER traffic	131/5101	202/10619	8.73351435782625e-07	0.000204073118827873	0.000169767261552131	MAN1C1/ARF1/GALNT2/KIF26B/VTI1A/ARF3/RACGAP1/MAN2A2/DCTN5/TUBB3/PAFAH1B1/KIF1C/KIF19/TUBB6/TGOLN2/TUBA3D/RAB3GAP1/KIF1A/SYS1/STX16/SNAP29/GOLIM4/KIF3A/CUX1/GCC1/KIF13B/KIFC2/BICD2/SURF4/KIF1B/CAPZB/KIF2C/VPS45/KIFAP3/STX6/KIF21B/RAB3GAP2/COG2/USP6NL/KIF5B/KIF20B/KIF11/GBF1/COPB1/KIF18A/RAB6A/RAB30/RAB39A/ZW10/PAFAH1B2/ARCN1/BICD1/KIF21A/TUBA1C/COPZ1/DCTN2/DYNLL1/TMED2/COG3/ACTR10/TMED10/TRIP11/GOLGA5/DYNC1H1/KLC1/TMED3/COG7/DYNC1LI2/COG8/COG4/VPS53/NSF/GOSR2/COG1/CYTH1/NAPG/GALNT1/PLIN3/STX10/NAPA/NBAS/KIF3C/VPS54/GCC2/DYNC1I2/KIF16B/NAPB/AGPAT3/TUBA8/PLA2G6/ARFGAP3/GOLGA4/KIF15/ARF4/TMF1/RAB43/RAB6B/COPB2/STX18/CENPE/SCOC/KIF2A/RHOBTB3/MAN2A1/BNIP1/KIF6/KLC4/MAN1A1/IGF2R/KIF25/CYTH3/DYNC1I1/RINT1/COG5/CAPZA2/COPG2/RIC1/KIF27/NAA35/GOLGA1/KIF4A/RAB9B/VAMP3/VPS51/TUBA3C/DCTN1/ARFRP1/ARFIP2/TUBA1B/KIF18B/ALPP	131
R-HSA-1489509	R-HSA-1489509	DAG and IP3 signaling	35/5101	42/10619	2.29682022059975e-06	0.000460020278468692	0.000382688241266845	ADCY9/PRKACA/CALM3/PLCG1/ITPR1/ADCY5/CAMK2A/ITPR3/CAMK2B/ADCY1/PRKACG/PRKACB/AHCYL1/CAMK2G/ITPR2/PDE1B/ADCY4/ADCY7/CAMKK1/PRKCA/KPNA2/PRKAR1A/ADCY3/PRKCE/PDE1A/PRKAR2A/PRKCD/CAMK2D/ADCY2/CAMK4/PRKAR1B/PDE1C/PRKAR2B/ADCY8/CALM2	35
R-HSA-112315	R-HSA-112315	Transmission across Chemical Synapses	168/5101	272/10619	2.80638185650345e-06	0.000488086087273817	0.000406036027253839	SLC1A7/CHRNB2/CACNA1E/PPFIA4/PLCB3/GRIK4/NRGN/SLC6A12/ARHGEF7/GABRB3/CHRFAM7A/ADCY9/GRIN2A/TUBB3/TUBB6/CACNA1A/PRKACA/SLC1A6/GRIK5/CALM3/AP2A1/TUBA3D/CHRNA1/PLCB1/DNAJC5/SLC6A1/GRIP2/ADCY5/CAMK2A/GLRA1/GRIA1/RIMS1/CAMK2B/ADCY1/STX1A/ACHE/PRKAG2/CHRNB3/NCALD/PRKACG/CACNA1B/GNB1/GRIK3/PRKAA2/GNG12/LRRC7/PRKACB/PRKAB2/KCNJ10/GNG4/CACNB2/CAMK2G/SLC18A2/AP2A2/SLC1A2/PPFIA1/DLG2/GRIA4/KCNJ5/SLC6A13/GRIN2B/SLC38A1/CACNB3/TUBA1C/GRIP1/MDM2/SYT1/PPFIA2/ALDH2/ADCY4/GNG2/GABRA5/GABRG3/CHRNA7/RASGRF1/ABAT/PRKCB/ADCY7/CAMKK1/KCNJ12/GIT1/SLC6A4/AP2B1/MAPT/NSF/PPM1E/PRKCA/CACNG4/KPNA2/PRKAR1A/GNAL/GNG7/GRIN2D/ADCY3/CACNB4/GLS/ERBB4/PRKAG3/CHRND/EPB41L1/SRC/CHRNA4/GRIK1/KCNJ6/TUBA8/MAPK1/PPM1F/SYN3/CACNG2/CAMK1/SLC6A11/SYN2/PRKAR2A/GNAI2/CACNA2D2/CACNA2D3/GABRR3/HTR3C/DLG1/GABRA2/GABRA4/GABRB1/NAAA/CAMK2D/GLRB/GRIA2/GLRA3/SLC6A3/ADCY2/SLC1A3/PRKAA1/RASGRF2/CAMK4/GABRG2/ALDH5A1/MYO6/GABRR1/GABRR2/GRIK2/RPS6KA2/PRKAR1B/RAC1/GNAI1/CACNA2D1/GNGT1/PRKAR2B/NRG1/CHRNA6/ADCY8/SLC1A1/UNC13B/APBA1/GABBR2/STXBP1/GRIN1/RPS6KA3/CASK/MAOA/RPS6KA6/GABRA3/ACTN2/GNG3/TUBA3C/GNB3/TUBA1B/PLCB2/CALM2/GRIN3A	168
R-HSA-5663202	R-HSA-5663202	Diseases of signal transduction	231/5101	389/10619	3.13322024640824e-06	0.000488086087273817	0.000406036027253839	MIB2/PIK3CD/MTOR/LCK/LRP5/VWF/HDAC7/NR4A1/RASAL1/NCOR2/KL/RASA3/PPP2R5C/AKT1/SMAD3/CSK/MPRIP/KSR1/KAT2A/PSME3/HDAC5/CALM3/PPP2R1A/FN1/IHH/LRRFIP1/HDAC4/PLCG1/YWHAB/PSMA7/KREMEN1/TGFBR2/FGFR3/KLB/LRAT/AGGF1/CAMK2A/NEURL1B/FGFR4/SYNGAP1/CDKN1A/HDAC9/PSMA2/CAMK2B/EGFR/AKAP9/CUX1/NAPEPLD/SND1/KIAA1549/FAM131B/CUL1/TNKS/FGFR1/TLN1/DAB2IP/MAPKAP1/ARAF/OPN1MW/CASP9/HDAC1/PSMB2/PIK3R3/ZFYVE9/ABCA4/RAP1A/RASAL2/HHAT/PPP2R5A/WNT3A/AKT3/APBB1IP/CAMK2G/VCL/NRG3/PTEN/PIK3AP1/NEURL1/TCF7L2/FGFR2/CTBP2/PSMC3/POLR2G/BAD/RPS6KB2/ARRB1/GAB2/MAML2/CBL/FGF23/LRP6/FGFR1OP2/RAP1B/MDM2/BRAP/PTPN11/KSR2/ZMYM2/CDK8/FOXO1/GTF2F2/PSMB5/PSMC6/PSMA3/PPP2R5E/ESR2/RDH12/PSEN1/SNW1/SEL1L/PSMC1/HSP90AA1/JAG2/SPRED1/DLL4/ADAM10/STRA6/NRG4/IQGAP1/TSC2/CREBBP/POLR2C/POLR2A/NCOR1/MYO18A/NF1/PSMD11/PSMB3/STAT5B/STAT5A/STAT3/RNF43/PSMD12/GRB2/MIB1/SMAD2/SMAD4/FGF22/POLR2E/VAV1/TGFB1/AKT1S1/ADAM17/STRN/SOS1/PSME4/SPRED2/TGFA/PSMD14/STAT1/ERBB4/IRS1/PSMD1/PSMF1/JAG1/SRC/MAPK1/BCR/RAC2/POLR2F/PDGFB/EP300/PRR5/ATG7/RAF1/HDAC11/KAT2B/CTNNB1/TRAK1/GSK3B/PIK3CB/RASA2/TBL1XR1/CTBP1/RBPJ/PDGFRA/KIT/POLR2B/EREG/DKK2/PAPSS1/EGF/CAMK2D/MAML3/GAB1/FBXW7/TENT4A/RICTOR/FGF10/AP3B1/RASA1/APC/NRG2/CSNK1A1/PDGFRB/FAM114A2/FGF18/MAML1/FOXO3/FYN/HDAC2/ESR1/QKI/FGFR1OP/PSMB1/RAC1/RASA4/PSMC2/TRIM24/ZC3HAV1/KDM7A/BRAF/AGK/PPP2CB/NRG1/BAG4/ESRP1/POLR2K/FZD6/VCP/TGFBR1/PSMD5/CNTRL/TBL1X/HDAC6/HDAC8/MAMLD1/HES5/SYVN1/OS9/CALM2	231
R-HSA-112040	R-HSA-112040	G-protein mediated events	43/5101	55/10619	4.33865043075713e-06	0.00060827879039215	0.000506023650239884	PLCB3/ADCY9/GNAO1/PRKACA/CALM3/PLCB1/ITPR1/ADCY5/CAMK2A/ITPR3/CAMK2B/ADCY1/PRKACG/PRKACB/AHCYL1/CAMK2G/ITPR2/PDE1B/ADCY4/ADCY7/CAMKK1/PRKCA/KPNA2/PRKAR1A/GNAL/ADCY3/PDE1A/PLCB4/MAPK1/GNAZ/PRKAR2A/GNAI2/PRKCD/CAMK2D/ADCY2/CAMK4/PRKAR1B/PDE1C/GNAI1/PRKAR2B/ADCY8/PLCB2/CALM2	43
