V1	V2	V3
1	SGIP1	0	
2	SLC45A1	0	
3	NECAP2	0	
4	CLIC4	0	
5	AZIN2	0	
6	AGBL4	0	
7	TGFBR3	1	30729664
8	DBT	0	
9	PRUNE1	0	
10	RFWD2	0	
11	C1orf21	0	
12	LIN9	0	
13	C1orf159	0	
14	PRKCZ	1	30857284
15	PRDM16	0	
16	ICMT	0	
17	CAMTA1	0	
18	LOC105378614	0	
19	PINK1	0	
20	PINK1-AS	0	
21	USP48	0	
22	EPHB2	0	
23	STMN1	0	
24	NUDC	0	
25	EYA3	0	
26	EPB41	0	
27	PUM1	0	
28	KHDRBS1	0	
29	CSMD2	0	
30	SFPQ	0	
31	THRAP3	0	
32	MACF1	0	
33	PTPRF	0	
34	RNF220	0	
35	GPBP1L1	0	
36	TRABD2B	0	
37	FAF1	0	
38	RAB3B	0	
39	SCP2	0	
40	TCEANC2	0	
41	USP24	0	
42	DAB1	0	
43	FGGY	0	
44	NFIA	2	23463857;23408906
45	USP1	0	
46	ITGB3BP	0	
47	CACHD1	0	
48	LEPR	0	
49	LRRC7	0	
50	NEGR1	0	
51	ST6GALNAC3	0	
52	PIGK	0	
53	DDAH1	0	
54	CLCA4	0	
55	PKN2-AS1	0	
56	LRRC8C	0	
57	FAM69A	0	
58	GCLM	0	
59	LOC729970	0	
60	LOC102723661	0	
61	NTNG1	0	
62	GNAI3	0	
63	KCNA2	0	
64	RAP1A	0	
65	RHOC	2	31572525;28738693
66	PHTF1	0	
67	WDR3	0	
68	NOTCH2	0	
69	NBPF9	0	
70	PDZK1	0	
71	LOC101927429	0	
72	OTUD7B	0	
73	TPM3	0	
74	GBAP1	0	
75	SMG5	0	
76	FCGR2A	0	
77	PBX1	1	24805109
78	LOC440700	0	
79	MROH9	0	
80	DNM3	0	
81	TNFSF18	0	
82	TNN	0	
83	BRINP2	0	
84	RASAL2	0	
85	SOAT1	0	
86	ACBD6	0	
87	RGSL1	0	
88	SMG7	0	
89	PTGS2	0	
90	ZBTB41	0	
91	NEK7	0	
92	PPP1R12B	0	
93	SRGAP2	0	
94	HHAT	0	
95	BATF3	0	
96	USH2A	0	
97	ESRRG	0	
98	EPRS	2	27859851;21299872
99	DNAH14	0	
100	TRIM11	0	
101	NUP133	0	
102	TSNAX-DISC1	0	
103	LINC00582	0	
104	LYST	0	
105	MTR	3	26937101;18434722;17551576
106	LOC100130331	0	
107	RGS7	0	
108	KIF26B	0	
109	SMYD3	0	
110	ZNF496	0	
111	OR14C36	0	
112	LINC01128	0	
113	FAM132A	0	
114	AURKAIP1	0	
115	CDK11B	0	
116	NADK	0	
117	SKI	6	30391330;29390055;26561764;26404760;25169984;24256074
118	TNFRSF14	0	
119	TTC34	0	
120	MEGF6	0	
121	CCDC27	0	
122	DFFB	0	
123	AJAP1	0	
124	NPHP4	0	
125	KCNAB2	1	23264583
126	ACOT7	0	
127	PLEKHG5	0	
128	PER3	0	
129	TNFRSF9	0	
130	RERE	0	
131	GPR157	0	
132	H6PD	0	
133	CLSTN1	0	
134	CTNNBIP1	0	
135	UBE4B	0	
136	KIF1B	0	
137	PEX14	0	
138	CASZ1	0	
139	C1orf127	0	
140	EXOSC10	0	
141	MTOR	6	31629736;31625260;31321287;27208652;23880185;19828446
142	AGTRAP	0	
143	MFN2	0	
144	TNFRSF8	0	
145	VPS13D	0	
146	AADACL4	0	
147	KAZN	0	
148	TMEM51-AS1	0	
149	FHAD1	0	
150	DNAJC16	0	
151	SPEN	1	31441251
152	FBXO42	0	
153	NBPF1	0	
