CHR	arm	gene	dmr.no	dmr.start	dmr.end	dmr.size	dmr.core.start	dmr.core.end	dmr.core.size	X01_AVG	X11_AVG	deltaBeta	dmr.p	dmr.p.rank
1	p	GRHL3	1	24645808	24645962	155	24645850	24645953	104	0.0769096198203144	0.195934218529093	0.119024598708778	3.19789532992788e-07	36
1	p	FAM229A	2	32817308	32817472	165	32817320	32817463	144	0.0392953102994205	0.0766533103460277	0.0373580000466072	5.46872113416347e-16	7
1	p	CNN3	3	95392294	95392730	437	95392372	95392682	311	0.0766615561929665	0.336134429216294	0.259472873023328	7.01708933596262e-14	11
1	q	KCTD3	4	215741177	215741459	283	215741182	215741318	137	0.0344178814523075	0.0840891109719858	0.0496712295196783	2.44548607638405e-17	5
1	q	RHOU	5	228871259	228871353	95	228871301	228871311	11	0.0976496893703787	0.247384853853386	0.149735164483007	8.53512810946206e-07	38
2	p	GALM	6	38892960	38893835	876	38893161	38893519	359	0.0698696518631843	0.25237148368205	0.182501831818865	3.93098319558182e-21	4
2	q	AGAP1	7	236402951	236403073	123	236402993	236403031	39	0.0727614202134652	0.343986514956191	0.271225094742726	5.46872113416347e-16	7
3	p	MAGI1	8	66024540	66024570	31	66024549	66024561	13	0.0472086615517463	0.194417479725485	0.147208818173739	6.02567198119596e-14	10
3	q	MCF2L2	9	182970692	182971044	353	182970719	182970927	209	0.147372134364573	0.299352062164337	0.151979927799763	0.434112867065458	52
4	p	AFAP1	10	7787628	7788299	672	7787944	7787983	40	0.95829566665105	0.798704255269557	-0.159591411381493	3.81141172783409e-21	3
4	p	C4orf19	11	37455483	37455501	19	37455485	37455499	15	0.107835522783491	0.439248215563872	0.33141269278038	2.45959391735633e-07	34
4	q	CDS1	12	85504039	85504062	24	85504039	85504053	15	0.0288437486177363	0.148996726848167	0.12015297823043	1.38577524176478e-05	45
5	p	CLPTM1L	13	1341526	1342844	1319	1342124	1342200	77	0.837643523877284	0.493815815933232	-0.343827707944052	1.4122170395932e-05	46
5	q	ARAP3	14	141061858	141061908	51	141061863	141061902	40	0.0642735162629859	0.235902927395589	0.171629411132603	2.86904236923185e-09	24
5	q	PRELID2	15	145214970	145214988	19	145214971	145214981	11	0.0674736181477524	0.240781951120554	0.173308332972801	2.69101864500474e-07	35
6	p	MIR548AI	16	30069715	30070144	430	30069780	30070109	330	0.061689984404803	0.116456718249771	0.0547667338449683	5.11319277727273e-07	37
6	p	TRIM15	17	30131257	30131659	403	30131283	30131634	352	0.434561797068137	0.745799758673548	0.311237961605411	0.000139954017041734	47
6	p	TRIM15	18	30139432	30139827	396	30139478	30139686	209	0.470210934820732	0.128174077528088	-0.342036857292644	0.000444092274224749	49
6	q	PTPRK	19	128841963	128841981	19	128841969	128841979	11	0.0472763898188121	0.172048487289719	0.124772097470907	1.16094144251968e-07	32
6	q	CNKSR3	20	154831765	154831783	19	154831770	154831780	11	0.0549009712655896	0.228318907741091	0.173417936475502	1.02480144331494e-09	22
7	p	MIR589	21	5535688	5535808	121	5535692	5535748	57	0.813698861418351	0.595484183877761	-0.21821467754059	0.000630204001267419	50
7	p	ARL4A	22	12726871	12726992	122	12726919	12726944	26	0.0533795664372446	0.278994960813301	0.225615394376057	7.39771880294328e-16	9
7	p	FKBP9	23	32996864	32996882	19	32996869	32996881	13	0.0645005388181241	0.267142273709962	0.202641734891838	2.44548607638405e-17	5
7	q	MNX1	24	156802313	156802367	55	156802323	156802340	18	0.0798818158692413	0.278279269374346	0.198397453505105	9.56846772839895e-09	27
8	q	GRHL2	25	102504387	102504507	121	102504447	102504501	55	0.0778170262166011	0.23218534137715	0.154368315160549	0.000139954017041734	47
8	q	FAM84B	26	127569503	127569659	157	127569581	127569650	70	0.092358969866335	0.30826665849895	0.215907688632615	4.10132083010063e-06	42
8	q	RHPN1	27	144450924	144450942	19	144450925	144450942	18	0.0426317312058256	0.106918502138627	0.0642867709328009	1.51494473111323e-13	13
10	q	PLEKHA1	28	124133953	124134075	123	124134013	124134020	8	0.0722167142215843	0.221264571616367	0.149047857394782	1.63986043975231e-08	29
11	q	ME3	29	86383188	86383348	161	86383236	86383300	65	0.05756852420271	0.269334509555609	0.211765985352899	1.00653074109652e-11	17
12	p	TEAD4	30	3068024	3068078	55	3068026	3068077	52	0.0529006752055192	0.219102453565651	0.166201778360132	7.96885090111749e-09	25
12	p	LTBR	31	6493261	6493279	19	6493264	6493278	15	0.0575252815486372	0.279967079323184	0.222441797774547	1.05609866944088e-08	28
13	q	PDX1	32	28494126	28494225	100	28494161	28494177	17	0.0889733174764115	0.364203523137976	0.275230205661564	9.11914069076224e-06	44
13	q	CARKD	33	111267969	111268073	105	111267979	111268031	53	0.0449342280058229	0.0930095162250133	0.0480752882191904	2.7932915114481e-06	41
13	q	ADPRHL1	34	114108536	114110833	2298	114108652	114109949	1298	0.892138090406497	0.726396152130409	-0.165741938276088	0.156651826476047	51
14	q	MIR203	35	104583021	104583098	78	104583048	104583071	24	0.100418763416959	0.369321386273031	0.268902622856073	9.38818560117814e-10	21
15	q	SLC12A6	36	34610693	34611385	693	34610829	34611069	241	0.0846245240389642	0.216689119372078	0.132064595333114	7.96885090111749e-09	25
15	q	UACA	37	71056088	71056172	85	71056115	71056145	31	0.0593409420841385	0.246669196362382	0.187328254278244	2.42995482697842e-11	18
16	p	CLUAP1	38	3550915	3550941	27	3550924	3550932	9	0.0290862033912243	0.118190923085679	0.089104719694455	4.15584758456617e-12	16
16	p	EMP2	39	10674415	10674510	96	10674457	10674468	12	0.0348760854153376	0.221305596617977	0.186429511202639	1.65196405521008e-06	40
16	q	CDH1	40	68771152	68771251	100	68771182	68771203	22	0.0750871586087236	0.262760186023667	0.187673027414944	1.46080705334691e-12	14
16	q	BCAR1	41	75285411	75285604	194	75285489	75285526	38	0.0288295836945006	0.11662267377201	0.0877930900775098	1.05549905721775e-21	2
17	p	USP43	42	9548885	9548911	27	9548894	9548902	9	0.0642983908497948	0.190564189551722	0.126265798701927	1.08595881722311e-07	31
