	6-P-1	6-P-10	6-P-11	6-P-12	6-P-13	6-P-14	6-P-15	6-P-16	6-P-17	6-P-18	6-P-19	6-P-2	6-P-20	6-P-21	6-P-22	6-P-23	6-P-24	6-P-25	6-P-26	6-P-27	6-P-28	6-P-29	6-P-3	6-P-30	6-P-4	6-P-5	6-P-6	6-P-7	6-P-8	6-P-9	6-T-1	6-T-2	6-T-3	6-T-4	6-T-5	NC-P-1	NC-P-12	NC-P-13	NC-P-14	NC-P-15	NC-P-16	NC-P-17	NC-P-18	NC-P-19	NC-P-2	NC-P-20	NC-P-21	NC-P-22	NC-P-23	NC-P-24	NC-P-25	NC-P-26	NC-P-27	NC-P-29	NC-P-3	NC-P-30	NC-P-5	NC-P-6	NC-P-7	NC-P-8	NC-P-9	N37-Colon	STL001SG-01	STL003SG-01
chr3:49508239-49508330	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	0.00444444444444444	NA	NA	NA	0.0111111111111111	NA	NA	NA	NA	NA	NA	NA	NA	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr5:31855385-31855404	NA	NA	0.5	1	0.0125	NA	NA	1	NA	NA	NA	NA	NA	NA	0.04	NA	NA	NA	0.333333333333333	NA	0.5	NA	NA	NA	0.005	NA	NA	NA	NA	NA	0.116666666666667	NA	NA	NA	1	NA	NA	0.025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00434782608695652
chr16:49518429-49518452	NA	NA	0.0238095238095238	1	1	NA	NA	1	NA	1	1	NA	1	1	NA	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0333333333333333	NA	1	NA	0.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.025	0.0232815964523282
chr9:78507263-78507351	NA	NA	0.138888888888889	0.666666666666667	0.0151515151515152	1	0.333333333333333	0.0416666666666667	1	0.0185185185185185	0.933333333333333	NA	NA	0.0666666666666667	0.916666666666667	0.0666666666666667	NA	0.652777777777778	1	0.1	0.5	0.0208333333333333	NA	1	NA	NA	NA	NA	NA	NA	0.111111111111111	0.869047619047619	NA	NA	0.740740740740741	NA	0.0208333333333333	NA	NA	NA	0.0138888888888889	NA	NA	NA	NA	NA	NA	0.0666666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1:179335024-179335244	NA	NA	NA	NA	NA	NA	NA	NA	1	0.98974358974359	0.06	NA	NA	NA	NA	NA	0.796666666666667	NA	NA	NA	0.311155511155511	0.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.00238095238095238	NA	NA	NA	NA	NA	NA	NA	0.00476190476190476	NA	0.142857142857143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00298507462686567	NA
chr10:50817208-50817226	NA	0.0277777777777778	NA	NA	0.277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0.5	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0251661918328585	NA
chr10:82116561-82116620	NA	NA	NA	1	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.025	NA	NA	NA	NA	0.00380952380952381	NA
chr15:68119677-68119718	NA	NA	NA	NA	NA	1	NA	0.0166666666666667	0.0133333333333333	NA	NA	NA	1	NA	NA	NA	0.958333333333333	1	NA	NA	NA	NA	0.0133333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00444444444444444	NA	NA	NA	NA	NA	0.0771836007130125	0.00185185185185185	NA
chr12:72665617-72665649	NA	NA	1	0.666666666666667	NA	1	0.5	NA	NA	NA	1	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00320512820512821
chr12:114918080-114918206	NA	NA	NA	0.638888888888889	NA	0.638888888888889	1	1	NA	1	1	NA	NA	1	1	NA	1	NA	NA	NA	1	0.969318181818182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0256410256410256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	0.0219298245614035	0.0222222222222222
