	McaM	McoM	Pvalue	OR	CI.upper	CI.lower	Logistic.P	Sens	Spec	AUC
cg06830064	0.629093924106173	0.843422615165705	1.69309543742996e-05	-3.99771117613562	-1.99416908680077	-6.75376499212975	0.00109804730729693	0.935135135135135	0.8125	0.859797297297297
cg08165221	0.430597548109244	0.193641871719012	5.07522478703945e-05	4.13074856783671	6.0067531715803	2.54922416380188	1.10035711904991e-05	0.940540540540541	0.8125	0.825675675675676
cg08432727	0.450797220374703	0.200699706440685	0.000130120193094093	2.97440689798064	4.54358013789034	1.67040551618107	9.96560540350559e-05	0.864864864864865	0.8125	0.803716216216216
cg08526991	0.686922646179896	0.360416157531613	7.55523972561144e-05	2.83463824379791	4.11161313311716	1.758114191911	1.10035711904991e-05	0.913513513513514	0.8125	0.815878378378378
cg11716272	0.415734452651024	0.200997128932451	0.000551499719148464	2.4348447186792	3.98966979013402	1.17290831375623	0.000793358896305758	0.821621621621622	0.8125	0.764864864864865
cg12312988	0.209810701631357	0.082999007047566	0.0010839096353088	2.99054493856579	6.55466603324609	0.838194641788744	0.0341989842496502	0.627027027027027	0.875	0.747972972972973
cg14776201	0.421073158180712	0.167671211540142	0.000168039218153704	1.89775947432234	3.34514090504001	0.817147624106323	0.00282144791575639	0.794594594594595	0.8125	0.794594594594595
cg15989068	0.443956020576236	0.270251835752665	0.000551499719148464	3.05459100031408	4.77001477630395	1.56508322840312	0.000298090676100688	0.827027027027027	0.8125	0.765540540540541
cg16330247	0.445779801057834	0.383093481602659	0.113273973619398	0.735483165869174	1.93146836765004	-0.418480586818382	0.215667115850487	0.52972972972973	0.875	0.619594594594595
cg18863333	0.333126410209247	0.122307346727072	3.35153253098366e-05	4.67023688201608	7.1222045198841	2.67661110080152	9.96560540350559e-05	0.951351351351351	0.75	0.836148648648649
cg18897632	0.541598002914862	0.200232782381729	0.000551499719148464	1.71785270332298	2.72955911176352	0.893635148873828	0.00030885466086655	0.8	0.8125	0.766891891891892
cg19958021	0.586017844475731	0.788095683403638	0.000145591373411793	-3.3092226737606	-1.57183986780609	-5.66334944038283	0.00151562874235212	0.767567567567568	0.8125	0.799324324324324
cg20008332	0.405400358847345	0.133964065786546	1.69309543742996e-05	4.35084354852585	6.32732232661946	2.73551118155923	1.10035711904991e-05	0.913513513513514	0.8125	0.85777027027027
cg20401252	0.415207278932041	0.196968714726768	3.35153253098366e-05	4.13162742389933	6.19908885526783	2.41572605009925	5.79022376692865e-05	0.848648648648649	0.875	0.837837837837838
cg20927661	0.557633777202239	0.205697735783833	0.000366320637000658	1.76856536944806	2.75541400924594	0.953640908227119	0.000191090133691924	0.810810810810811	0.8125	0.778040540540541
cg26659079	0.456751463484637	0.268378598782192	0.000973829187555251	2.50442617077822	4.0287284909497	1.19385714792168	0.000704735142704741	0.837837837837838	0.8125	0.751689189189189
