Pvalue.pair	Statistic.pair	mean1.pair	mean2.pair	SD1.pair	SD2.pair	FDR.pair	Pvalue.single	Statistic.single	mean1.single	mean2.single	SD1.single	SD2.single	FDR.single	V1	V2	V3	V4	V5	V6	V7
5.356326e-08	0.204	0.233	0.029	0.225	0.008	4.194834e-07	4.382735e-46	0.22	0.249	0.029	0.26	0.008	4.57802e-45	chr1	169396706	169396707	cg00002719	C1orf114	Island	I
3.997933e-09	0.234	0.362	0.127	0.22	0.049	4.412544e-08	2.4737e-51	0.229	0.356	0.127	0.202	0.049	3.348529e-50	chr19	17501257	17501258	cg00024280	cg00024280	N_Shore	I
1.286464e-06	0.173	0.21	0.037	0.222	0.007	7.008382e-06	4.854993e-30	0.125	0.162	0.037	0.194	0.007	2.60019e-29	chr3	147077127	147077128	cg00025647	cg00025647	Island	I
1.289709e-07	0.209	0.376	0.167	0.23	0.062	9.08993e-07	1.942514e-20	0.146	0.313	0.167	0.222	0.062	7.183382e-20	chr13	42031281	42031282	cg00025981	C13orf15	Island	I
5.464614e-07	0.183	0.217	0.034	0.227	0.011	3.265799e-06	2.858464e-34	0.135	0.169	0.034	0.192	0.011	1.800301e-33	chr6	30227813	30227814	cg00026375	HLA-L	Island	I
5.118294e-05	0.189	0.421	0.233	0.274	0.109	0.0001918622	6.997406e-08	0.116	0.349	0.233	0.256	0.109	1.458769e-07	chr12	52241041	52241042	cg00029353	cg00029353	Island	II
3.418483e-11	0.229	0.32	0.091	0.192	0.038	7.867636e-10	2.111391e-59	0.214	0.305	0.091	0.185	0.038	4.531773e-58	chr3	38080704	38080705	cg00030422	DLEC1	Island	I
3.233193e-11	0.282	0.507	0.225	0.229	0.054	7.513228e-10	8.263413e-49	0.253	0.478	0.225	0.239	0.054	9.854713e-48	chr6	26271718	26271719	cg00036011	HIST1H3G	N_Shore	II
7.13485e-07	0.255	0.301	0.046	0.316	0.032	4.142099e-06	2.919397e-35	0.212	0.258	0.046	0.288	0.033	1.912077e-34	chr2	223289277	223289278	cg00043095	SGPP2	Island	I
9.647138e-06	0.156	0.425	0.269	0.222	0.079	4.269441e-05	3.027655e-14	0.133	0.401	0.269	0.226	0.079	8.642198e-14	chr1	43389643	43389644	cg00045275	cg00045275	N_Shore	II
4.464516e-11	0.355	0.418	0.064	0.302	0.031	9.8394e-10	4.556756e-62	0.3	0.364	0.064	0.282	0.031	1.160849e-60	chr12	133195094	133195095	cg00058329	P2RX2	Island	I
3.677236e-07	0.249	0.275	0.026	0.299	0.01	2.296004e-06	5.000085e-35	0.183	0.209	0.026	0.258	0.01	3.244841e-34	chr2	228736253	228736254	cg00063174	WDR69	Island	I
6.292988e-07	0.171	0.281	0.109	0.213	0.049	3.70209e-06	5.271504e-23	0.135	0.244	0.109	0.205	0.049	2.158328e-22	chr1	44883227	44883228	cg00069860	RNF220	Island	I
4.734947e-08	0.179	0.384	0.204	0.194	0.066	3.767742e-07	1.182284e-11	0.103	0.308	0.204	0.213	0.066	2.995722e-11	chr14	64805784	64805785	cg00071442	ESR2	Island	II
2.699828e-05	0.158	0.23	0.072	0.242	0.019	0.0001078551	1.877298e-30	0.139	0.211	0.072	0.21	0.019	1.021125e-29	chr12	62585204	62585205	cg00089798	FAM19A2	Island	II
2.19306e-14	0.388	0.465	0.077	0.251	0.041	1.854386e-12	3.659429e-88	0.357	0.434	0.077	0.243	0.041	8.324938e-86	chr2	45171818	45171819	cg00097146	SIX3	Island	I
1.031009e-08	0.227	0.352	0.125	0.244	0.079	9.973274e-08	1.685511e-31	0.235	0.359	0.125	0.245	0.079	9.53606e-31	chr5	140892370	140892371	cg00104845	PCDHGB5	N_Shore	I
8.730254e-14	0.448	0.681	0.233	0.234	0.177	5.787026e-12	7.221564e-19	0.33	0.562	0.233	0.299	0.177	2.509043e-18	chr2	264199	264200	cg00108164	ACP1	Island	I
4.498788e-09	0.283	0.388	0.105	0.268	0.056	4.879272e-08	7.700463e-45	0.25	0.355	0.105	0.256	0.056	7.595089e-44	chr1	35351407	35351408	cg00114029	DLGAP3	Island	I
7.717263e-06	0.203	0.348	0.145	0.274	0.041	3.494144e-05	6.240669e-47	0.239	0.384	0.145	0.26	0.041	6.786871e-46	chr1	25255838	25255839	cg00117172	RUNX3	Island	II
2.924354e-07	0.203	0.239	0.036	0.241	0.019	1.875399e-06	3.043069e-41	0.178	0.214	0.036	0.223	0.019	2.550097e-40	chr4	90758537	90758538	cg00119181	SNCA	Island	I
1.381184e-08	0.237	0.324	0.087	0.242	0.031	1.285486e-07	1.77431e-63	0.242	0.329	0.087	0.218	0.031	4.922887e-62	chr3	169530027	169530028	cg00121634	LRRC34	Island	II
1.606733e-08	0.284	0.349	0.066	0.29	0.052	1.467306e-07	5.454713e-46	0.256	0.321	0.066	0.268	0.052	5.671885e-45	chr16	31228059	31228060	cg00133595	TRIM72	Island	I
4.401372e-05	0.171	0.193	0.022	0.269	0.008	0.0001675039	3.040575e-20	0.116	0.138	0.022	0.229	0.008	1.115722e-19	chr4	2061018	2061019	cg00145177	NAT8L	Island	I
3.177312e-06	0.186	0.236	0.05	0.247	0.026	1.574326e-05	3.602098e-35	0.161	0.211	0.05	0.219	0.026	2.350315e-34	chr15	89942691	89942692	cg00149947	cg00149947	Island	I
2.15997e-06	0.16	0.185	0.025	0.21	0.005	1.11383e-05	9.513556e-31	0.116	0.141	0.025	0.178	0.005	5.234841e-30	chr2	175201062	175201063	cg00153110	SP9	Island	I
2.345854e-05	0.164	0.203	0.038	0.246	0.029	9.499915e-05	1.312807e-29	0.166	0.204	0.038	0.251	0.029	6.914504e-29	chr1	12227825	12227826	cg00155063	TNFRSF1B	S_Shore	I
9.54492e-11	0.259	0.472	0.213	0.234	0.093	1.856053e-09	4.611888e-23	0.209	0.422	0.213	0.232	0.093	1.892308e-22	chr5	32713290	32713291	cg00155526	NPR3	Island	II
2.271346e-08	0.275	0.394	0.118	0.298	0.063	1.984997e-07	5.477409e-36	0.244	0.362	0.118	0.29	0.063	3.695317e-35	chr6	159590231	159590232	cg00157796	FNDC1	Island	I
5.249325e-05	0.209	0.579	0.371	0.272	0.194	0.0001962149	2.890505e-11	0.237	0.608	0.371	0.24	0.194	7.189594e-11	chr17	43037427	43037428	cg00164949	C1QL1	Island	I
1.970364e-15	0.361	0.497	0.136	0.216	0.063	2.721982e-13	1.531825e-64	0.336	0.472	0.136	0.225	0.063	4.575777e-63	chr1	223538379	223538380	cg00172597	SUSD4	Island	I
3.762917e-06	0.178	0.275	0.097	0.244	0.035	1.831516e-05	1.916098e-22	0.136	0.232	0.097	0.236	0.035	7.676117e-22	chr8	26372472	26372473	cg00174421	PNMA2	Island	II
4.646839e-05	0.155	0.225	0.071	0.245	0.013	0.0001759445	6.74349e-36	0.165	0.236	0.071	0.229	0.013	4.533105e-35	chr3	48632778	48632779	cg00178511	COL7A1	Island	I
2.457824e-06	0.179	0.405	0.226	0.219	0.076	1.250605e-05	3.972737e-19	0.156	0.382	0.226	0.217	0.076	1.395012e-18	chr17	43047971	43047972	cg00182758	cg00182758	S_Shore	II
