	Pvalue	FDR	Delta	MG1	MG2
chr10:108257738-108257957	3.82657975329044e-05	0.0426330223709727	0.413983579696008	0.413984775522204	1.19582619623155e-06
chr10:114206915-114207145	5.82857178206703e-06	0.0155136545123124	0.00273665329560544	0.00311200165684062	0.000375348361235178
chr10:114516091-114516239	8.79850166337983e-07	0.00490316317466212	0.434636694282803	0.777916420076383	0.34327972579358
chr10:13325693-13325757	4.86621309195594e-06	0.0138156655893721	0.368087918194144	0.707158135210661	0.339070217016517
chr10:99543145-99543306	1.74204493261017e-05	0.0285620239828223	0.515469116759464	0.865822512481975	0.350353395722511
chr11:133895208-133895289	5.20792101977751e-07	0.0044357425701751	0.420683367716591	0.703469091188322	0.282785723471731
chr11:70675047-70675064	2.29999320513607e-07	0.00326495535435091	0.458159784660731	0.843189925903892	0.385030141243162
chr11:74755571-74755670	1.88617912151835e-07	0.00321303068634166	0.699494964570284	0.810607118616347	0.111112154046063
chr11:74879759-74879792	2.17371137423059e-05	0.0316553739981377	0.369587840296764	0.675950446342802	0.306362606046039
chr12:122473294-122473391	1.59215614665425e-05	0.0271217430957965	0.339496459916601	0.499540446300879	0.160043986384278
chr12:19566094-19566384	2.00030292918916e-05	0.0315503335903386	0.392123083736882	0.720218823052069	0.328095739315186
chr12:50297658-50297737	1.55076797274462e-05	0.0269558286821587	0.019116829786061	0.019884962247964	0.000768132461903016
chr12:62272840-62273057	7.61318879341278e-08	0.00216146043033782	0.617361088729329	0.886905727715872	0.269544638986543
chr13:114143551-114143702	2.15760205361308e-05	0.0316553739981377	0.491594312139377	0.702778964020379	0.211184651881002
chr13:114792743-114792819	6.23128456752655e-06	0.0159404041192111	0.472156467822941	0.885803529008736	0.413647061185795
chr13:44951601-44951703	9.25586107832267e-07	0.00490316317466212	0.436809699942497	0.771226251044204	0.334416551101707
chr13:84479955-84479986	3.47977489934632e-05	0.0415781511935746	0.509600420957603	0.654623760179105	0.145023339221502
chr15:40716967-40717206	2.60461529027871e-06	0.00853241915841955	0.488636442736309	0.616881022458548	0.128244579722239
chr15:81225671-81225683	1.39511831571738e-05	0.0264347337074337	0.463808185105413	0.979564809668914	0.515756624563501
chr16:50498378-50498496	3.60916950065229e-05	0.0415781511935746	0.447570937404065	0.655842320345013	0.208271382940947
chr16:85554644-85554714	3.39386432574105e-07	0.00369986222791872	0.333682486901235	0.400425986812074	0.0667434999108382
chr16:87261080-87261129	1.39200284327561e-05	0.0264347337074337	0.431354184731465	0.719724989716084	0.288370804984619
chr16:8781086-8781117	3.56553359077715e-05	0.0415781511935746	0.448009006365163	0.738133810200771	0.290124803835608
chr17:44173873-44173936	5.02534375181719e-08	0.00214011801686763	0.833333569063871	1.00000124592381	0.16666767685994
chr17:76858135-76858247	3.85420581940861e-05	0.0426330223709727	0.583333410357222	0.756945505465648	0.173612095108426
chr17:79790530-79790895	3.20814860758497e-05	0.0401834766696816	0.000864956901260645	0.000914156249239236	4.91993479785908e-05
chr18:13256649-13256779	1.11053200324252e-05	0.0230700834907745	0.617482004403463	1.00000125949086	0.382519255087396
chr18:20767412-20767450	2.32401940581463e-05	0.0327065920182605	0.553307605275158	0.864816113286744	0.311508508011586
