	genesymbol	McaM	McoM	Pvalue	OR	CI.upper	CI.lower	Logistic.P	Sens	Spec	AUC
ACSS3_81471976	ACSS3	0.306236578644107	0.11361022938615	3.05443604059324e-12	3.35303383409272	4.65188043650475	2.25645847157553	8.22678530748665e-08	0.705882352941177	0.825581395348837	0.817373461012312
ACSS3_81471981	ACSS3	0.282668413865307	0.0947892716041453	4.28314598347597e-12	3.39673059716241	4.76826416830272	2.25389022415556	1.96839924007693e-07	0.682352941176471	0.883720930232558	0.814774281805746
ACSS3_81471989	ACSS3	0.35613643914696	0.133246307562817	1.10603271586936e-12	3.02733218012291	4.14601786970933	2.07789119692973	2.80377889472449e-08	0.764705882352941	0.790697674418605	0.824623803009576
ACSS3_81471994	ACSS3	0.327062948274555	0.107817478634071	5.85452988338917e-13	3.4126923424032	4.73285624272854	2.31789508975261	6.40804047409432e-08	0.729411764705882	0.872093023255814	0.8296853625171
ACSS3_81472018	ACSS3	0.24480189504295	0.0783221169327589	5.90812578012413e-12	3.97339285645862	5.61691563933854	2.62276875604775	2.9798005107943e-07	0.647058823529412	0.895348837209302	0.812517099863201
ACSS3_81472024	ACSS3	0.337827420071088	0.143552521327276	9.08933976969693e-13	3.89650431832305	5.42880320593043	2.63832809623976	8.35562268354732e-08	0.752941176470588	0.86046511627907	0.826128590971272
ACSS3_81472026	ACSS3	0.284068666733962	0.0897519586846874	2.98745481411384e-13	3.79531455516757	5.27502205908307	2.56836527697521	7.64751065959381e-08	0.729411764705882	0.848837209302326	0.835020519835841
ACSS3_81472031	ACSS3	0.378237410603352	0.164429447478523	2.75680908037453e-12	3.16835556557991	4.26991363003841	2.21322927472462	7.75661787435584e-09	0.752941176470588	0.790697674418605	0.818057455540356
ACSS3_81472037	ACSS3	0.324639652981444	0.162223939598157	1.45692901448684e-11	4.04447218265176	5.6862679959953	2.68564903993601	2.05425871476296e-07	0.776470588235294	0.802325581395349	0.806019151846785
ACSS3_81472044	ACSS3	0.25249967702604	0.113544795077911	2.56950210804642e-10	4.63311015938191	6.69297995962839	2.9701467587242	1.45815141585549e-06	0.682352941176471	0.86046511627907	0.784404924760602
ACSS3_81472067	ACSS3	0.335997422543197	0.099334247286348	1.86586215270188e-13	3.51639714287143	4.82293872190264	2.43558256271789	2.36764863659185e-08	0.741176470588235	0.848837209302326	0.838714090287278
ACSS3_81472079	ACSS3	0.269038895802798	0.0805804979816667	9.18091001033401e-13	4.43051645761371	6.18479917207019	2.9988260720331	9.27369215906161e-08	0.705882352941177	0.872093023255814	0.825991792065663
ACSS3_81472097	ACSS3	0.336201298076683	0.111183202733968	1.37981913316897e-12	3.3157530405733	4.56327258323791	2.27284119756499	3.69179401497256e-08	0.752941176470588	0.825581395348837	0.822982216142271
ACSS3_81472105	ACSS3	0.294657963217056	0.093187927466984	1.22396987118821e-12	3.52024422104914	4.97241369213707	2.33869888758997	2.46713355019694e-07	0.752941176470588	0.848837209302326	0.823803009575923
ACSS3_81472112	ACSS3	0.294985196221325	0.0954059224426745	1.16671989426894e-11	3.50034418702271	4.93302487885783	2.323662024181	2.35056749214476e-07	0.705882352941177	0.86046511627907	0.80766073871409
ACSS3_81472118	ACSS3	0.29253194033072	0.0946435318465277	8.57275321431923e-12	3.65747666344115	5.18322065280903	2.41393052425599	3.47787061536582e-07	0.694117647058824	0.848837209302326	0.809917920656635
AKAP12_151562291	AKAP12	0.0140935295028584	0.00947245719994833	0.0133236870180165	12.8968640735029	32.9252872741018	0.666536707089768	0.12160212514021	0.952941176470588	0.244186046511628	0.611080711354309
AKAP12_151562303	AKAP12	0.0234208325228708	0.0124731169380791	0.0372763101197506	7.50873980014002	19.5339642689637	0.72738591562349	0.117442459595119	0.635294117647059	0.546511627906977	0.59343365253078
