	Case_to_Control.logFC	Case_to_Control.AveExpr	Case_to_Control.t	Case_to_Control.P.Value	Case_to_Control.adj.P.Val	Case_to_Control.B	Case_to_Control.Case_AVG	Case_to_Control.Control_AVG	Case_to_Control.deltaBeta	Case_to_Control.CHR	Case_to_Control.MAPINFO	Case_to_Control.Strand	Case_to_Control.Type	Case_to_Control.gene	Case_to_Control.feature	Case_to_Control.cgi	Case_to_Control.feat.cgi	Case_to_Control.UCSC_Islands_Name	Case_to_Control.SNP_ID	Case_to_Control.SNP_DISTANCE
cg26870611	0.0198274255376529	0.877082942221468	2.89289175417047	0.0056927499377556	0.116487469824753	-3.70952202622919	0.867169229452642	0.886996654990295	0.019827425537653	10	102535339	R	II	PAX2	Body	opensea	Body-opensea		rs56376707;rs35113844;rs143669123	22;21;8
cg13660664	-0.00957445420674881	0.0620770115306781	-2.39478733387047	0.0205224899527474	0.195530816872955	-4.88067806762269	0.0668642386340525	0.0572897844273037	-0.00957445420674879	10	102508607	F	I	PAX2	Body	island	Body-island	chr10:102507482-102509646		
cg20416110	-0.00797200336863163	0.0618040322560835	-2.10485709955362	0.0404863283822049	0.252508258909911	-5.48198432427272	0.0657900339403993	0.0578180305717677	-0.00797200336863163	10	102508441	R	II	PAX2	Body	island	Body-island	chr10:102507482-102509646	rs548854602	1
cg23302531	0.0218613141404007	0.724804696704098	2.07625216536233	0.0431698402160549	0.258564072911889	-5.53784900406433	0.713874039633898	0.735735353774298	0.0218613141404007	10	102569252	R	II	PAX2	Body	opensea	Body-opensea		rs114741914;rs571827413	13;1
cg16959190	0.0198048416799662	0.551399555591921	2.01595861149081	0.049337724103647	0.271576958052168	-5.65349731448358	0.541497134751938	0.561301976431904	0.0198048416799662	10	102566476	R	II	PAX2	Body	opensea	Body-opensea		rs140903670;rs142424995;rs150850359	24;14;2
cg26156687	-0.00727483672000714	0.103186109726071	-1.85809080469064	0.0692054315531964	0.307792779384503	-5.94251197971045	0.106823528086075	0.0995486913660678	-0.0072748367200071	10	102586168	F	I	PAX2	Body	island	Body-island	chr10:102586125-102588109		
cg04235519	-0.00898602109381816	0.0638812532642438	-1.79941786665968	0.0781487387198847	0.322349209965868	-6.04472854420239	0.0683742638111529	0.0593882427173347	-0.00898602109381815	10	102505365	F	I	PAX2	TSS200	island	TSS200-island	chr10:102503913-102506146		
cg26439963	-0.0116100205316765	0.0852118494916606	-1.78664343367618	0.0802195159487947	0.325582344540353	-6.0666034974741	0.0910168597574989	0.0794068392258223	-0.0116100205316765	10	102587110	F	I	PAX2	3'UTR	island	3'UTR-island	chr10:102586125-102588109		
cg24903144	0.0197000443158998	0.434133276237949	1.75620776590696	0.0853389703215847	0.333479077066255	-6.11817006473238	0.424283254079999	0.443983298395899	0.0197000443158998	10	102509268	R	II	PAX2	Body	island	Body-island	chr10:102507482-102509646	rs183518335;rs188523857	47;36
cg23206032	-0.0126360936318217	0.107143720604577	-1.63381459469498	0.108745826896317	0.366021629244316	-6.31760195990355	0.113461767420488	0.100825673788667	-0.0126360936318217	10	102587844	F	II	PAX2	3'UTR	island	3'UTR-island	chr10:102586125-102588109	rs546529258;rs534079260;rs192132418;rs201755246	9;38;43;48
cg25523509	-0.00734282846547549	0.0713339659704115	-1.54641693205369	0.12847712448403	0.390272030633669	-6.4521029721815	0.0750053802031492	0.0676625517376738	-0.00734282846547549	10	102504039	R	I	PAX2	TSS1500	island	TSS1500-island	chr10:102503913-102506146	rs533074101;rs551045305	30;2
cg07706844	-0.00485698951749015	0.0607477554623176	-1.53575407532313	0.13106960521705	0.393353382759129	-6.46805509844641	0.0631762502210626	0.0583192607035725	-0.00485698951749015	10	102509510	R	II	PAX2	Body	island	Body-island	chr10:102507482-102509646	rs560454433	11
cg25531836	-0.00841955391049978	0.0754599358881941	-1.47419927540564	0.146862217889096	0.411350972148653	-6.55817919071213	0.0796697128434439	0.0712501589329442	-0.00841955391049978	10	102586999	R	II	PAX2	3'UTR	island	3'UTR-island	chr10:102586125-102588109	rs567464842	41
cg15416233	-0.0035591137164643	0.0423240892944876	-1.47103515923505	0.14771292664666	0.412295351350835	-6.56272093572122	0.0441036461527198	0.0405445324362555	-0.00355911371646428	10	102505266	R	II	PAX2	TSS1500	island	TSS1500-island	chr10:102503913-102506146		
cg18003644	0.00961760471446726	0.903824366705357	1.41318201061046	0.163961084669736	0.430046050497846	-6.64418389558408	0.899015564348124	0.908633169062591	0.00961760471446704	10	102552594	F	II	PAX2	Body	opensea	Body-opensea		rs564957377;rs533433550;rs551471723	1;9;19
cg11880652	-0.00386649634755123	0.0430582302717611	-1.38658458221083	0.171882410166127	0.438244799428853	-6.68062586535532	0.0449914784455367	0.0411249820979855	-0.00386649634755121	10	102505268	R	II	PAX2	TSS200	island	TSS200-island	chr10:102503913-102506146		
cg01759337	-0.00440065415899096	0.0716739050021454	-1.31567185334674	0.194443433788484	0.461395345386273	-6.77464930377854	0.0738742320816409	0.0694735779226499	-0.00440065415899096	10	102507081	F	II	PAX2	Body	shore	Body-shore	chr10:102503913-102506146	rs571486093;rs543580229	38;41
cg17480467	-0.00287428203649832	0.0443532879435599	-1.26982804949539	0.210179020638809	0.476847110965475	-6.83298684386055	0.0457904289618091	0.0429161469253108	-0.00287428203649831	10	102588959	R	II	PAX2	3'UTR	shore	3'UTR-shore	chr10:102590122-102590402	rs567529710;rs535051546	28;13
cg24111752	-0.00442391354222157	0.083702887374429	-1.23735339264855	0.221887936966336	0.487785493172683	-6.87313983085634	0.0859148441455398	0.0814909306033182	-0.00442391354222156	10	102505867	F	I	PAX2	5'UTR	island	5'UTR-island	chr10:102503913-102506146		
cg20462500	-0.012113874526257	0.874908903015262	-1.23181946849006	0.22393038081342	0.48965749124064	-6.87988486147348	0.88096584027839	0.868851965752133	-0.0121138745262567	10	102513301	R	II	PAX2	Body	shelf	Body-shelf	chr10:102507482-102509646	rs111911773;rs532641600	36;9
cg05103125	-0.00517034014950278	0.0699453542683672	-1.22672855677344	0.225821528269707	0.491358920386938	-6.88606483965282	0.0725305243431186	0.0673601841936159	-0.00517034014950277	10	102505483	F	I	PAX2	1stExon	island	1stExon-island	chr10:102503913-102506146	rs556507478	13
cg14548871	-0.00551122814057785	0.050042806442248	-1.2158751950389	0.229892469937147	0.495169489702759	-6.89915964845141	0.0527984205125369	0.0472871923719591	-0.00551122814057785	10	102505330	R	II	PAX2	TSS200	island	TSS200-island	chr10:102503913-102506146	rs542872245;rs555952345	44;1
