	Pvalue	Statistic	test	mean1	mean2	Symbol	NA
338	cg00017221	3.99029251350269e-11	10.5558575299817	ttest	0.369338344087808	0.1054945486403	
340	cg00017437	5.83157525385438e-16	14.946103460047	ttest	0.322851169146206	0.0534804028066471	
603	cg00030508	4.85272767436541e-10	11.3934501146878	ttest	0.324463304927795	0.129070114175203	TRIM15
961	cg00049616	9.99119986155301e-10	-10.961136430544	ttest	0.638281230200116	0.884427795048461	CLYBL
1123	cg00058879	2.18244089649758e-10	10.2833459676218	ttest	0.367466617823096	0.200773072223123	CACNA1I
2357	cg00127781	2.55359167589533e-08	-10.0397494667726	ttest	0.485421233913533	0.649851856118113	CACNA2D2
2790	cg00154455	9.25932999834465e-09	-9.40727917357224	ttest	0.564995637663278	0.788102322631246	ZNF517
2859	cg00157572	1.95105988063128e-09	9.96409488513484	ttest	0.398421067461027	0.20801979068426	SIX6
3381	cg00187686	5.72929168253197e-08	-7.5871154211229	ttest	0.485833979547949	0.629092101556333	TCN1
3560	cg00202711	8.53779860556684e-08	8.47850175247561	ttest	0.371883084676093	0.165521842363976	HTR2C
4301	cg00249974	6.51758197430262e-10	-9.80140730965456	ttest	0.575847131377043	0.787894353093361	TMEM79
4940	cg00292447	3.25330195414987e-08	-8.79851207346443	ttest	0.528351296185246	0.691772663653146	ST3GAL4
5536	cg00328219	8.29005827536447e-09	-8.94581355372999	ttest	0.503882517309452	0.671277804636909	KIF13B
5628	cg00332937	2.61980802079869e-10	10.9297038560037	ttest	0.393694283805055	0.129787029516102	
5696	cg00336320	2.8937611159374e-09	10.4716936381901	ttest	0.360309325598481	0.157122762700334	PNPLA1
6732	cg00396667	5.14751854968444e-09	10.10093752194	ttest	0.375933521521184	0.114261146416588	PITX1
7990	cg00469856	9.14984497549307e-09	8.88500560301504	ttest	0.348991534275208	0.221474007294661	FIGLA
8605	cg00502190	9.38913534459189e-08	8.72855898339083	ttest	0.378812582685781	0.198911825392308	BCAN
8941	cg00521428	4.15881591667351e-08	-8.02859716937535	ttest	0.544987737217371	0.66699593157575	ARHGEF19
12558	cg00736523	1.71512161000385e-10	11.5223595170165	ttest	0.320849824419928	0.126286693268848	TMEM215
12981	cg00762160	1.60985740124432e-08	8.20837397143693	ttest	0.371766852359977	0.206217992044736	PAX9
13005	cg00763594	1.03780351012094e-08	-9.40411693812889	ttest	0.380219877028924	0.597299216778334	KIAA1026
13515	cg00792849	4.97109307588131e-09	9.42816825498142	ttest	0.333277187542714	0.157502238110183	GJD2
13740	cg00806490	3.57548342664416e-11	11.3348798455481	ttest	0.303943898969787	0.108792162875394	CDH13
14366	cg00846166	1.97436219478963e-10	-10.1253305241443	ttest	0.462856053222141	0.574268286979768	OLFM2
14557	cg00857536	8.2146548895551e-10	-8.76392326943711	ttest	0.449713399349003	0.588284883268252	C10orf72
15121	cg00891278	9.38825693198957e-11	10.4501423710532	ttest	0.305437737256746	0.128886627600766	CCDC37
15458	cg00910715	4.96735454224965e-09	10.3092812581446	ttest	0.364118208018883	0.217450223584838	
16332	cg00962755	1.76774103890878e-08	9.84535497362165	ttest	0.681866504210551	0.491511554530345	PHLDA3
17313	cg01019587	4.74581701073581e-10	11.0974980717306	ttest	0.443294063914727	0.15308143839434	
18398	cg01080998	1.09184356986937e-08	9.06744708706873	ttest	0.316098823944762	0.193815869075624	LOC645323
18543	cg01089249	1.81413525902506e-15	10.5303712566845	ttest	0.395765177278883	0.245102514827374	GAD1
18544	cg01089319	2.64098961342251e-09	9.81894882110217	ttest	0.396120270394856	0.216975743509492	GAD1
18794	cg01104724	1.25662760633696e-09	10.0909812013047	ttest	0.413146307283215	0.106095002655015	
19552	cg01152374	1.16257519266978e-08	-9.31060353820224	ttest	0.579407816918888	0.800768706614437	
19560	cg01152726	2.99841864313195e-08	-8.12631319396589	ttest	0.631552011158505	0.779534423903225	LAMA3
20248	cg01194371	2.52603843739602e-18	10.8911191362012	ttest	0.435003367865397	0.252104685578362	THBS4
21166	cg01255417	9.11342922351615e-08	8.32927069367854	ttest	0.405220935080659	0.248108122388232	
21576	cg01283141	9.97790109222746e-17	-12.7018127570562	ttest	0.601707645887182	0.783717922973206	DOC2A
22062	cg01310330	7.63488305232443e-08	-7.79594095928572	ttest	0.513300561586152	0.642948667934332	ELFN1
22221	cg01321174	5.52195822947543e-08	-8.48938496275403	ttest	0.554827444046419	0.687134081742519	
23134	cg01382137	1.00903654609359e-12	12.0247793576173	ttest	0.336718071051158	0.0877227076716909	PCDH8
23369	cg01396176	3.8598828878601e-08	9.33762705811145	ttest	0.316890392936027	0.119724084185539	
23594	cg01410415	1.6087844702444e-14	-11.1155356933765	ttest	0.590299054551194	0.706178408916894	ASPSCR1
23909	cg01427575	1.18636666956088e-08	9.71443505520354	ttest	0.29084912610155	0.0795831367818879	SHANK1
24368	cg01452581	1.33616792539457e-13	-12.6160202780749	ttest	0.577529015020539	0.791888958312056	TRIM15
25446	cg01524278	3.5503098667722e-09	9.30318735975552	ttest	0.423085407910627	0.228368228481994	
26328	cg01577751	1.90548841869399e-11	11.6060423781319	ttest	0.309078551677591	0.100708664923154	HOXC13
26378	cg01580568	1.14655604982869e-08	-8.02646049234954	ttest	0.643229619590042	0.805186162245142	LAMB3
26383	cg01580681	1.65411374085024e-08	8.67406939822043	ttest	0.383976941787843	0.195194706663711	HAND2
26821	cg01610632	9.28776809046342e-08	8.88245598164288	ttest	0.4402050589014	0.218819296909327	ZIC1
27267	cg01638529	2.62302018385249e-08	-8.76563813945989	ttest	0.623719159235062	0.768353547269675	
