	BumphunterDMR.seqnames	BumphunterDMR.start	BumphunterDMR.end	BumphunterDMR.width	BumphunterDMR.strand	BumphunterDMR.value	BumphunterDMR.area	BumphunterDMR.cluster	BumphunterDMR.indexStart	BumphunterDMR.indexEnd	BumphunterDMR.L	BumphunterDMR.clusterL	BumphunterDMR.p.value	BumphunterDMR.fwer	BumphunterDMR.p.valueArea	BumphunterDMR.fwerArea
DMR_1	chr2	223916417	223916912	495	*	0.28158755677307	2.8158755677307	167429	274885	274894	10	19	0.00663808087434651	0.184	0.0165292609851277	0.74
DMR_2	chr2	37458536	37458826	290	*	-0.239928899696846	2.39928899696846	149945	253612	253621	10	18	0.0165799849856958	0.328	0.0273605259064379	0.876
DMR_3	chr21	30391383	30391822	439	*	-0.318026614927096	1.90815968956258	179871	293321	293326	6	13	0.00874481769794196	0.336	0.0490501085493612	0.964
DMR_4	chr9	135905949	135906290	341	*	-0.279524205057838	1.95666943540486	298804	460202	460208	7	15	0.0183012194049737	0.452	0.0463820261194787	0.952
DMR_5	chr4	6642118	6642559	441	*	-0.258548752284779	2.06839001827823	210174	336480	336487	8	14	0.0226431938536038	0.456	0.0407279908561535	0.932
DMR_6	chr8	23082539	23082961	422	*	-0.237828615229143	2.14045753706229	276907	434780	434788	9	19	0.0244557314739042	0.48	0.0372889036176357	0.924
DMR_7	chr17	57184330	57184577	247	*	-0.228727824662108	2.05855042195897	123565	206341	206349	9	17	0.0272996571057562	0.5	0.0412927180624784	0.936
DMR_8	chr17	33569972	33570128	156	*	-0.246036347664093	1.96829078131274	119709	198246	198253	8	18	0.0294909339302985	0.52	0.0458172989131537	0.948
DMR_9	chr16	30621667	30622014	347	*	-0.24272910973257	1.94183287786056	108331	175273	175280	8	14	0.0313981563516594	0.536	0.0471597941281897	0.952
DMR_10	chr1	112047187	112047317	130	*	1.59143040225974	3.18286080451948	15064	25880	25881	2	14	0.000669556807499036	0.544	0.0108819889218783	0.652
DMR_11	chr1	231473707	231473975	268	*	-0.237082980736111	1.89666384588889	26446	43271	43278	8	35	0.0344686491860489	0.576	0.0497196653568603	0.968
DMR_12	chr17	72209469	72209802	333	*	-0.236771161297338	1.89416929037871	125582	208573	208580	8	26	0.0346174395877153	0.576	0.0498752189586025	0.968
DMR_13	chr3	128398171	128398685	514	*	0.965641843141262	1.93128368628252	201539	323700	323701	2	9	0.00168403681886121	0.852	0.0476940869341738	0.956
