14	0.3	0.248	0.338	0.366	0.256	0.275	0.236	0.273	0.329	0.441	0.553	T
15	0.339	0.279	0.363	0.361	0.342	0.276	0.302	0.29	0.363	0.414	0.542	N
17	0.552	0.474	0.556	0.57	0.459	0.489	0.511	0.57	0.563	0.622	0.733	N
172	0.105	0.086	0.105	0.118	0.078	0.086	0.085	0.099	0.124	0.124	0.235	T
177	0.618	0.506	0.689	0.618	0.517	0.5	0.489	0.544	0.656	0.685	0.644	T
18	0.623	0.451	0.631	0.721	0.566	0.533	0.566	0.557	0.623	0.631	0.705	T
19	0.627	0.426	0.603	0.642	0.598	0.569	0.554	0.632	0.685	0.686	0.779	N
22	0.636	0.545	0.657	0.727	0.626	0.596	0.616	0.586	0.707	0.758	0.808	N
25	0.279	0.206	0.279	0.324	0.294	0.209	0.206	0.25	0.358	0.324	0.618	N
27	0.485	0.444	0.525	0.535	0.465	0.333	0.323	0.384	0.485	0.475	0.545	T
31	0.864	0.72	0.855	0.854	0.831	0.752	0.808	0.824	0.856	0.88	0.944	T
32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
34	0.712	0.452	0.722	0.658	0.589	0.644	0.589	0.658	0.63	0.726	0.767	N
36	0.403	0.344	0.402	0.438	0.356	0.333	0.328	0.38	0.392	0.456	0.5	N
39	0.766	0.69	0.745	0.772	0.673	0.715	0.713	0.728	0.722	0.734	0.797	T
50	0.568	0.491	0.636	0.642	0.519	0.544	0.549	0.564	0.549	0.687	0.787	N
55	0.187	0.159	0.215	0.247	0.19	0.161	0.164	0.196	0.22	0.348	0.512	T
56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
63	0.465	0.366	0.447	0.505	0.393	0.386	0.411	0.439	0.451	0.542	0.647	T
67	0.476	0.366	0.524	0.571	0.405	0.39	0.405	0.405	0.5	0.643	0.714	T
81	0.466	0.357	0.494	0.528	0.386	0.306	0.303	0.275	0.359	0.43	0.594	T
88	0.5	0.404	0.489	0.529	0.434	0.471	0.419	0.467	0.522	0.551	0.728	N
89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
93	0.196	0.147	0.206	0.265	0.265	0.216	0.167	0.294	0.255	0.431	0.676	T
94	0.411	0.329	0.452	0.342	0.315	0.247	0.205	0.274	0.356	0.479	0.644	N
BN190001	0.362	0.271	0.371	0.424	0.343	0.237	0.204	0.231	0.273	0.325	0.425	T
BN190002	0.515	0.419	0.5	0.527	0.509	0.461	0.467	0.506	0.533	0.602	0.641	N
BN190003	0.196	0.142	0.198	0.208	0.142	0.101	0.114	0.129	0.174	0.328	0.652	T
BN190005	0.411	0.356	0.478	0.422	0.393	0.333	0.348	0.356	0.389	0.456	0.622	N
BN190006	0.289	0.227	0.322	0.307	0.297	0.246	0.223	0.352	0.394	0.545	0.597	T
BN190007	0.435	0.376	0.461	0.521	0.397	0.432	0.44	0.495	0.545	0.637	0.728	N
BN190008	0.549	0.549	0.6	0.608	0.471	0.51	0.49	0.529	0.549	0.627	0.608	T
BN190010	0.527	0.421	0.57	0.534	0.448	0.422	0.42	0.451	0.513	0.565	0.61	N
BN190011	0.819	0.771	0.819	0.829	0.817	0.769	0.743	0.781	0.848	0.835	0.848	T
BN190012	0.53	0.416	0.503	0.566	0.442	0.415	0.419	0.461	0.491	0.545	0.659	N
BN190014	0.66	0.557	0.698	0.719	0.62	0.571	0.56	0.576	0.589	0.688	0.708	T
BN190015	0.66	0.553	0.613	0.617	0.596	0.606	0.606	0.617	0.613	0.734	0.766	N
BN190017	0.451	0.392	0.484	0.507	0.373	0.307	0.27	0.309	0.438	0.5	0.497	N
BN190018	0.62	0.38	0.595	0.669	0.563	0.478	0.541	0.608	0.538	0.715	0.772	T
BN190019	0.565	0.424	0.565	0.582	0.543	0.38	0.446	0.489	0.516	0.565	0.728	T
BN190023	0.431	0.396	0.431	0.478	0.394	0.487	0.362	0.463	0.481	0.631	0.731	N
BN190024	0.441	0.355	0.505	0.413	0.269	0.247	0.25	0.409	0.533	0.656	0.763	T
BN190026	0.238	0.149	0.305	0.309	0.206	0.177	0.194	0.257	0.233	0.301	0.41	N
BN190028	0.524	0.415	0.517	0.546	0.478	0.471	0.424	0.51	0.493	0.583	0.68	T
BN190029	0.578	0.457	0.587	0.652	0.478	0.435	0.435	0.522	0.543	0.63	0.739	N
BN190030	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
BN190031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
BN190032	0.378	0.289	0.364	0.422	0.267	0.267	0.205	0.178	0.295	0.409	0.422	N
BN190033	0.265	0.268	0.357	0.31	0.232	0.17	0.205	0.177	0.186	0.301	0.327	T
BN190034	0.5	0.325	0.45	0.525	0.385	0.4	0.35	0.4	0.5	0.55	0.675	T
BN190036	0.398	0.34	0.505	0.524	0.408	0.369	0.33	0.379	0.379	0.476	0.621	T
BN190037	0.341	0.13	0.318	0.313	0.167	0.189	0.159	0.258	0.273	0.341	0.5	N
BN190038	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
BN190039	0.787	0.627	0.787	0.822	0.768	0.754	0.732	0.799	0.812	0.843	0.871	T
BN190040	0.418	0.339	0.446	0.483	0.4	0.386	0.365	0.413	0.413	0.547	0.62	N
BN190041	0.303	0.216	0.337	0.32	0.229	0.145	0.135	0.133	0.216	0.286	0.412	T
BN190042	0.496	0.44	0.518	0.586	0.426	0.426	0.41	0.447	0.482	0.56	0.638	N
BN190044	0.024	0.025	0.025	0.032	0.025	0.018	0.025	0.045	0.137	0.255	0.82	T
BN190046	0.309	0.255	0.357	0.304	0.196	0.071	0.073	0.073	0.179	0.268	0.429	T
BN190047	0.375	0.298	0.412	0.392	0.319	0.372	0.376	0.362	0.372	0.436	0.541	N
BN190048	0.599	0.544	0.585	0.612	0.517	0.524	0.476	0.425	0.566	0.592	0.721	T
BN190049	0.133	0.067	0.233	0.133	0.207	0.167	0.133	0.4	0.433	0.8	1	T
BN190050	0.419	0.257	0.459	0.393	0.382	0.287	0.309	0.397	0.463	0.544	0.603	N
BN190051	0.531	0.465	0.565	0.612	0.512	0.477	0.488	0.514	0.537	0.533	0.626	T
BN190052	0.565	0.492	0.627	0.589	0.538	0.481	0.422	0.495	0.543	0.605	0.659	N
BN190054	0.833	0.533	0.811	0.856	0.73	0.674	0.667	0.831	0.867	0.9	0.878	T
BN190055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
BN190056	0.598	0.526	0.567	0.619	0.485	0.567	0.474	0.588	0.6	0.646	0.722	N
BN190057	0.46	0.344	0.45	0.468	0.412	0.392	0.436	0.415	0.429	0.537	0.683	T
BN190059	0.439	0.364	0.439	0.561	0.424	0.431	0.47	0.5	0.485	0.682	0.773	N
BN190062	0.333	0.233	0.326	0.36	0.287	0.265	0.198	0.32	0.355	0.404	0.558	N
BN190068	0.258	0.173	0.245	0.265	0.214	0.216	0.163	0.173	0.276	0.296	0.469	N
BN190071	0.589	0.383	0.562	0.623	0.466	0.429	0.429	0.503	0.525	0.669	0.736	N
BN190072	0.516	0.391	0.624	0.57	0.516	0.398	0.43	0.457	0.505	0.699	0.806	N
BN190073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
BN190075	0.506	0.483	0.562	0.534	0.483	0.506	0.483	0.494	0.596	0.655	0.775	N
BN190077	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
BN190080	0.18	0.123	0.254	0.262	0.246	0.174	0.139	0.197	0.246	0.364	0.418	N
BN190083	0.47	0.374	0.502	0.543	0.443	0.332	0.288	0.357	0.38	0.448	0.548	T
BN190085	0.5	0.429	0.536	0.536	0.464	0.429	0.321	0.429	0.393	0.464	0.607	N
BN190087	0.4	0.348	0.447	0.472	0.415	0.3	0.291	0.293	0.37	0.533	0.694	T
BN190089	0.566	0.505	0.586	0.556	0.49	0.465	0.515	0.495	0.535	0.545	0.556	N
BN190090	0.542	0.375	0.542	0.708	0.542	0.458	0.417	0.417	0.458	0.583	0.667	T
BN190092	0.367	0.202	0.323	0.404	0.343	0.303	0.286	0.343	0.384	0.485	0.586	N
BN190094	0.596	0.561	0.571	0.596	0.509	0.386	0.526	0.579	0.579	0.649	0.684	T
BN190096	0.161	0.131	0.202	0.244	0.131	0.114	0.119	0.141	0.156	0.266	0.347	N
BN190098	0.323	0.242	0.337	0.357	0.266	0.234	0.246	0.234	0.255	0.417	0.498	N
BN190099	0.453	0.331	0.426	0.419	0.32	0.293	0.245	0.299	0.397	0.442	0.5	T
BN190101	0.305	0.171	0.401	0.377	0.309	0.205	0.245	0.285	0.303	0.401	0.539	N
BN190106	0.304	0.13	0.342	0.374	0.304	0.217	0.278	0.304	0.339	0.383	0.73	T
BN190109	0	0	0	0.045	0	0.045	0.045	0.182	0.091	0.136	0.318	N
BN190111	0.5	0.392	0.552	0.552	0.384	0.416	0.432	0.472	0.484	0.589	0.728	T
BN190114	0.466	0.409	0.497	0.51	0.401	0.39	0.376	0.416	0.497	0.497	0.597	T
BN190117	0.584	0.482	0.588	0.623	0.584	0.558	0.579	0.596	0.667	0.667	0.754	N
BN190119	0.95	0.936	0.929	0.936	0.915	0.95	0.922	0.957	0.965	0.936	0.957	T
BN190120	0.463	0.41	0.497	0.476	0.328	0.323	0.259	0.339	0.429	0.466	0.545	N
BN190121	0.451	0.356	0.477	0.482	0.405	0.335	0.344	0.379	0.454	0.554	0.564	T
BN190122	0.304	0.143	0.297	0.402	0.293	0.222	0.255	0.306	0.354	0.441	0.484	N
BN190125	0.466	0.365	0.465	0.506	0.444	0.402	0.443	0.485	0.472	0.573	0.636	T
BN190128	0.37	0.317	0.41	0.475	0.396	0.356	0.317	0.376	0.485	0.55	0.554	N
BN190131	0.382	0.291	0.427	0.445	0.321	0.236	0.241	0.355	0.404	0.373	0.536	T
BN190133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
BN190135	0.624	0.527	0.633	0.607	0.527	0.487	0.493	0.467	0.557	0.577	0.687	T
BN190137	0.212	0.2	0.202	0.235	0.224	0.179	0.167	0.217	0.259	0.301	0.494	N
BN190141	0.345	0.274	0.382	0.406	0.376	0.341	0.316	0.337	0.366	0.47	0.514	T
BN190142	0.487	0.419	0.581	0.538	0.453	0.419	0.427	0.41	0.526	0.496	0.573	N
BN190147	0.576	0.568	0.633	0.619	0.609	0.551	0.547	0.572	0.597	0.691	0.712	T
BN190149	0.438	0.302	0.431	0.438	0.369	0.403	0.385	0.438	0.465	0.5	0.574	N
BN190150	0.385	0.333	0.487	0.487	0.436	0.128	0.128	0.231	0.385	0.436	0.538	T
BN190151	0.235	0.216	0.273	0.306	0.207	0.131	0.121	0.17	0.24	0.276	0.406	T
BN190155	0.439	0.357	0.47	0.53	0.357	0.261	0.235	0.313	0.391	0.461	0.626	N
BN190158	0.533	0.497	0.553	0.583	0.536	0.48	0.449	0.457	0.513	0.578	0.653	T
BN190159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
BN190162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
BN190163	0.405	0.286	0.452	0.429	0.524	0.381	0.357	0.476	0.39	0.476	0.643	N
BN190164	0.916	0.896	0.953	0.906	0.888	0.879	0.869	0.888	0.897	0.934	0.906	T
BN190166	0.779	0.755	0.789	0.79	0.724	0.737	0.711	0.739	0.772	0.788	0.794	N
BN190168	0.548	0.405	0.533	0.576	0.479	0.5	0.496	0.512	0.535	0.634	0.752	T
BN190170	0.44	0.308	0.511	0.451	0.385	0.411	0.341	0.385	0.297	0.522	0.615	T
BN190171	0.268	0.113	0.289	0.381	0.278	0.147	0.25	0.34	0.32	0.521	0.557	N
BN190172	0.63	0.555	0.619	0.677	0.599	0.576	0.57	0.623	0.691	0.746	0.709	T
BN190175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
BN190179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
BN190180	0.278	0.158	0.263	0.338	0.226	0.226	0.26	0.316	0.271	0.402	0.583	N
BN190181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
BN190184	0.45	0.349	0.47	0.53	0.416	0.393	0.398	0.47	0.465	0.576	0.684	N
BN190186	0.323	0.29	0.357	0.381	0.286	0.226	0.24	0.221	0.271	0.355	0.535	T
BN190189	0.444	0.386	0.452	0.465	0.407	0.382	0.354	0.44	0.458	0.544	0.73	N
BN190191	0.789	0.756	0.78	0.8	0.793	0.742	0.734	0.775	0.812	0.817	0.839	T
BN190192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
