14	0.298	NA	0.267	0.311	0.322	0.279	0.3	0.324	0.247	0.4	0.346	0.233	0.183	0.206	0.592	T
15	0.354	NA	0.366	0.379	0.454	0.354	0.383	0.368	0.351	0.503	0.457	0.337	0.229	0.257	0.609	N
17	0.627	NA	0.636	0.647	0.568	0.513	0.571	0.613	0.462	0.639	0.655	0.58	0.395	0.445	0.538	N
172	0.239	NA	0.092	0.101	0.088	0.077	0.108	0.091	0.078	0.118	0.121	0.072	0.07	0.06	0.608	T
177	0.582	NA	0.485	0.5	0.519	0.552	0.507	0.549	0.485	0.575	0.56	0.448	0.403	0.321	0.579	T
18	0.704	NA	0.62	0.639	0.667	0.648	0.657	0.676	0.639	0.75	0.722	0.648	0.593	0.574	0.537	T
19	0.717	NA	0.675	0.704	0.714	0.709	0.738	0.704	0.675	0.741	0.733	0.68	0.624	0.602	0.636	N
22	0.735	NA	0.623	0.676	0.667	0.594	0.71	0.681	0.594	0.797	0.768	0.536	0.406	0.478	0.71	N
25	0.868	NA	0.868	0.887	0.774	0.604	0.774	0.868	0.755	0.868	0.849	0.66	0.434	0.434	0.585	N
27	0.421	NA	0.579	0.474	0.632	0.579	0.474	0.526	0.579	0.632	0.632	0.444	0.333	0.368	0.684	T
31	0.969	NA	0.891	0.937	0.844	0.859	0.922	0.921	0.891	0.938	0.938	0.891	0.891	0.906	0.656	T
32	0.646	NA	0.579	0.64	0.549	0.527	0.57	0.667	0.487	0.702	0.728	0.518	0.342	0.307	0.699	N
34	0.645	NA	0.604	0.68	0.565	0.538	0.55	0.609	0.506	0.627	0.645	0.509	0.379	0.396	0.627	N
36	0.405	NA	0.354	0.411	0.367	0.375	0.391	0.401	0.297	0.443	0.401	0.344	0.208	0.25	0.589	N
39	0.723	NA	0.64	0.72	0.673	0.66	0.667	0.693	0.573	0.691	0.687	0.627	0.453	0.447	0.693	T
50	0.653	NA	0.561	0.628	0.52	0.503	0.623	0.577	0.477	0.695	0.67	0.507	0.355	0.392	0.582	N
55	0.183	0	0.169	0.214	0.279	0.214	0.263	0.216	0.208	0.447	0.417	0.169	0.132	0.103	0.595	T
56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
63	0.589	NA	0.432	0.511	0.505	0.442	0.421	0.495	0.463	0.6	0.568	0.415	0.258	0.263	0.611	T
67	0.714	NA	0.571	0.755	0.673	0.612	0.776	0.694	0.551	0.776	0.755	0.551	0.469	0.551	0.714	T
81	0.434	NA	0.377	0.365	0.472	0.453	0.358	0.415	0.396	0.538	0.509	0.377	0.302	0.264	0.623	T
88	0.828	NA	0.741	0.839	0.673	0.672	0.782	0.759	0.587	0.787	0.805	0.626	0.477	0.534	0.603	N
89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
93	0.717	NA	0.567	0.867	0.767	0.817	0.833	0.867	0.833	0.867	0.85	0.75	0.433	0.5	0.633	T
94	0.605	NA	0.558	0.624	0.582	0.538	0.609	0.608	0.51	0.656	0.644	0.51	0.417	0.375	0.625	N
BN190001	0.243	NA	0.198	0.2	0.251	0.194	0.186	0.205	0.165	0.348	0.291	0.168	0.092	0.095	0.586	T
BN190002	0.379	NA	0.379	0.517	0.357	0.448	0.414	0.414	0.379	0.552	0.483	0.31	0.276	0.172	0.586	N
BN190003	0.104	NA	0.074	0.074	0.119	0.096	0.082	0.104	0.044	0.141	0.17	0.067	0.044	0.007	0.6	T
BN190005	0.535	NA	0.488	0.581	0.581	0.488	0.442	0.512	0.442	0.512	0.512	0.465	0.372	0.395	0.535	N
BN190006	0.417	NA	0.299	0.335	0.222	0.236	0.33	0.283	0.189	0.453	0.34	0.189	0.156	0.132	0.608	T
BN190007	0.709	NA	0.629	0.672	0.596	0.509	0.644	0.658	0.462	0.684	0.651	0.522	0.309	0.349	0.6	N
BN190008	0.6	NA	0.618	0.673	0.582	0.527	0.564	0.655	0.527	0.655	0.636	0.527	0.455	0.436	0.582	T
BN190010	0.637	NA	0.568	0.621	0.594	0.534	0.542	0.584	0.532	0.611	0.6	0.534	0.466	0.437	0.621	N
BN190011	0.733	NA	0.699	0.756	0.726	0.779	0.733	0.748	0.77	0.816	0.772	0.743	0.726	0.701	0.574	T
BN190012	0.762	NA	0.724	0.771	0.682	0.613	0.749	0.752	0.573	0.778	0.762	0.651	0.398	0.527	0.565	N
BN190014	0.587	NA	0.515	0.571	0.434	0.449	0.528	0.597	0.418	0.597	0.587	0.362	0.138	0.184	0.579	T
