	GBM	Normal	MeanDecreaseAccuracy	MeanDecreaseGini
cg07849581	0.000403632213254002	0.00583024853031888	0.00261801459202055	5.07205660556321
cg12974637	0.000159866590946592	0.00656492956059784	0.00275502447149888	4.88261487905508
cg27085741	0.000374416027579114	0.0041961685198825	0.00194580304313554	4.77143573603682
cg12631351	2.68074511347753e-05	0.00474272801882005	0.00190704870749991	4.72186577302969
cg11267955	0.000204956757040847	0.0049395114806421	0.0021493115762891	4.17122726643624
cg03740978	9.57326221971614e-05	0.00546086675358209	0.00229638510890729	4.1183533750979
cg24213719	0.000485022074598898	0.0024736765007991	0.00128383965717423	3.93039987340542
cg06829968	0.000110965467400476	0.0041145686501427	0.00173047935419269	3.73570773053367
cg16281276	4.48687343210455e-05	0.00376113945763053	0.00152742573561755	3.554744790835
cg03585263	0.000183631662569155	0.0053021552940179	0.0022236232375128	3.48424041196916
cg26477573	0.000105546056646649	0.00399746458473855	0.00170203214174116	3.42821660168479
cg12293634	0.000365904236585494	0.00452672404002687	0.00207244765701387	3.33843605963714
cg23048068	0.000586484096663398	0.00428678498129343	0.00213825241972233	3.3297599689506
cg02169391	0.000740705439021504	0.00327554703772103	0.0018228502620709	3.31532097245409
cg26170604	2.53942924933928e-05	0.00437466217004969	0.00184798670851022	3.15555995191248
cg03780561	0.000530069081514166	0.00444987919723225	0.00211395823721412	3.14667785529725
cg00990613	0.000151452644036437	0.00345551813920602	0.00148496435382459	3.05612021498278
cg23685597	-7.49032327371258e-06	0.00474597929217475	0.00195442751650038	3.04722903814014
cg04988098	0.000146245787450906	0.00472007346191756	0.00198780165896616	2.93353004235464
cg07121856	0.000402947049621232	0.00464474889504949	0.00217412067139745	2.90966493682846
cg04374711	0.000756669512066152	0.00242135744129893	0.00144354569264776	2.90911717407215
cg21101720	-3.1373751041985e-05	0.00334099459545568	0.0013516749371684	2.86172949985188
cg18132916	0.00069050402347589	0.00787728784422481	0.00358758852014658	2.85427983795849
cg04324758	6.94731325728596e-05	0.00649232172737651	0.00263084757549152	2.84518666259589
cg01108370	1.65965956690717e-05	0.00194531246884597	0.000795039910454901	2.78951008743068
cg05546863	0.000183930844496365	0.00374406976043402	0.00160208656587013	2.76459882457272
cg15580417	0.000560779787803937	0.00553607079765954	0.00258231440859686	2.74924893497061
cg15270654	-6.30360528669102e-05	0.00348277463042316	0.00137761634387863	2.65655733195381
cg24448269	0.000812209461999901	0.00437012822174552	0.00228526551822033	2.59587658048822
cg13874070	-1.81392056851162e-05	0.00119155694155694	0.000477197853591296	2.59430628325613
cg08460435	0.00028502686066237	0.00395940142185253	0.0017807192851577	2.5609798629176
cg21035222	0.00053447094347246	0.00252715919835327	0.00134067492067383	2.55225978300403
cg11898009	0.000105785590229125	0.00136797027499268	0.000589977611597145	2.53521793790289
cg27028760	-2.04888523636641e-07	0.00410969438117821	0.00170060875156202	2.49478351197682
cg14676825	-2.66798153614874e-05	0.00248476803299768	0.00103500074374196	2.40636369640864
cg16459364	-7.51026183879979e-05	0.00365092461065851	0.00141833396465304	2.402173327995
cg26022183	0.00012860677883427	0.00668614900710479	0.00282087341870348	2.38981712475859
cg06497198	-4.34660519816022e-05	0.00246783142898784	0.000949566766489216	2.33127756963761
cg01654862	-3.76719773041751e-05	0.00155049842059557	0.000628788973307639	2.32394066735543
cg16775746	0.000151217413012281	0.0039077143794407	0.00170164972177616	2.26418969317896
cg14344315	2.78049602906655e-05	0.00440163764329018	0.00185579251889162	2.26309688632071
cg14792081	0.0001248310488561	0.00474190958080318	0.00194513382163345	2.23491685066202
cg18517266	5.31562442572098e-05	0.00274840360425909	0.00112266964260817	2.22959469910176
cg06179765	0.00019424432818413	0.00164857113896193	0.000785328715768943	2.21073284015898
cg14506196	3.65054438653916e-05	0.00179991776361291	0.000785869673576316	2.1973265877469
cg12920180	7.84206446978456e-05	0.00463324336489269	0.00196004710245196	2.19532028321989
cg16428612	4.60790545729203e-05	0.00172013297354785	0.000769283515264259	2.19162322052694
cg09799983	7.33037307015367e-05	0.00615859206132746	0.00257612993242142	2.18987636105379
cg00458878	0.000336108012382686	0.00229804552992794	0.00117597642419851	2.17481055122326
cg14411266	8.86200107324582e-05	0.00393639329514271	0.00161396387882232	2.16985253355406
cg14543508	0.0007803991212824	0.00152727720292159	0.00110894835757496	2.11207548469096
cg22054918	3.0849443558864e-05	0.00315213987691024	0.00132625214447403	2.11009784939422
cg15981734	1.17260294141384e-05	0.00218534402767467	0.000878849364622864	2.0951502520963
cg06572465	0.000559973632662836	0.00685467480559706	0.0031236711123186	2.07986920253564
cg08368654	-5.76409943249376e-05	0.00290710869880893	0.0011941942526237	2.07508996481239
cg06666025	0.000128369479340768	0.00158823504064762	0.000736698036960094	2.06074149716772
cg11026333	0.000620821697659307	0.00136813186813187	0.000910586062151868	2.05676808585674
cg00926215	5.24423274902055e-05	0.00344426034401377	0.00148977367950512	2.05023360610852
cg05864326	0.000104513258380172	0.0022836069564342	0.00097659408412088	2.05000495648841
cg06215569	8.11149649047867e-05	0.00279069769046539	0.00117600348464151	2.04126117959545
cg00963169	0.000129700020066365	0.00126828421456076	0.000595510289636882	2.00873790867375
cg04513006	2.97659305567106e-05	0.00142698615281526	0.000598641841148332	1.99511648069279
cg00893471	2.44493934902079e-05	0.00199031579487212	0.000825368165311352	1.97525831950392
cg11518945	0.000411942385108293	0.00273551216054309	0.00141921163463522	1.96533260688226
cg10023272	6.84965849851033e-05	0.00235248423140818	0.000981564673048353	1.9631705676684
cg16509851	2.40979840443511e-05	0.00112679466618357	0.000479313398100127	1.95793709238252
cg18130044	1.64904790722343e-05	0.0047090432739772	0.00195571878629606	1.94417886697853
cg22827124	0.000542668484018404	0.00104314936588093	0.000741251736898477	1.93457816208197
cg20146541	0.000286265582105873	0.00480512356244161	0.00216278587485639	1.91982545666
cg00323305	0.000953606665231086	0.00363741137753443	0.0020090431049708	1.91865449258195
cg17545346	7.29239396136032e-05	0.00461828742367125	0.00195820921054398	1.91690254268201
cg18199554	3.75540783583841e-05	0.00475293477047063	0.00200029939501861	1.91269646898368
cg01996714	1.08860260752278e-05	0.0020878962725636	0.000862615478463211	1.90172127945886
cg06779449	0.000421385712926455	0.00126427983383257	0.000773345775269044	1.89513441878447
cg02466246	0.000320848329155968	0.00394211546792142	0.00178435167352452	1.8863408443539
cg10272601	0.000906310840914228	0.00435291246665292	0.00235420357144175	1.87831032986462
cg09331335	0.000107738645424999	0.00468159173812596	0.00196741062868599	1.87554482555329
cg20536512	9.19367884036966e-05	0.00126679018887178	0.000594708737846796	1.84958838262362
cg20186067	4.58255670845246e-05	0.00185645287562096	0.000782459982523805	1.84171057967199
cg22149516	0.000138170765507054	0.00477654338244962	0.00199357098271999	1.83659814143076
cg01869219	0.000165012418072105	0.00211550768721425	0.000961378826965864	1.82614804184296
cg23497383	0.000713866323674606	0.00168800506848043	0.00111492463795312	1.81865619389017
cg14736058	-4.91249532235553e-05	0.00385244354282742	0.00150544107292222	1.81346065001542
cg01163842	6.03171930441007e-05	0.00254502440277421	0.00109226773807499	1.81246121607334
cg17577122	4.93082236209333e-06	0.0019935711258386	0.000828171271963997	1.81068651793473
cg19430577	0.000201472279890633	0.00584120551235521	0.00246779109398428	1.81060268764789
cg06183338	8.17108066608214e-05	0.000911208722041508	0.000420469467287989	1.80452457578142
cg01344452	-1.93431750106975e-05	0.00207587915978286	0.000875448151204463	1.8016866190001
cg24722763	5.86060433048729e-05	0.00167339949933983	0.000694182716432239	1.7830787181942
cg15733367	-6.77304879640546e-05	0.00260485904346831	0.00103076132147211	1.76621996503593
cg01456571	-4.60217918596366e-05	0.0103177867661003	0.00419484070854614	1.76532727502433
cg26259537	2.51184186014731e-05	0.00118587796947868	0.00048676615750254	1.76427839773865
cg02392553	-5.66076490405696e-05	0.00561209737604158	0.00224751088716815	1.75557145530431
cg22465516	0.000164787340281308	0.00549210457684171	0.00231774138119428	1.75488484999625
