14	0.482	0.556	0.586	0.547	0.424	0.342	NA	0.398	0.418	0.453	0.629	0.547	0.535	0.535	0.424	0.367	T
15	0.485	0.606	0.547	0.485	0.333	0.327	NA	0.343	0.476	0.494	0.6	0.506	0.594	0.5	0.424	0.321	N
17	0.358	0.567	0.493	0.591	0.313	0.206	NA	0.224	0.284	0.254	0.343	0.209	0.284	0.224	0.288	0.138	N
172	0.129	0.203	0.195	0.143	0.081	0.082	0	0.098	0.105	0.112	0.19	0.141	0.156	0.121	0.109	0.097	T
177	0.548	0.68	0.658	0.612	0.49	0.597	NA	0.593	0.556	0.638	0.726	0.584	0.679	0.609	0.635	0.523	T
18	0.67	0.82	0.77	0.77	0.64	0.66	NA	0.636	0.57	0.65	0.75	0.62	0.63	0.67	0.58	0.577	T
19	0.644	0.778	0.739	0.704	0.579	0.598	NA	0.697	0.83	0.726	0.8	0.77	0.746	0.681	0.711	0.619	N
22	0.38	0.603	0.612	0.556	0.271	0.184	0	0.235	0.319	0.252	0.454	0.249	0.285	0.266	0.16	0.107	N
25	0.645	0.762	0.774	0.745	0.558	0.487	NA	0.509	0.604	0.582	0.752	0.646	0.523	0.573	0.554	0.393	N
27	0.48	0.64	0.42	0.5	0.3	0.458	NA	0.417	0.48	0.56	0.64	0.42	0.58	0.52	0.46	0.292	T
31	0.873	0.967	0.907	0.947	0.89	0.775	NA	0.892	0.887	0.933	0.94	0.92	0.893	0.933	0.933	0.897	T
32	0.346	0.626	0.617	0.551	0.327	0.224	NA	0.302	0.321	0.308	0.364	0.336	0.302	0.262	0.215	0.147	N
34	0.355	0.626	0.579	0.566	0.257	0.184	NA	0.255	0.29	0.327	0.505	0.196	0.355	0.243	0.262	0.159	N
36	0.348	0.489	0.489	0.455	0.149	0.141	NA	0.173	0.23	0.304	0.467	0.274	0.281	0.237	0.207	0.134	N
39	0.638	0.79	0.761	0.746	0.578	0.617	NA	0.537	0.681	0.6	0.693	0.601	0.667	0.623	0.623	0.545	T
50	0.429	0.643	0.627	0.578	0.238	0.153	0.083	0.244	0.332	0.251	0.401	0.22	0.26	0.255	0.168	0.12	N
55	0.371	0.522	0.433	0.406	0.238	0.326	0.056	0.321	0.432	0.57	0.741	0.316	0.553	0.638	0.459	0.388	T
56	0.556	0.778	0.704	0.692	0.407	0.192	NA	0.296	0.333	0.423	0.667	0.481	0.481	0.296	0.296	0.074	N
63	0.392	0.601	0.59	0.532	0.314	0.22	NA	0.281	0.335	0.345	0.53	0.37	0.383	0.365	0.348	0.252	T
67	0.416	0.534	0.511	0.483	0.277	0.205	NA	0.294	0.339	0.322	0.579	0.315	0.388	0.275	0.213	0.175	T
81	0.41	0.586	0.444	0.483	0.304	0.388	0.25	0.406	0.416	0.486	0.627	0.487	0.491	0.496	0.393	0.32	T
88	0.313	0.608	0.629	0.584	0.289	0.174	NA	0.203	0.217	0.212	0.447	0.253	0.232	0.193	0.183	0.106	N
89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
93	0.75	0.857	0.857	0.857	0.815	0.786	NA	0.857	0.821	0.893	0.929	0.857	0.893	0.893	0.852	0.815	T
94	0.497	0.617	0.603	0.572	0.426	0.36	0.2	0.399	0.513	0.49	0.59	0.463	0.508	0.48	0.423	0.32	N
BN190001	0.309	0.467	0.398	0.351	0.251	0.329	0	0.302	0.35	0.399	0.554	0.369	0.451	0.412	0.301	0.268	T
BN190002	0.5	0.616	0.555	0.516	0.245	0.216	0	0.274	0.325	0.351	0.476	0.33	0.381	0.392	0.22	0.158	N
BN190003	0.64	0.784	0.752	0.691	0.55	0.648	NA	0.536	0.685	0.709	0.829	0.712	0.73	0.703	0.651	0.627	T
BN190005	0.383	0.481	0.506	0.469	0.291	0.177	NA	0.241	0.321	0.304	0.481	0.333	0.321	0.358	0.321	0.205	N
BN190006	0.604	0.704	0.67	0.677	0.48	0.498	NA	0.525	0.616	0.587	0.718	0.616	0.587	0.575	0.532	0.445	T
BN190007	0.56	0.735	0.721	0.68	0.442	0.449	NA	0.47	0.516	0.479	0.642	0.489	0.475	0.427	0.475	0.338	N
BN190008	0.558	0.673	0.596	0.5	0.353	0.396	NA	0.558	0.49	0.5	0.635	0.51	0.529	0.538	0.404	0.346	T
BN190010	0.512	0.673	0.607	0.596	0.443	0.398	0.077	0.475	0.463	0.456	0.63	0.499	0.501	0.517	0.481	0.397	N
BN190011	0.701	0.829	0.791	0.728	0.643	0.705	NA	0.71	0.72	0.739	0.848	0.772	0.766	0.777	0.772	0.762	T
BN190012	0.287	0.539	0.578	0.505	0.217	0.154	0	0.159	0.275	0.22	0.34	0.251	0.282	0.241	0.164	0.144	N
BN190014	0.497	0.606	0.544	0.573	0.45	0.43	NA	0.456	0.485	0.491	0.604	0.526	0.608	0.456	0.585	0.365	T
BN190015	0.449	0.574	0.574	0.681	0.319	0.177	NA	0.433	0.333	0.348	0.493	0.391	0.391	0.333	0.406	0.309	N
BN190017	0.436	0.56	0.485	0.418	0.313	0.336	NA	0.394	0.41	0.485	0.679	0.485	0.5	0.47	0.308	0.313	N
BN190018	0.694	0.834	0.841	0.769	0.571	0.559	NA	0.565	0.611	0.624	0.745	0.631	0.605	0.596	0.592	0.503	T
BN190019	0.572	0.67	0.608	0.598	0.466	0.504	NA	0.499	0.569	0.606	0.733	0.566	0.609	0.596	0.508	0.496	T
BN190023	0.435	0.618	0.65	0.604	0.277	0.26	NA	0.26	0.329	0.306	0.47	0.29	0.3	0.369	0.29	0.192	N
BN190024	0.364	0.542	0.373	0.475	0.379	0.467	NA	0.487	0.525	0.593	0.771	0.644	0.744	0.771	0.636	0.466	T
BN190026	0.257	0.574	0.522	0.449	0.207	0.183	NA	0.25	0.287	0.221	0.481	0.272	0.326	0.382	0.287	0.187	N
BN190028	0.444	0.722	0.651	0.563	0.39	0.292	NA	0.306	0.421	0.293	0.548	0.381	0.365	0.325	0.254	0.104	T
BN190029	0.551	0.706	0.728	0.632	0.418	0.248	NA	0.267	0.4	0.388	0.704	0.463	0.375	0.378	0.221	0.187	N
BN190030	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
BN190031	0.373	0.573	0.507	0.493	0.227	0.284	NA	0.387	0.373	0.387	0.547	0.347	0.44	0.32	0.307	0.203	T
BN190032	0.298	0.435	0.331	0.29	0.203	0.302	NA	0.282	0.26	0.338	0.603	0.412	0.4	0.423	0.412	0.281	N
BN190033	0.324	0.654	0.57	0.54	0.356	0.416	NA	0.415	0.478	0.526	0.71	0.487	0.517	0.511	0.452	0.429	T
