	Brain	Brain	Heart	Heart	Heart	Heart	Heart	Heart	muscle	muscle	muscle	muscle	Vessel	Vessel	Spleen	Spleen	Kidney	Kidney	Ovary	Esophagus	Esophagus	Thymus	Lung	Lung	Lung	Liver	Pancreas	Pancreas	Pancreas	Stomach	Stomach	Gastric	Gastric	Intestine	Intestine	Intestine	Intestine	Colon	Colon	Colon	Bladder
chr17:72352903-72353082	0.748730158730159	0.817257448433919	0.00144927536231884	0.00187213389141144	0.000732600732600733	0.00119047619047619	0.00248756218905473	0.00116959064327485	0.00183933933933934	0.00173373075012419	0.00109289617486339	0.00186480186480186	0.000888888888888889	0.00271836007130125	0.00246913580246914	0.00455141997024842	0.00294117647058824	0.0571058611766313	0.00314465408805031	0.00553285110478211	0.00081799591002045	0.00262172284644195	0.00109289617486339	0.00137093664297301	0.00380461291896035	0.00172694688823721	0.00121212121212121	0.00109289617486339	0.00112044817927171	0.434328863305626	0.00114942528735632	0.00087719298245614	0.00121212121212121	0.0075534188034188	0.00276134122287968	0.00211640211640212	0.00158730158730159	0.00606060606060606	0.00137931034482759	0.000354609929078014	0.00284900284900285
chr7:42896292-42896319	1	1	0.872169312169312	0.0534261420369055	0.00701754385964912	0.264627705627706	0.136662869294448	0.305842951540103	0.53	0.234913884036691	0.243064919454372	0.0589907168854537	0.265674657490963	0.204915377685776	0.355776387355335	0.0281472962324026	0.11288927728649	0.172098540698059	0.341113199665831	0.0790453243188166	0.044018355499107	0.256701031033562	0.744338624338624	0.185128291469239	0.208384447796212	0.376666666666667	0.00512820512820513	0.0720590738543053	0.259562770562771	0.744338624338624	0.0908904530473158	0.00229885057471264	0.0613005404461163	0.255661375661376	0.231750705434916	0.00350877192982456	0.299307963620329	1	0.102359748095042	0.087472064094455	0.143522727272727
chr17:76732735-76732773	1	1	0.213040293040293	0.501706658766992	0.473333333333333	0.286394557823129	0.508606441077492	0.536163636933563	0.186666666666667	0.709600203717851	0.114618392360328	0.547865024351163	0.70505354294828	0.452296620070016	0.269503282546761	0.0118049083566325	0.569196847475536	0.711661730082783	0.45444383111931	0.223102453102453	0.219273243128522	0.20590900977999	0.285833333333333	0.13501286931862	0.0336536796536797	0.586458333333333	0.0627777777777779	0.242064368380158	0.137258075744918	0.00444444444444444	0.201068204025796	0.24366636368227	0.0677503782766941	0.435544843801423	0.16786276565189	0.0887764866712235	0.0936208378297181	0.464343915343915	0.0379364684858997	0.0255908801935934	0.132153797191391
chr17:75315463-75315623	0.886300366300366	0.768444444444444	0.058468720821662	0.244051192435181	0.229995421245421	0.378862905611052	0.273230192062204	0.315947769777943	0.307063492063492	0.2920670995671	0.682226399331663	0.186164423705507	0.0430034028906208	0.0569591899786541	0.0124521072796935	0.00229885057471264	0.00256410256410256	0.0108499804151978	0.0285818713450292	0.124099866400053	0.0242002442002442	0.00641025641025641	0.00613192205222565	0.062472961936036	0.0048780487804878	0.240561017929439	1	0.30288961038961	0.362959335746221	0.00666666666666667	0.00350877192982456	0.134786934608558	0.136095029206367	0.122993733214423	0.00196078431372549	0.00493827160493827	0.0414694987720841	0.156666666666667	0.00380952380952381	0.00333333333333333	0.0559353254796196
chr6:110721059-110721078	1	0.768968253968254	0.683333333333333	0.173809523809524	0.0125	0.0991840593663955	0.111111111111111	0.15503331313776	0.668686868686869	0.223339764863017	0.333333333333333	0.163888888888889	0.00833333333333333	0.0855555555555556	0.115800153751392	0.141666666666667	0.5	0.116666666666667	0.139815282531694	0.0583333333333333	0.11	0.166666666666667	1	0.00833333333333333	0.0974358974358975	0.113095238095238	0.119444444444444	0.0125	0.00833333333333333	1	0.116666666666667	0.14931570732902	0.166666666666667	0.269189691027926	0.380555555555556	0.570833333333333	0.25722719988345	0.5	0.115151515151515	0.356944444444444	0.0208333333333333
chr15:100386502-100386576	1	1	0.539627048458764	0.347509287402904	0.150581858759764	0.111383475416271	0.417357753357753	0.211507936507937	0.0708333333333333	0.120821661998133	0.114102564102564	0.390041572184429	0.119724867724868	0.364753764753765	0.367465737514518	0.613703703703704	0.414366925064599	0.269227528743658	0.108535571602273	0.21979797979798	0.32155303030303	0.282670191460386	0.524840288252053	0.985575048732944	0.158108119945484	0.329466836578552	0.510302082279805	0.434594149811541	0.257485380116959	1	0.32	0.635	0.213725713418336	0.296931216931217	0.144216826651609	0.21858842370167	0.184085213032581	0.5	0.22285484242006	0.0590518855069939	0.25479042806585
chr6:149803413-149803482	1	1	0.00606060606060606	0.199401288366806	0.424967257231639	0.211416361416361	0.198109257027261	0.329600203717851	0.113954672778202	0.28952380952381	0.321888887907194	0.337946527768932	0.265169577662359	0.160298736351368	0.00238095238095238	0.00229885057471264	0.444620805833621	0.232441648044455	0.0807127295362589	0.771791514402628	0.440563164510229	0.00404040404040404	0.218888888888889	0.257845909295777	0.262615632997839	0.255661375661376	0.358333333333333	0.548191691349586	0.562966827361228	0.494444444444445	0.404868078781122	0.5135417668751	0.5836555068427	0.414720644187141	0.271307407535725	0.468414613708731	0.609308118781803	0.909090909090909	0.184674475850946	0.656151644651645	0.425655145769562
chr12:4252393-4252444	1	1	0.52	0.157952077967985	0.118659611992945	0.43821371575115	0.369978517722879	0.199265910846874	0.509375	0.0235897435897436	0.420627705627706	0.0199643493761141	0.452777777777778	0.275132275132275	0.121289246509164	0.10622201629156	0.246038961038961	0.00208333333333333	0.113507768603121	0.571221719457014	0.0534261420369055	0.00512820512820513	0.413611111111111	0.268054007184442	0.0562924312697452	1	0.255661375661376	0.432310405643739	0.677954144620811	0.407402970743223	0.368644688644689	0.487904252610135	0.139351863822452	0.154727605727606	0.0834794145578459	0.00333333333333333	0.205708631117128	0.320833333333334	0.0989234650967199	0.284154284873936	0.364407389688992
chr16:88454809-88454843	1	1	0.0441666666666667	0.122646008961798	0.00444444444444444	0.190018461802673	0.361651756948535	0.297101360193344	0.0125	0.02684333210649	0.00202020202020202	0.0814862914862915	0.13125	0.0370715740463802	0.87957671957672	0.461258697027198	0.594983447924624	0.520575640575641	0.25836038961039	0.0653138528138528	0.122673021777881	0.834101694186447	0.374166666666667	0.60619696969697	0.111034241965074	0.0338624338624339	1	0.205555555555556	0.0824990224009832	0.163611111111111	0.264084535272471	0.0329039381670961	0.0307706881045966	0.25	0.141248692090207	0.333333333333333	0.0631707725825373	0.872169312169312	0.488768900455244	0.0362547015825704	0.389561689807278
chr6:10720855-10720934	1	0.885459725459725	0.476412337662338	0.243725028905588	0.4067542334209	0.0365039982120953	0.166198926782652	0.00218579234972678	0.0937484737484736	0.252629724500624	0.393769193296047	0.0789054278698775	0.293862470187014	0.310375636749062	0.203928571428571	0.255590583750776	0.214136067169572	0.370435910135835	0.394550687935816	0.0790918472652219	0.315365812054208	0.385877221258196	0.506666666666667	0.142227659618964	0.203150138319296	0.509439153439153	0.619523778296157	0.00185185185185185	0.173590029308838	0.753333333333333	0.350476190476191	0.298715402178408	0.242811967853185	0.0990035426200296	0.338573114687245	0.367782410571884	0.307415414551155	0.339368605250958	0.443335652914294	0.289935989439423	0.265160980473104
