	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCT	LCT	LCT	LCT	LCT	LCT	LCT	LCT	NLT	NLT	NLT	NLT	WB	WB	WB	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT
chr14:77499219-77499245	NA	0	0.2625	NA	0	0.2625	0.358333333333333	0.158333333333333	0	NA	NA	NA	0.26875	0	NA	0.833333333333333	0.341666666666667	0.252777777777778	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0.358333333333333	NA	0	0	NA	0	NA	0.98	1	0	NA	0	NA	0.38125	NA	NA	NA	0	NA	0	1	0	0	NA	NA	0	0	NA	NA	1	NA	0.00740740740740741	1	0.763235294117647	0	0.330769230769231	0.558760683760684	0.0110035842293907	0	0.118086663738838	0	0	0	0	NA	0	NA	0	0	0	0.00344827586206897	0.0106993006993007	0	0.00416666666666667	0.160947420634921	0.0174074074074074	0.0571637426900585	0	0	NA	0.0429881894278179	0	0	0	0.0479107848673066	0.419101382488479	0.00163934426229508	0.000847457627118644	0.0242824074074074	0.258691647150664	0.0062004662004662	0.00876456876456876	0.00114942528735632	0.114529256742372	0.0025	0	NA	0.00256410256410256	0	0.0277777777777778	NA	NA	0.00769230769230769	0	NA	0	NA	NA
chr8:11565759-11565778	NA	0	NA	0	0	0.0392156862745098	0	0	NA	NA	0	NA	NA	0	0	0	0	0.0185185185185185	0.0555555555555556	NA	0	NA	NA	NA	NA	NA	NA	0	0	0	0.0925925925925926	0.0277777777777778	NA	NA	0	0.037037037037037	0	0	NA	NA	0	0	0	0	0.111111111111111	NA	NA	NA	0	0	0	0	0.0555555555555556	0	NA	NA	1	NA	NA	NA	0.380410228607572	0.858152958152958	0.0333333333333333	0	0.0857142857142857	0	0.134210526315789	0	0	0.00833333333333333	NA	0	0	1	0.25	0	0	0.365460992907801	0.0317460317460317	0.150793650793651	0.0087719298245614	0	0	0.00740740740740741	0.0138888888888889	0	0.53021978021978	0	0.00980392156862745	0.0333333333333333	0	NA	0	0.0111111111111111	0	0.372222222222222	0.148318367780671	0.0371496116176967	0.0238095238095238	0.00574712643678161	0.383333333333333	0.00595238095238095	0.0474747474747475	0.140832758224063	0	NA	0.78046218487395	NA	NA	0.0422705314009662	NA	0	0	NA	NA	0	0
chr8:10588937-10588947	0	0	0	0	0	0	NA	0	NA	0	0	NA	0	0	NA	0	NA	0	0	0	0	0	0.00833333333333333	NA	NA	0.0166666666666667	NA	0.5	0	0	NA	NA	NA	0	0	0	0	0	NA	NA	0.0125	0	0.141666666666667	NA	0	0	0	0	0	0	0	0	0.0125	0.2	0	0.271666666666667	1	1	0.285416666666667	0.341666666666667	1	1	1	0.399480519480519	0.524285714285714	0	0.183535956827553	0.00714285714285714	0.00178571428571429	0	NA	0.05	0	1	0	0	0	0.148622835497836	0.160952380952381	0.00882352941176471	0.00119047619047619	0.00606060606060606	0.0479166666666667	0.210232355026294	0.184358974358974	0.00188679245283019	0.216502463054187	0	0.292019107355233	0.0891172595520422	0	NA	0.128333333333333	0.00714285714285714	0.136642857142857	0.463644913500791	0.00306122448979592	0.424263121599017	0.0973179723502304	0.00405405405405405	0.0354115314542921	0.0147597001763668	0.0496596398770312	0	0	NA	0.315884677981865	NA	NA	0.0057429718875502	NA	0.00444444444444444	0.0166526492851135	NA	NA	0	0
chr12:115103722-115103766	0	0	0	0	NA	0	0	0	0	0	NA	0	0	0	NA	0	0	0	0.0208333333333333	0	0	NA	0	0	0.0555555555555556	0	0	0.5	0	0.0128205128205128	0	0.0303030303030303	0	0	0	0.0138888888888889	0	0	0	0.211111111111111	0	0	0.185185185185185	0	0.0238095238095238	0	0	0	0	NA	0.0208333333333333	0	0.5	0	0.0277777777777778	0.704365079365079	0.704365079365079	0.591269841269841	0.320357142857143	0.22972582972583	0.198385885885886	0.896886585776879	1	0.363095238095238	0.397649572649573	0.440862290862291	0.470793650793651	0.0619694397283531	0.00354609929078014	0.0300245098039216	0.00833333333333333	0.0222222222222222	0.0555555555555556	0.540909090909091	0	0.216666666666667	0	0.676023391812866	0.0357142857142857	0.0138888888888889	0.0381263616557734	0.422514619883041	0.145434609250399	0.371781479390175	0.0595238095238095	0.0119047619047619	0.548809523809524	0.0333333333333333	0.368981481481482	0.457407407407407	0.0138888888888889	NA	0.0833333333333333	0.418253968253968	0.02	0.49410488587059	0.123847713864307	0.180685081188219	0.258551367331855	0.174434436531211	0.188492063492063	0.195190677460181	0.0491352201257862	0.0696457326892109	0.957070707070707	0.0645666390347241	0.498931623931624	NA	0.0666666666666667	0.0148148148148148	0.0104166666666667	NA	0	0	0	NA	0
chr2:97204346-97204368	NA	0	0	0	0	NA	0	0	NA	NA	NA	NA	NA	NA	NA	0.00666666666666667	NA	NA	NA	NA	0	NA	NA	0	NA	0	NA	NA	NA	NA	NA	0	0	NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0.00444444444444444	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.548153523625222	0.871166648477573	0.979796173788664	0.56	0.0324450677886863	0.0161709401709402	0.0702784129450796	0	0	0.00177777777777778	NA	NA	NA	NA	0.222222222222222	0.175555555555556	NA	0.124185095352143	0.321824194324194	0.0653185703185703	0.260574536498307	0.417182050685887	0.662315462315462	0.127516106340152	0.0404911746972521	0	NA	0	0.43856400259909	0.189506534893496	0.00148148148148148	NA	0.194117867445956	0.104944178628389	0.350637769598375	0.599486829965079	0.00201689238386486	0.20796120738008	0.140346814311009	0.0749271014073646	0.200345770195957	0.150439919557567	0.137849899668871	0.209904804402796	0.54067083197518	NA	0.510678346810422	NA	NA	0.020343137254902	0.0152292152292152	NA	0	0.0128205128205128	0.00317460317460317	NA	NA
chr11:2966724-2966774	0	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0.5	NA	NA	0.025	0	NA	0	NA	0	NA	NA	NA	0	NA	NA	0	0	NA	0	NA	0	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0208333333333333	0	0	NA	0	NA	NA	NA	NA	NA	NA	0.71706770315466	0.960766290498726	0.687356846052498	0	0.0174228675136116	0.0428037986354416	0	0.00163934426229508	0.01	0.015406162464986	0	0.00526315789473684	0	0.524285714285714	0	0	0	0.0074260752688172	0.00357142857142857	0.0134848484848485	0.00446846846846847	0.00666666666666667	0	0.0168605410038866	0.00384615384615385	0.0456181477555523	0	0	0.0689140271493213	0.00256410256410256	0.0100504625735913	0	0	0.00454545454545455	0.0205312810327706	0.159659252784253	0.0288773447408472	0.00439896494942366	0.00733552631578947	0.0063660925363053	0.00151515151515152	0.0486641158467784	0.0174147528078771	0	0	0.0615578865578866	0.0837657956079009	NA	NA	0.24289993069715	NA	0.0458952937900306	0	NA	0.0555555555555556	0.916666666666667	NA
chr7:158362593-158362601	NA	NA	NA	0	NA	NA	0	0.0555555555555556	0	0.0277777777777778	NA	NA	NA	NA	NA	0	NA	1	0	0	0	0	0	NA	NA	0	NA	NA	NA	0	NA	0	NA	0	NA	NA	0	0	NA	NA	0	NA	0	0	NA	NA	NA	0	NA	0.0277777777777778	0	NA	NA	0	0	NA	NA	NA	1	NA	1	0.958333333333333	1	0	0	0	0.00497512437810945	0.11253529079616	0.0142857142857143	0	0	0	0	NA	NA	0	NA	0	0.0333333333333333	0	0.00666666666666667	0	0	0.0154320987654321	0.0208333333333333	0.0208333333333333	0.037037037037037	0	0.138888888888889	0	0.175925925925926	NA	0	0	0	0.190546594982079	0.0043859649122807	0.0480614851304506	0.00854700854700855	0.0601851851851852	0.00546448087431694	0	0.0102040816326531	0	0	0.01875	0.0277777777777778	0.25	0.138888888888889	NA	NA	NA	NA	NA	NA	NA	0
chr15:76635125-76635135	0	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA	NA	0.0555555555555556	0	0	0	0	NA	0.111111111111111	0	0	0	0	0	0	0	NA	0	NA	NA	0	0	0	NA	0	NA	0.0925925925925926	NA	0	NA	0	0	NA	NA	0.111111111111111	0.0277777777777778	0	0	0	0	0	0	NA	NA	NA	0	1	1	1	0.0555555555555556	0.1375	0	0.0184343434343434	0.0476190476190476	0.00347222222222222	0	0	NA	NA	NA	1	0	0.0555555555555556	0.0347593582887701	0.25	0.0196078431372549	0.0327956989247312	0	0	0.127972709551657	0	0.0043859649122807	0	0.0277777777777778	0.314102564102564	0.25	0.0138888888888889	0.0669779022720199	0.0128205128205128	0	0.0119047619047619	0.0304232804232804	0.00909090909090909	0.254783125371361	0.577872744539411	0.0687275985663082	0.0126582278481013	0.0087719298245614	0	0.0040650406504065	0	0.0078125	0.0294117647058824	NA	0.0740740740740741	NA	0	NA	0	NA	0	NA	NA
chr2:242556849-242556893	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	NA	NA	NA	NA	0	0	0	0	NA	0	0	0.0555555555555556	NA	0	0	0	0	1	0	NA	0	0	0	0	0.111111111111111	0	0	0	0	NA	0	0	0	NA	0	NA	NA	NA	0.837091503267974	0.971159471159471	0.599258184163845	0.197916666666667	0.0473801560758083	0.0729429324986233	0.0616631054131054	0	0.107309941520468	0.00980392156862745	0	0	0.466666666666667	1	0.409090909090909	0.00757575757575758	0	0.479282482223659	0.0305418719211823	0.162262872628726	0.0705546026300743	0.0237336731443135	0.0662086818000796	0.0842612168193563	0.0255284552845528	0.110819554277498	NA	0.420151607651608	0.0893518518518518	0.201965217611592	0.00476190476190476	NA	0.00387596899224806	0.0186480186480186	0.0604808590102708	0.20440017246389	0.195742880123845	0.0955555555555556	0.242512077294686	0.0839905974713588	0.0354007633587786	0.0308193569063134	0.140953716690042	0.0543898110449943	0.0247208931419458	NA	0.0547785547785548	NA	NA	0.434172988072071	0.470839617898441	NA	0.272703561435956	0.141369047619048	0.0672061928219564	0.172727272727273	NA
chr8:37555266-37555275	0	0	0.0555555555555556	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	NA	0	NA	NA	NA	0	NA	NA	0.5	0	0	0	0	0	0	0	0	0	0	NA	NA	0.0694444444444444	0	NA	NA	NA	0.277777777777778	NA	NA	NA	0	NA	NA	0	0	0.263888888888889	0	0	0	0	0	0	NA	1	0	0	1	1	1	NA	0.0277777777777778	0.154761904761905	0.0773224043715847	0.0286549707602339	0	0	0	0	NA	0.555555555555556	0	0	NA	0.00416666666666667	0.483333333333333	0.0333333333333333	0.261655011655012	0.0104166666666667	0	0.0421626307196975	0.0104166666666667	0	0.25	0	0	0.284767610748003	0.0833333333333333	NA	0	0	0	0.0856676003734827	0.00297619047619048	0.0516381766381766	0.00617283950617284	0.171021240126931	0.450408496732026	0	0.0597147950089127	0.362655631013016	0	NA	0.270061728395062	NA	NA	0	NA	0	0	NA	NA	NA	NA
chr8:37555240-37555253	0	0	0	0	NA	NA	NA	NA	NA	0.0833333333333333	NA	NA	NA	0	NA	0	NA	NA	NA	0	NA	NA	0.222222222222222	0	0	0	0	0	0	0	0	0	0	NA	NA	0.0208333333333333	0	NA	NA	NA	0	NA	NA	NA	0.111111111111111	NA	NA	0	0	0.75	0	0	0.111111111111111	0	0	0.166666666666667	NA	1	0	0	1	0.989583333333333	1	NA	0.0128205128205128	0.385281385281385	0.121900406504065	0.0166666666666667	0	0.00833333333333333	0	0	NA	1	0.0333333333333333	0	NA	0.0040650406504065	0.672222222222222	0.249732620320856	0.231448412698413	0	0	0.0637633970967304	0.173976608187134	0.00854700854700855	0.0333333333333333	0	0.0892857142857143	0.351851851851852	0.111111111111111	NA	0	0	0	0.266649763353617	0.00505050505050505	0.102813190075897	0	0.0544444444444444	0.560215053763441	0.00740740740740741	0.62615629984051	0.356797706797707	0	NA	0.331349206349206	NA	NA	0.00833333333333333	NA	0.00574712643678161	0	NA	NA	NA	NA
chr3:128210809-128210825	0	0	0	0	0	0	0	0	0	NA	NA	NA	1	0	NA	0	0	0	0	0	0.5	0	NA	NA	NA	0	0	0	0	0	0	0	NA	NA	0.0185185185185185	NA	0	0	0	NA	0.0277777777777778	0	0	0	0	NA	0.0277777777777778	0	0	0.5	0	0	0	0	NA	0	0.759259259259259	1	0.108333333333333	0.5	0.933258569128134	0.901702786377709	0.896248110913989	0	0.0750576583909917	0	0.00213675213675214	0.00617283950617284	0.00769230769230769	0.00704225352112676	0	0	0	0	0	0	0	0.0736840648696519	0.118300653594771	0.00396825396825397	0.158242658242658	0.241892911010558	0.212962962962963	0.0565539865924975	0.157683215130024	0.00980392156862745	NA	0.00340136054421769	0.00476190476190476	0.212536549707602	0	NA	0.241210277214334	0	0.229313761922458	0.0283108268182895	0.228596316674858	0.0596236341220381	0.234007133868373	0.011478163493841	0.254457207025306	0.0994401951003215	0.364738091446166	0.37123087640329	0.141774891774892	NA	0.0087719298245614	NA	NA	0.00231481481481481	NA	NA	0	NA	0	0	0
chr5:76373387-76373407	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.111111111111111	NA	NA	NA	NA	NA	1	1	0.57962962962963	NA	0	0	0.0819130377538593	0	0	0	0	0	0	NA	0	0	NA	0	0.0151515151515152	0	0.0162141779788839	0	0	0.114996114996115	0	0	0	0	NA	0	0.0111111111111111	0.0040650406504065	0.0119047619047619	0.0238095238095238	0	0	0.0566448801742919	0	0	0.201010101010101	0.0121212121212121	0.00925925925925926	0	0.0898989898989899	0.347222222222222	0.012987012987013	0.326388888888889	NA	0	0	0	0	NA	0	0	NA	NA
chr12:54071106-54071113	0	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	1	NA	0	NA	0	0	0.111111111111111	0.0666666666666667	NA	0	0	0	0	0.321212121212121	NA	0	0	0	0	0	0	NA	0	NA	NA	0	0	0.533333333333333	0	NA	0	0	0	0	1	0.822222222222222	0	0.527777777777778	0.944551282051282	1	0.376923076923077	0	0.0040650406504065	0	0.0198001307555805	0.0245408009635652	0.0182033096926714	0	0	0	0	0.5	NA	0	NA	0	0.138528138528139	0.0144927536231884	0.00784313725490196	0	0	0.0028735632183908	0.00378787878787879	0	0.0488215488215488	0.0036231884057971	0.00462962962962963	0	0.00347222222222222	NA	0	0.00900900900900901	0.0072463768115942	0.0610674048174048	0.00616404528531267	0.00116550116550117	0.0203782006107588	0.0115950796531559	0.00786163522012579	0	0.00432900432900433	0.00588235294117647	0	0.0014367816091954	0.382411067193676	NA	0.00595238095238095	0.00925925925925926	0	NA	0	0.00980392156862745	0	NA	0
chr6:27834211-27834243	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.277777777777778	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	0	0	0	0.0242063492063492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0.0151515151515152	0.0111111111111111	0.00980392156862745	0	0.0461760461760462	0	0	0.316849816849817	0	0	0	0.221507352941176	0.307291666666667	0	0	0.0298245614035088	0	0	0.158333333333333	0	NA	NA	0	NA	0	0.00277777777777778	NA	0.0040650406504065	NA	NA
chr19:12306143-12306165	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.0416666666666667	0	0	0	0	0	0.5	0	NA	NA	0.177777777777778	0	NA	0	NA	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.06	0.651803264206365	0.986111111111111	0	0.0072463768115942	0.0104166666666667	0.0404126766985864	0.0341666666666667	0	0.00387596899224806	0	0	0	0	0	0	NA	0	0.00757575757575758	0	0.0138888888888889	0	0	0.00813008130081301	0	0	NA	0.0119047619047619	NA	0	0.00574712643678161	0	0	0.0072463768115942	0.232407407407407	0	0.00396825396825397	0.0833973374295955	0.0128205128205128	0	0.00234741784037559	0.0087719298245614	0	0.00740740740740741	0	NA	0.00505050505050505	NA	NA	0.455571117335823	0.187261904761905	0.23025641025641	0.441269841269841	0.111111111111111	0.130952380952381	NA	1
chr3:141516570-141516594	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0	0	0	0	NA	0	0.0686363636363636	0	0	0	0	0	0	1	0.138888888888889	NA	0	0	1	0	0	NA	NA	0	0	0	0	0	0	NA	0	0	0	NA	0.05	NA	0	NA	0.568757068757069	0.922884502638265	0.988963963963964	0.01	0	0	0.0265802533629359	0.00476190476190476	0	0.0037037037037037	0	0	NA	0	0	0	0.916666666666667	0	0.00333333333333333	0.004	0.0027027027027027	0.185971100238935	0.00256410256410256	0.00978234872040182	0	0	NA	0.179397759103641	0	0	0.00344827586206897	NA	0	0.0264957264957265	0.00256410256410256	0.00120481927710843	0.00666666666666667	0.00567632850241546	0.00136986301369863	0.00392156862745098	0.0289053032488891	0	0.00379746835443038	0.00238095238095238	0.393297872340426	NA	0.0925531670570943	NA	NA	0.012	NA	NA	0	NA	0	0.0555555555555556	0
chr1:6269435-6269441	NA	0	NA	NA	NA	1	0	NA	NA	0	NA	NA	NA	NA	NA	0	NA	NA	0	0	0	0	0	0	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA	0	NA	0	NA	0	0	0	NA	1	NA	0	NA	NA	0	0.928918650793651	0.888888888888889	0	0.262719298245614	0	0.1057689631623	0.00694444444444444	0	0.00925925925925926	0	0	0	0.327777777777778	0	0	NA	0.141773352299668	0.165979853479853	0	0	0.323412698412698	0	0.00208333333333333	0.0101010101010101	0.0121212121212121	0	0.679679144385027	NA	0	0.0175438596491228	NA	0.0166666666666667	0.0104166666666667	0	0	0.23021501744906	0.367133520074697	0.0998888194010145	0.065255376344086	0.110561594202899	0.0739271172818244	0	0.00980392156862745	0	NA	0.543212365591398	0	0.0138888888888889	0.0045045045045045	NA	0	NA	0	0	0	NA
