chr	start	end	H1	H2	H3	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51
chr1	1	2000000	0.69356481	0.747916667	0.737723639	0.735708897	0.656438026	0.750943934	0.741017343	0.747793836	0.720032073	0.704475703	0.718061674	0.721540381	0.670948093	0.674141876	0.720855771	0.72030888	0.689037408	0.674632433	0.760641131	0.771142487	0.66807267	0.677717871	0.753281806	0.74610618	0.755570336	0.753363861	0.703672554	0.714075067	0.67495588	0.734984669	0.720060807	0.742188657	0.704423513	0.719959947	0.695675844	0.69642764	0.679508006	0.691818985	0.75128379	0.668867056	0.588982466	0.579326137	0.650274363	0.535688126	0.599908724	0.754001728	0.693935234	0.685500993	0.705419942	0.686526966	0.692950343	0.681958763	0.749352976	0.703109618
chr1	2000001	4000000	0.738358596	0.772667939	0.757444136	0.763351393	0.706957743	0.767355724	0.765691848	0.768934861	0.740785991	0.752359315	0.743407844	0.743824839	0.731801802	0.735329826	0.748653149	0.755439609	0.721109299	0.727779489	0.776079451	0.776585821	0.719234318	0.705231646	0.766758978	0.779695564	0.780663781	0.777341947	0.72651775	0.754282905	0.709780374	0.755893802	0.742990844	0.75014616	0.748309479	0.762836186	0.730098056	0.714091843	0.73816654	0.728954952	0.732001175	0.696199158	0.653674833	0.45943758	0.556479124	0.482684228	0.505266702	0.741846343	0.73226601	0.665298343	0.724634369	0.732694095	0.727130836	0.725018342	0.768785687	0.72680998
chr1	4000001	6000000	0.737823048	0.769914569	0.754465819	0.745494968	0.730727956	0.768383852	0.763637805	0.752800597	0.730602866	0.747944824	0.760475361	0.731717492	0.748816613	0.756292204	0.766358123	0.761090498	0.74348865	0.761549925	0.763824117	0.776314147	0.726232467	0.718471908	0.750670078	0.763106497	0.77125584	0.753259196	0.733242917	0.749669421	0.738436274	0.761485248	0.74805096	0.747356495	0.737219731	0.749474195	0.753076583	0.730827861	0.763752129	0.748086291	0.730849048	0.712580349	0.693176287	0.407325965	0.505374813	0.43254727	0.361278303	0.704928095	0.75	0.615079723	0.710054707	0.736050955	0.741668458	0.733828341	0.743848361	0.723355686
chr1	6000001	8000000	0.73942282	0.790759481	0.754069452	0.764438803	0.68977896	0.775149288	0.761222282	0.763155153	0.745912654	0.74497745	0.749668931	0.739301859	0.724146462	0.7556257	0.725878278	0.75156354	0.732838092	0.725773196	0.782435424	0.79124279	0.706838819	0.708493213	0.773357354	0.77400925	0.782115537	0.774367823	0.740231073	0.752130501	0.702729813	0.768296965	0.753730966	0.76104057	0.74873254	0.756176008	0.733825321	0.714105263	0.732387897	0.732024509	0.750113895	0.705232015	0.642615152	0.520671306	0.625059074	0.500444516	0.593449671	0.783185671	0.733512896	0.665011759	0.736429244	0.710335248	0.719821029	0.727830562	0.769644528	0.739252712
chr1	8000001	10000000	0.764931615	0.818941213	0.800846497	0.787761467	0.735644423	0.778201462	0.797952826	0.790075256	0.752330061	0.78185525	0.772330392	0.76718264	0.776408694	0.747035143	0.75813275	0.755828056	0.751707014	0.768282054	0.79198149	0.801933978	0.737217281	0.746091971	0.794469599	0.790359915	0.795136999	0.797502858	0.773324455	0.778201713	0.749199573	0.779882359	0.776410999	0.77022508	0.785264374	0.770548438	0.75902439	0.741477273	0.76127321	0.765993206	0.782054202	0.761448753	0.694675751	0.643960036	0.725231006	0.651475021	0.717434411	0.796926024	0.773167895	0.759002099	0.77432804	0.759251352	0.740909562	0.739909833	0.793726741	0.743231386
chr1	10000001	12000000	0.755211608	0.797693812	0.788804433	0.772688584	0.718278534	0.783546573	0.78179968	0.77101819	0.760100107	0.77439969	0.765454294	0.762753512	0.747135417	0.747242854	0.748201439	0.75660943	0.756742739	0.758705206	0.80713068	0.804181789	0.726760294	0.728839184	0.770214046	0.798925172	0.803628454	0.79078077	0.757630386	0.762313142	0.74872	0.781752369	0.773438379	0.768422427	0.769350881	0.769511671	0.749840409	0.735327084	0.756552643	0.745907378	0.764742884	0.725536783	0.677819965	0.588573399	0.691645797	0.595796966	0.656486371	0.774961987	0.761274159	0.714328049	0.754964686	0.756335674	0.738389798	0.738538453	0.788390663	0.742274156
chr1	12000001	14000000	0.760356806	0.801954733	0.798753219	0.781644654	0.742734272	0.792962445	0.794285714	0.789968342	0.779454832	0.776433583	0.786058675	0.763894469	0.755953905	0.763034188	0.772771792	0.78271791	0.74782937	0.761302133	0.790537496	0.801867414	0.741825696	0.738077123	0.767612077	0.80318156	0.797690681	0.79446125	0.769170579	0.778678066	0.765678449	0.791194255	0.777003122	0.773567574	0.766326531	0.767466525	0.76438037	0.744986201	0.785899552	0.770664243	0.770429079	0.730815042	0.720112518	0.576987988	0.661885003	0.582756233	0.630928919	0.774597227	0.781161972	0.710631377	0.748734694	0.742712787	0.767281503	0.738085938	0.786746816	0.773952435
chr1	14000001	16000000	0.754111605	0.787400694	0.782904278	0.77014482	0.732288429	0.780589849	0.776080827	0.756451613	0.762267813	0.768424275	0.757010299	0.746226182	0.734271139	0.768523384	0.756554307	0.771004677	0.768329554	0.76861822	0.786729473	0.798148474	0.729680623	0.731337501	0.76869952	0.789897985	0.788669205	0.778341738	0.765759651	0.770229686	0.745318352	0.78633694	0.770510498	0.770607735	0.760903528	0.770977058	0.76638204	0.745474164	0.763338209	0.762760875	0.748876643	0.737223796	0.710383108	0.495342606	0.545361353	0.474041621	0.460436614	0.752334152	0.769624573	0.65431874	0.754792081	0.749932487	0.743545808	0.741047188	0.760392914	0.759021
chr1	16000001	18000000	0.726073926	0.759952932	0.749626612	0.738129363	0.670166514	0.755635863	0.752588127	0.755261738	0.712985939	0.728291785	0.716900622	0.731833625	0.713507032	0.712653865	0.742353905	0.708997135	0.693318637	0.698359433	0.764136616	0.770747562	0.676259196	0.687717911	0.74682857	0.751109783	0.756443185	0.756088657	0.718324158	0.723271384	0.692692693	0.735168797	0.732464052	0.749772469	0.728991702	0.723999746	0.706720978	0.679325579	0.718287381	0.711663034	0.743299274	0.697754491	0.633517241	0.585377611	0.660175476	0.581402439	0.648630008	0.750416618	0.736925237	0.682101727	0.720412971	0.696635697	0.708370596	0.683435365	0.742317856	0.710279859
chr1	18000001	20000000	0.703260219	0.73916988	0.71273597	0.718254441	0.667479049	0.71687654	0.716991556	0.693774058	0.696548988	0.699585833	0.710860789	0.695843245	0.701092651	0.691690033	0.692912148	0.701048951	0.688708743	0.705095453	0.727992303	0.740287353	0.67432965	0.669246387	0.71539189	0.726504359	0.738749173	0.71728739	0.691297835	0.698462153	0.67859017	0.720030393	0.702072539	0.699831859	0.687557378	0.708139819	0.685355724	0.689874845	0.679890953	0.6978423	0.695101966	0.66017316	0.617223581	0.507870968	0.562017719	0.493551934	0.535323153	0.700032067	0.703934392	0.638213441	0.681795902	0.697553018	0.664869437	0.68083803	0.716822701	0.679586197
