	intercept	f	pval	qval	ID	CHR	MAPINFO	Infinium_Design_Type
cg08944880	0.772134286544134	62.6490549608642	3.94614662391269e-10	0.000218514560350338	cg08944880	14	79051760	II
cg03985415	0.61863288336947	58.3699274489302	1.00860242251311e-09	0.000279252567033625	cg03985415	1	229340974	II
cg22587211	0.333551286842241	51.3650052915886	5.1222677117632e-09	0.00070968963181734	cg22587211	6	32851722	II
cg09492975	0.255541687763362	51.3551049542377	5.13447860146182e-09	0.00070968963181734	cg09492975	3	11267531	II
cg09084613	0.261649854719132	49.9204039776659	7.26957101089506e-09	0.00070968963181734	cg09084613	17	53351050	I
cg03389126	0.91161843044765	49.6906138254513	7.68975579512453e-09	0.00070968963181734	cg03389126	12	6945978	II
cg14653766	0.824239232611378	46.9494668297835	1.51981624266499e-08	0.000950353987068824	cg14653766	1	22543144	II
cg11611244	0.750035752441833	46.7456484942989	1.60011464747747e-08	0.000950353987068824	cg11611244	11	1507263	II
cg25575808	0.334066279520961	46.6057454526064	1.65778715169461e-08	0.000950353987068824	cg25575808	17	74458940	II
cg13870520	0.323302149715692	46.2390580019478	1.81948492167596e-08	0.000950353987068824	cg13870520	4	77131705	II
cg24086675	0.345112014821959	45.6975791696763	2.08901352338061e-08	0.000950353987068824	cg24086675	14	35703393	II
cg07712094	0.762861249514786	45.4696870124003	2.21462639825134e-08	0.000950353987068824	cg07712094	17	76765290	II
cg08075506	0.79928823182924	45.0032049306335	2.49697749197001e-08	0.000950353987068824	cg08075506	5	7882350	II
cg05123047	0.477746591150467	44.9240107769926	2.54852880379812e-08	0.000950353987068824	cg05123047	16	3103871	II
cg20775668	0.301367211448737	44.8849532701206	2.57436129536239e-08	0.000950353987068824	cg20775668	5	142174362	II
cg20617583	0.77891482138353	44.0928330217654	3.1617208171377e-08	0.00109423524413788	cg20617583	11	124609317	II
cg03825736	0.868320333728099	43.1978532577144	3.99719353506589e-08	0.00118123679809596	cg03825736	22	42345835	II
cg06683734	0.251650889294086	43.18819624506	4.00737286424934e-08	0.00118123679809596	cg06683734	22	37428975	II
cg12380764	0.289966732712699	42.9150220533859	4.30682623199034e-08	0.00118123679809596	cg12380764	1	206971195	II
cg10975889	0.909673856666035	42.9074264010867	4.31547907528523e-08	0.00118123679809596	cg10975889	1	221057808	II
cg19889669	0.845183306084781	42.7044644120478	4.55354268113698e-08	0.00118123679809596	cg19889669	12	50058920	II
cg08556091	0.796696658834883	42.5906377309039	4.69302087230424e-08	0.00118123679809596	cg08556091	17	17759388	II
cg02519286	0.134791461811097	42.0732408584092	5.38560272049725e-08	0.00122895737012698	cg02519286	12	6642354	II
cg00358010	0.294831318538955	42.0570263507646	5.40895923614466e-08	0.00122895737012698	cg00358010	1	221338314	II
cg13699156	0.638611494531961	41.9617039452742	5.54842428953466e-08	0.00122895737012698	cg13699156	11	61368437	II
cg09488512	0.80833296520984	41.7370233222862	5.89221726643297e-08	0.00123198418070869	cg09488512	19	44116266	II
cg26309186	0.733764223254025	41.6650110376574	6.00705671996507e-08	0.00123198418070869	cg26309186	8	22435728	II
cg24982556	0.839428831720751	41.276726880166	6.66785725111122e-08	0.0012798953502	cg24982556	2	1154858	II
cg02879097	0.193294805350121	41.2572507157049	6.70293945193474e-08	0.0012798953502	cg02879097	4	40239725	II
cg24681499	0.782452707741904	40.8613985726324	7.45935766487571e-08	0.00130810616953721	cg24681499	1	42706997	II
cg22610434	0.73819618135917	40.8515525654526	7.47927068259016e-08	0.00130810616953721	cg22610434	1	158259914	II
cg23075286	0.790047597638619	40.358340046166	8.55133174103762e-08	0.00130810616953721	cg23075286	19	56687199	II
cg02895666	0.796567827323808	40.2729520191646	8.75267007396155e-08	0.00130810616953721	cg02895666	22	41801946	II
cg14554468	0.250347277844205	40.2234799741209	8.87158091709744e-08	0.00130810616953721	cg14554468	17	28696496	II
cg23895055	0.772437391450801	40.2131752479367	8.89656095792627e-08	0.00130810616953721	cg23895055	2	122495663	II
cg16426715	0.779790488184516	40.2029570557078	8.92140377926861e-08	0.00130810616953721	cg16426715	5	176868293	II
cg10911359	0.198118665700601	40.1087201531166	9.15396029093186e-08	0.00130810616953721	cg10911359	8	144655294	II
cg10197238	0.241763612634043	40.0912179749938	9.19784458932061e-08	0.00130810616953721	cg10197238	14	21269744	II
cg20682563	0.626143769177509	40.0130071157089	9.39664928925572e-08	0.00130810616953721	cg20682563	5	133460874	II
cg19193970	0.852288349051718	39.9926154883841	9.44921699746245e-08	0.00130810616953721	cg19193970	22	50894541	II
cg10881887	0.345365076448492	39.7242704564664	1.01703295059739e-07	0.00134184888516635	cg10881887	1	169580242	II
cg17681474	0.29473713787923	39.7216642296414	1.01776084147183e-07	0.00134184888516635	cg17681474	11	34448491	II
cg11596902	0.339522757016864	39.538192952421	1.07039486898335e-07	0.00137842368175362	cg11596902	11	123324834	II
cg01445100	0.760769265510298	39.2492499166692	1.15912654579763e-07	0.00139076416330221	cg01445100	16	88103339	II
cg23898320	0.755480119047713	39.169655143666	1.18489541733024e-07	0.00139076416330221	cg23898320	17	76818733	II
cg17908865	0.521276592327305	39.1425972662183	1.19379112370024e-07	0.00139076416330221	cg17908865	1	203506157	II
cg10165702	0.894343918254225	39.0461666319987	1.2260657054443e-07	0.00139076416330221	cg10165702	1	31218171	II
cg04070601	0.702855465758185	38.9796984124418	1.24884174889566e-07	0.00139076416330221	cg04070601	12	50067887	II
cg20248813	0.295029103697447	38.9701223693492	1.25215932477675e-07	0.00139076416330221	cg20248813	20	1842141	II
cg17837888	0.785914401833609	38.7511751051632	1.33057814388478e-07	0.00139076416330221	cg17837888	15	92645017	II
cg13152690	0.656497658946354	38.7494928607537	1.33120013909776e-07	0.00139076416330221	cg13152690	14	91695017	II
