	logFC	AveExpr	t	P.Value	adj.P.Val	B	Case_Before_AVG	Control_Before_AVG	deltaBeta	CHR	MAPINFO	Strand	Type	gene	feature	cgi	feat.cgi	UCSC_Islands_Name	SNP_ID	SNP_DISTANCE
cg16879432	0.0427532469047202	0.821089786024714	7.29573887417462	7.54907548102309e-08	0.0381884010880555	7.86394328045933	0.798068806922173	0.840822053826893	0.0427532469047203	19	33786219	R	II		IGR	opensea	IGR-opensea		rs115370843;rs56160221	26;13
cg07696959	0.0533436560835767	0.788147880481222	7.01424945963599	1.53223936999014e-07	0.0381884010880555	7.152823503808	0.759424373359296	0.812768029442873	0.0533436560835767	10	45409683	F	II	TMEM72	Body	opensea	Body-opensea		rs532908604;rs551484796;rs142132851	0;35;45
cg00899855	0.0507489146117374	0.672641616526743	6.79862897935405	2.65196055675368e-07	0.0381884010880555	6.60207748884281	0.645315277889654	0.696064192501392	0.0507489146117374	16	87499925	R	II	ZCCHC14	Body	opensea	Body-opensea		rs531211947;rs117295775	41;7
cg08496828	0.0492823270266294	0.798852649594468	6.75396295200605	2.97307951007994e-07	0.0381884010880555	6.48736679896764	0.772316011964745	0.821598338991374	0.0492823270266294	20	536522	R	II		IGR	opensea	IGR-opensea		rs565096269	1
cg21274440	0.0439677120799583	0.719448241542569	6.71350737372349	3.29799504427688e-07	0.0381884010880555	6.38329051003581	0.695773319653361	0.739741031733319	0.0439677120799586	10	14417400	R	II		IGR	opensea	IGR-opensea		rs555111799;rs138299162;rs531364120	36;25;5
cg25321885	0.0583725383848024	0.633799767035529	6.69335861068869	3.47306588883607e-07	0.0381884010880555	6.33139301776986	0.602368400212943	0.660740938597745	0.0583725383848024	20	61788161	R	II		IGR	island	IGR-island	chr20:61788160-61788669		
cg22695779	0.0598653706941297	0.678268150134689	6.64919274218935	3.89062353030868e-07	0.0381884010880555	6.21749034904495	0.646032950530158	0.705898321224287	0.0598653706941297	6	33313437	F	II		IGR	opensea	IGR-opensea		rs547360968;rs566253015;rs536500523;rs554764460;rs535583463	0;2;15;23;46
cg11081316	0.0453139426247255	0.777494332857084	6.58840904613706	4.55016520271616e-07	0.0381884010880555	6.06041247451054	0.753094517597616	0.798408460222342	0.0453139426247257	16	57829678	F	II	KIFC3	5'UTR	opensea	5'UTR-opensea		rs77865504;rs117904479;rs554190644	8;31;51
cg16993911	0.0570842381045206	0.874956782344375	6.58333679765069	4.61009659989296e-07	0.0381884010880555	6.04728828765504	0.84421911567271	0.901303353777231	0.0570842381045207	10	5638431	F	II		IGR	opensea	IGR-opensea		rs539633450;rs558074609	1;5
cg11610703	0.0527485053861086	0.345614523083586	6.45180439692921	6.47867533830071e-07	0.0473045771485195	5.70609501817924	0.317211481721835	0.369959987107944	0.0527485053861087	8	128755294	R	II		IGR	opensea	IGR-opensea		rs145209387;rs555727382	51;31
cg06855485	0.049577469849703	0.568817683837588	6.37393682872022	7.93109679625369e-07	0.0473045771485195	5.50335210381031	0.542122123149286	0.591699592998989	0.0495774698497031	4	144303008	F	II	GAB1	Body	opensea	Body-opensea		rs535507932	9
cg19905414	0.0449693894377682	0.871703810937805	6.35534601019506	8.32425822343787e-07	0.0473045771485195	5.45486733426119	0.847489524317468	0.892458913755237	0.0449693894377683	2	1487936	R	II	TPO	Body	opensea	Body-opensea		rs114455779;rs551096270;rs116040513;rs114557461;rs568479337;rs115548054;rs187386486	50;48;45;42;29;12;2
cg14732054	0.0926422788716874	0.635622397635924	6.32470802986223	9.01584311189744e-07	0.0473045771485195	5.37489776737876	0.585738093628092	0.678380372499779	0.0926422788716873	1	44878229	F	II	RNF220	Body	opensea	Body-opensea		rs575154952	0
cg21994822	0.0562189074664489	0.472072031779843	6.31755397893482	9.18555632518545e-07	0.0473045771485195	5.35621297439411	0.441800312374832	0.498019219841281	0.056218907466449	11	66741747	R	II	C11orf86	TSS1500	opensea	TSS1500-opensea		rs530152120;rs147490440;rs548827632	42;32;9
cg18849308	0.049692322190992	0.472134176886858	6.29443892747041	9.75638154241885e-07	0.0473045771485195	5.29581169835111	0.44537677263017	0.495069094821162	0.049692322190992	3	194919424	R	II	XXYLT1	Body	opensea	Body-opensea		rs563523794;rs74433277	2;1
cg26211800	0.0651916379254989	0.647168232650048	6.23961364127259	1.12584928148493e-06	0.0473045771485195	5.15236974763778	0.612065042997856	0.677256680923355	0.0651916379254991	6	3848863	R	II	FAM50B	TSS1500	shore	TSS1500-shore	chr6:3849271-3851048	rs7758688;rs74805526;rs558720510	51;28;1
cg25711963	0.064229086161578	0.82071660425368	6.22440574175061	1.17152964971566e-06	0.0473045771485195	5.11253668428066	0.786131711705138	0.850360797866715	0.064229086161578	7	4242866	F	II	SDK1	Body	opensea	Body-opensea		rs552228461;rs565826977;rs111261921;rs17134538	1;6;13;23
cg15338332	0.0272022845948202	0.9247651651059	6.21839375231343	1.19010217175718e-06	0.0473045771485195	5.09678469187416	0.910117781093304	0.937320065688125	0.0272022845948205	6	149517406	R	II		IGR	opensea	IGR-opensea		rs563014071	33
cg05729015	0.0518644208470886	0.872486609770695	6.21345857164432	1.20557103934644e-06	0.0473045771485195	5.08385186129588	0.844559613929955	0.896424034777044	0.0518644208470886	10	10135225	F	II		IGR	opensea	IGR-opensea		rs186122393	1
