	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP	LCP
chr10:11753080-11753100	NA	0	NA	NA	NA	NA	NA	0.0087719298245614	0.0185185185185185	0.0087719298245614	0	0	0.0185185185185185	0.0416666666666667	0	0.0416666666666667	0	0	0.15	0	NA	0.0541125541125541	0.0277777777777778	0	0.449128896148088	0.577000192789666	0.0208333333333333	0.0555555555555556	0.0694444444444444	0.513888888888889	0.822222222222222	0.23478835978836	0	0	0.416666666666667	0	NA	NA	NA	NA	0.74982000443066	1	0.5	0.791666666666667	0.125	1	0.707491582491583	0.666666666666667	0.819786096256685	0.841269841269841	1	0.542328042328042	NA	NA	0
chr10:95270990-95271181	NA	0	NA	NA	NA	NA	NA	0.166666666666667	0.2	0.166666666666667	0.348484848484848	0	0.2	0.151515151515152	0.348484848484848	0.151515151515152	0	0.166666666666667	0.166666666666667	0.133333333333333	0.3	0	0	0.0833333333333333	0.228070175438597	0.736111111111111	0.333333333333333	0.4	0.428571428571429	0.833333333333333	1	0.857142857142857	1	0.5	0.714285714285714	0.5	1	NA	NA	NA	0.555555555555555	0.341269841269841	0.833333333333333	0.904761904761905	0.661904761904762	0.0833333333333333	0.933333333333333	0.5	0	0.958333333333333	0.0952380952380952	0.166666666666667	0	NA	0
chr11:45674840-45674989	NA	NA	NA	NA	NA	NA	NA	0.114197530864198	0.0277777777777778	0.114197530864198	0.0652173913043478	0.166666666666667	0.0277777777777778	0.0833333333333333	0.0652173913043478	0.0833333333333333	0.166666666666667	0.111111111111111	0.163888888888889	0.111111111111111	0.148148148148148	0.0833333333333333	0	0.0555555555555556	0.0555555555555556	0.0229885057471264	0.75	0.333333333333333	0.5	0.75	0.0833333333333333	0.0555555555555556	0.833333333333333	0.0555555555555556	0.166666666666667	0.1	NA	NA	NA	NA	0.148888888888889	0.0769230769230769	1	0.133333333333333	0.866666666666667	0.866666666666667	0.966666666666667	0.972222222222222	0.0833333333333333	0.166666666666667	0.888888888888889	0.958333333333333	NA	NA	1
chr12:29734673-29734773	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	0.0520833333333333	0.0277777777777778	0.0151515151515152	0.0666666666666667	0.0520833333333333	0.0166666666666667	0.0151515151515152	0.0166666666666667	0.0666666666666667	0.0476190476190476	0.0555555555555556	0.0151515151515152	0.0256410256410256	0.0151515151515152	0.130952380952381	0	0.0166666666666667	0.0530913978494624	0.355555555555556	0.0555555555555556	0.476190476190476	0.037037037037037	0.5	0.287878787878788	0	0.515151515151515	0.224242424242424	0.5	NA	NA	NA	0	0.0648148148148148	0.284848484848485	0.958333333333333	0.0952380952380952	0.5	0.416666666666667	0.0166666666666667	0.5	0.863095238095238	0.314814814814815	0.652777777777778	0.239316239316239	NA	NA	NA
chr13:100006929-100007044	NA	0	NA	NA	NA	NA	NA	0	0	0	0.0666666666666667	0.466666666666667	0	0	0.0666666666666667	0	0.466666666666667	0.0238095238095238	0	0.0238095238095238	0	0	0.0238095238095238	0	0.223852642358585	0.0696774193548387	0.0909090909090909	0.111111111111111	0.444444444444444	0.866666666666667	0.8	0.407407407407407	0	0.133333333333333	0.0666666666666667	0.240740740740741	NA	NA	NA	NA	0.0557569764886838	0.952380952380952	0.555555555555555	0.512962962962963	0.194444444444444	0.816666666666667	0.811111111111111	0.533333333333333	0.623015873015873	0.145833333333333	0.869408369408369	0.523809523809524	NA	0	NA
chr13:46878041-46878145	NA	NA	NA	NA	NA	NA	NA	0.0512820512820513	0	0.0512820512820513	0.133333333333333	0.0952380952380952	0	0.0833333333333333	0.133333333333333	0.0833333333333333	0.0952380952380952	0	0.0740740740740741	0.0666666666666667	0.0952380952380952	0.0555555555555556	0.0208333333333333	0	0.809523809523809	0.266666666666667	0.142857142857143	NA	0.666666666666667	0.0416666666666667	0.533333333333333	0.5	0.0555555555555556	0.133333333333333	0.571428571428572	0.0555555555555556	NA	NA	NA	NA	0.481481481481481	0.345029239766082	1	0.5	0.159090909090909	1	0.65	0.593434343434343	0.658730158730159	0.916666666666667	0.766666666666667	0.986111111111111	NA	NA	NA
chr14:60053112-60053182	NA	NA	NA	NA	NA	NA	NA	0.0128205128205128	0.152777777777778	0.0128205128205128	0.0833333333333333	0	0.152777777777778	0.00574712643678161	0.0833333333333333	0.00574712643678161	0	0.188888888888889	0.111111111111111	0.244444444444444	0.111111111111111	0	0.0277777777777778	0.0277777777777778	0.347459349593496	0.227124183006536	0.377777777777778	0.0666666666666667	0.716666666666667	0.05	0.21025641025641	0.3	0.0185185185185185	0.037037037037037	0	0.071078431372549	NA	NA	NA	NA	0.0522286026797922	1	1	0.273809523809524	0.583333333333333	0.654403567447046	0.688725490196079	0.615384615384615	0.738888888888889	0.808333333333333	0.726010101010101	0.70467032967033	NA	NA	1
chr16:22003084-22003170	NA	NA	NA	NA	NA	NA	NA	0.0256410256410256	0.0333333333333333	0.0256410256410256	0.132478632478632	0.222222222222222	0.0333333333333333	0.0714285714285714	0.132478632478632	0.0714285714285714	0.222222222222222	0.0972222222222222	0.476190476190476	0.25	0.0416666666666667	0.317460317460317	0.1875	0.0833333333333333	0.31043771043771	0.436379928315412	0.5	0.365079365079365	1	0.239316239316239	0.142857142857143	0.690058479532164	0.466666666666667	0.388888888888889	0.425438596491228	0.314814814814815	NA	NA	NA	NA	0.19031007751938	0.952380952380952	1	0.559912854030501	0.944444444444445	0.682539682539682	0.23015873015873	0.571428571428572	0.738095238095238	0.0476190476190476	0.694444444444444	0.933333333333333	NA	0	NA
chr16:89024942-89025038	0	0	NA	NA	NA	NA	NA	0	0.0277777777777778	0	0	0	0.0277777777777778	0.0972222222222222	0	0.0972222222222222	0	0	0.317460317460317	0	NA	0	0	0	0.681717501815541	0.53937910035471	0.5	1	0.347222222222222	0.555555555555555	0.296296296296296	0.491228070175439	0.712121212121212	0.0625	0.40952380952381	0.0333333333333333	NA	NA	0	NA	0.427968574635241	0.657692307692308	1	0.5	0.666666666666667	1	1	1	1	1	1	1	NA	0.0555555555555556	0.0555555555555556
chr17:70715577-70715735	0	NA	NA	NA	NA	NA	NA	0.3	0.111721611721612	0.3	0.0181818181818182	0.0333333333333333	0.111721611721612	0.0238095238095238	0.0181818181818182	0.0238095238095238	0.0333333333333333	0.317460317460317	0	0.1	0.0833333333333333	NA	0	0	0.203253968253968	0.243333333333333	0.5	0	0.355555555555556	0.405555555555556	0.5	0	0.0606060606060606	0.213675213675214	0.0277777777777778	0.184615384615385	1	NA	NA	NA	0.710459770114942	0.467222222222222	0.533333333333333	1	0.233333333333333	1	0.361111111111111	0.861111111111111	1	1	0.916666666666667	1	NA	NA	0
