region	group	GSI
chr1:145382444-145382498	Liver	0.879365277
chr8:7212630-7212733	Liver	0.871781033
chr18:77267926-77268015	Liver	0.866545921
chr20:50109149-50109182	Liver	0.866324895
chr7:158751037-158751102	Liver	0.864337303
chr12:3310165-3310205	Liver	0.858374816
chr9:137348471-137348534	Liver	0.854337594
chr15:70316347-70316454	Thymus	0.852960161
chr1:6113056-6113225	Thymus	0.852932778
chr16:72821625-72821652	Liver	0.851684931
chr9:134298905-134298949	Thymus	0.849814708
chr22:50026162-50026187	Thymus	0.849174849
chr8:10588991-10589015	Liver	0.846302804
chr11:70508398-70508501	Liver	0.846098781
chr19:18811708-18811746	Liver	0.844431798
chr7:158751132-158751167	Liver	0.844037455
chr8:96085464-96085476	Liver	0.844019504
chr18:13612018-13612068	Liver	0.843686177
chr20:33147107-33147120	Thymus	0.842378734
chr3:119528638-119528655	Liver	0.841396185
chr19:14260581-14260615	Liver	0.83962726
chr14:34269206-34269273	Liver	0.839035484
chr14:38092032-38092054	Stomach	0.838389326
chr11:504929-504940	Liver	0.834675853
chr9:136921088-136921168	Thymus	0.833764814
chr5:76464151-76464218	Thymus	0.833487225
chr16:85208078-85208124	Thymus	0.832177974
chr2:20870388-20870423	Liver	0.830859189
chr18:21562513-21562574	Thymus	0.83068506
chr20:56203462-56203510	Liver	0.829929887
chr7:27169698-27169726	Thymus	0.829357451
chr2:242802034-242802098	Liver	0.828627106
chr17:40937223-40937269	Liver	0.828581837
chr8:7212507-7212578	Liver	0.827850127
chr17:72352903-72353082	Brain	0.827432501
chr4:38870071-38870141	Thymus	0.826602013
chr3:196227827-196227882	Liver	0.826343276
chr17:1092367-1092446	Thymus	0.825256713
chr1:156217149-156217177	Thymus	0.824657099
chr6:1619913-1619955	Stomach	0.82427149
chr1:48449949-48449979	Liver	0.824224385
chr7:42896894-42896969	Liver	0.823441859
chr7:42896292-42896319	Brain	0.823234725
chr17:2078286-2078342	Thymus	0.823047494
chr9:73095736-73095762	Thymus	0.822471907
chr10:105344381-105344439	Pancreas	0.82235091
chr14:77492661-77492691	Thymus	0.82225605
chr18:13501415-13501442	Thymus	0.821639713
chr7:56147263-56147310	Thymus	0.820882952
chr9:134278323-134278391	Thymus	0.820482906
chr19:10445826-10445859	Thymus	0.82010563
chr9:130517759-130517990	Thymus	0.818622524
chr2:66673584-66673624	Liver	0.818319542
chr19:2059725-2059809	Thymus	0.818058516
chr11:65374453-65374489	Thymus	0.817819311
chr19:13125032-13125103	Liver	0.817579385
chr20:50108911-50108971	Liver	0.81660047
chr16:87397630-87397738	Thymus	0.816583693
chr17:36621368-36621404	Thymus	0.816315377
chr1:92316962-92317192	Thymus	0.815979893
chr19:1154983-1155029	Thymus	0.815889662
