	chr	start	end	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea
Block_1	1	13796840	50689713	0.00645333888311338	41.3659022407568	3	2448	8857	6410	9593	0	0	0	0
Block_2	22	21805897	51182471	0.00690092846342297	34.6840664571639	221	175588	180613	5026	5026	0	0	0	0
Block_3	5	119740479	162998734	0.00614780473945951	31.4337256328565	72	224491	229603	5113	8794	0	0	1.82962529274005e-06	0.002
Block_4	11	56112205.75	88438399	0.00591322558219407	27.6029370176819	154	49461	54128	4668	4756	0	0	1.82962529274005e-06	0.002
Block_5	20	41574350	62913080	0.00758503876394973	27.2075340462877	214	167914	171500	3587	3587	0	0	1.82962529274005e-06	0.002
Block_6	9	114600634	141102504	0.00660936837900817	26.4639109895487	135	285993	289996	4004	4713	0	0	3.65925058548009e-06	0.004
Block_7	8	116800706	146160024	0.00603273948334547	26.2424167525528	117	275594	279943	4350	4557	0	0	5.48887587822014e-06	0.006
Block_8	12	93042545	122826303.666667	0.00568068189122008	24.2849150849658	164	69078	73352	4275	7249	0	0	1.09777517564403e-05	0.01
Block_9	8	7693497	38812690	0.00590072770813945	21.8976005249055	109	265707	269417	3711	4280	0	0	1.64666276346604e-05	0.012
Block_10	11	108276513.5	128116707	0.00696401117213487	21.5536145777574	157	55505	58599	3095	4801	0	0	2.01258782201405e-05	0.012
Block_11	2	18435	24740363	0.00669390047405381	21.0991742942176	20	137935	141086	3152	10151	0	0	2.19555035128806e-05	0.014
Block_12	16	72613621.5	90130196.5	0.0067707894750789	20.1092447409843	196	110767	113736	2970	6134	0	0	2.19555035128806e-05	0.014
Block_13	5	12322	33988320	0.0065666468442447	19.0170092609327	65	214646	217541	2896	2910	0	0	2.74443793911007e-05	0.014
Block_14	20	29518816	41319967	0.00686873160811285	12.0614927038462	213	166158	167913	1756	1756	0	0	0.000146370023419204	0.036
Block_15	11	129169138	134945795.5	0.00769302205906191	5.79284561047362	157	58830	59582	753	4801	0	0	0.00135575234192037	0.136
Block_16	16	46512538	72347829	0.00611504504657009	19.2012414462301	196	107603	110742	3140	6134	1.82962529274005e-06	0.002	2.56147540983607e-05	0.014
Block_17	6	225958	18596070	0.00613512996108606	17.9023092264491	73	231988	234905	2918	3384	1.82962529274005e-06	0.002	3.65925058548009e-05	0.016
Block_18	14	93942386.6666667	107288070	0.00667833582233305	16.181607697513	175	90766	93188	2423	8200	1.82962529274005e-06	0.002	5.67183840749415e-05	0.024
Block_19	5	163236516	180565439	0.00669774982447269	15.6727345892661	72	229617	231956	2340	8794	1.82962529274005e-06	0.002	6.03776346604215e-05	0.024
Block_20	10	121430425	135430378	0.0066421896902669	13.6961951413304	147	41621	43682	2062	6142	1.82962529274005e-06	0.002	8.78220140515222e-05	0.028
