CHR	Dmr.Start	Dmr.End	Delta.beta	meth.Pvalue	Meth.Status	Gene.Symbol	Expression.FC	Expression.Pvalue	Expression.Status
1	1397271	1397553	0.107591212065737	3.27762796932672e-10	Hypomethylation	ATAD3C	2.23	3.66507129010261e-08	Overexpression
1	1851356	1858166	0.149139042680357	7.80464896654484e-66	Hypomethylation	TMEM52	5.22	5.87446964630796e-19	Overexpression
1	1860021	1863576	0.141923158931417	1.03607131679062e-11	Hypomethylation	TMEM52	5.22	5.87446964630796e-19	Overexpression
1	1985495	1986919	0.173680964705234	2.41671831835868e-07	Hypomethylation	PRKCZ	2.31	2.39955921406978e-07	Overexpression
1	3607019	3607194	0.273168168437548	1.12589510154953e-18	Hypomethylation	TP73	3.92	6.63460521147576e-10	Overexpression
1	3615074	3616078	0.289285736101256	1.09282401369506e-24	Hypomethylation	TP73	3.92	6.63460521147576e-10	Overexpression
1	3619574	3621373	0.151156773125986	5.38505493807461e-09	Hypomethylation	TP73	3.92	6.63460521147576e-10	Overexpression
1	10490024	10490077	0.1662975494689	1.85125294452859e-29	Hypomethylation	APITD1	1.63	1.9390780161751e-07	Overexpression
1	11557689	11560437	0.139688623376217	4.48949098674954e-08	Hypomethylation	PTCHD2	8.09	7.07951460048651e-08	Overexpression
1	11596422	11596578	0.17390315480906	2.06409090508891e-10	Hypomethylation	PTCHD2	8.09	7.07951460048651e-08	Overexpression
1	20138827	20142829	0.22099920299422	2.87289043435242e-28	Hypomethylation	RNF186	15.51	5.27331584569081e-07	Overexpression
1	26503675	26504335	0.172374503842135	1.6227432179223e-31	Hypomethylation	CNKSR1	2.42	4.27949339739282e-07	Overexpression
1	32802231	32802372	0.147969908390106	2.94552394097062e-14	Hypomethylation	MARCKSL1	2.59	3.9671313445459e-08	Overexpression
1	34090633	34090789	0.174413571717867	1.28326750581076e-17	Hypomethylation	CSMD2	3.22	1.47646559459941e-10	Overexpression
1	34174853	34175633	0.23388940239097	5.45224182715498e-20	Hypomethylation	CSMD2	3.22	1.47646559459941e-10	Overexpression
1	42626448	42630450	0.116507517631428	0.000156833444430628	Hypomethylation	GUCA2A	75.64	7.17769106954094e-07	Overexpression
1	50791006	50793095	0.169627519082048	2.50960097558102e-10	Hypomethylation	DMRTA2	13.29	6.8746327288003e-16	Overexpression
1	92012573	92012892	0.142821275676336	1.29579020622049e-08	Hypomethylation	CDC7	3	5.55309937437273e-10	Overexpression
1	110254557	110255412	-0.268776798042553	5.79760550224449e-90	Hypermethylation	GSTM5	0.1	2.30420259528372e-06	lowexpression
1	110306306	110306708	0.142695993958305	1.426342560181e-08	Hypomethylation	EPS8L3	6.51	5.53892712025616e-08	Overexpression
1	113289311	113292745	0.134354241350841	7.57350565307002e-11	Hypomethylation	FAM19A3	10.84	1.7087789256778e-09	Overexpression
1	155161643	155161925	0.334513712488839	7.16462476898003e-23	Hypomethylation	MUC1	2.94	4.32268236235043e-07	Overexpression
1	159870068	159870086	0.10470234167936	5.06397187073456e-09	Hypomethylation	CCDC19	3.05	3.00785699795779e-07	Overexpression
1	183155257	183155960	0.14272498990931	2.12643845933991e-68	Hypomethylation	LAMC2	7.01	1.8342872228328e-08	Overexpression
1	203192201	203193036	0.246720218449763	5.99268048441258e-17	Hypomethylation	CHIT1	16.94	3.16843778232532e-07	Overexpression
1	228644857	228645023	0.112311618438412	5.82962002306569e-26	Hypomethylation	HIST3H2BB	6.19	6.23270136662311e-29	Overexpression
1	230455960	230461115	0.131035718830074	2.12427636436806e-13	Hypomethylation	PGBD5	2.56	1.09057473946281e-06	Overexpression
1	230468621	230468777	0.168639646592288	1.95986029293504e-09	Hypomethylation	PGBD5	2.56	1.09057473946281e-06	Overexpression
1	245727051	245727974	0.184894895234359	8.11267335300651e-13	Hypomethylation	KIF26B	6.92	1.13144313615698e-30	Overexpression
1	246363258	246364013	0.104719799460015	3.91046365087992e-09	Hypomethylation	SMYD3	1.74	1.23675762076101e-06	Overexpression
2	10302075	10302778	0.295649818043326	1.9512400443179e-18	Hypomethylation	C2orf48	6.24	5.35815239802853e-14	Overexpression
2	10666580	10666744	0.241402345162643	1.8177831842147e-22	Hypomethylation	NOL10	1.42	1.31519370727581e-08	Overexpression
2	10686079	10689610	0.220246376580949	1.09739049682206e-33	Hypomethylation	NOL10	1.42	1.31519370727581e-08	Overexpression
2	10974387	10976570	0.151982215727645	1.63894937519112e-29	Hypomethylation	PDIA6	1.76	1.41056174725195e-12	Overexpression
2	43187955	43189824	-0.196348306487507	4.39509786442339e-22	Hypermethylation	HAAO	0.19	2.19772485799062e-06	lowexpression
2	44103056	44107058	0.183797384085746	9.80748307298564e-27	Hypomethylation	ABCG8	29.9	7.21222886937745e-08	Overexpression
2	74669348	74669414	0.176866318513631	2.79580238481704e-33	Hypomethylation	RTKN	2.8	8.10557597225824e-12	Overexpression
2	74729473	74729629	0.13496044135855	9.80505177180636e-16	Hypomethylation	LOC151534	2.3	1.57464536508105e-09	Overexpression
2	75718344	75722346	0.277337139573126	8.87848569437648e-13	Hypomethylation	FAM176A	14.47	2.42177731613708e-22	Overexpression
2	75783378	75786126	0.271917734463194	5.46591252249985e-15	Hypomethylation	FAM176A	14.47	2.42177731613708e-22	Overexpression
2	97170493	97171887	0.162167042445569	2.64195914023329e-23	Hypomethylation	NEURL3	5.87	1.79576474478445e-06	Overexpression
2	128174633	128177828	0.132171643964867	5.75115656363771e-12	Hypomethylation	PROC	3.45	4.4935395657822e-07	Overexpression
2	128458180	128458341	0.262348296313627	3.32600374723059e-29	Hypomethylation	SFT2D3	1.65	3.89470286514639e-08	Overexpression
2	130938077	130938478	0.105927324741864	2.12526106696723e-13	Hypomethylation	SMPD4	1.65	1.01924383511367e-30	Overexpression
2	189597295	189601297	0.251865614061057	3.3877116289326e-26	Hypomethylation	DIRC1	8.57	4.60000945102766e-15	Overexpression
2	242138400	242138799	0.156492912433382	2.50309330673323e-15	Hypomethylation	ANO7	2.66	3.95891250432836e-13	Overexpression
3	52487970	52488104	0.143743883976836	4.8211477610507e-06	Hypomethylation	TNNC1	3.49	5.86415348618942e-08	Overexpression
3	118864927	118865109	0.113685907517473	7.4605602854077e-09	Hypomethylation	C3orf30	11.76	2.12292740962805e-09	Overexpression
3	127005721	127008490	0.113340035656392	5.784749215488e-09	Hypomethylation	TPRA1	1.56	3.87950133855229e-07	Overexpression
3	160121177	160123147	0.162001059992453	8.41494196129176e-12	Hypomethylation	SMC4	2.15	2.2801608140582e-06	Overexpression
3	178984546	178984948	0.135163116427195	2.267669345826e-06	Hypomethylation	KCNMB3	1.94	3.15315788674051e-12	Overexpression
