14	0.174	0.174	0.174	0.174	0.13	0.217	0.13	0.13	0.381	0.158	0.136	0.087	0.091	0.136	0.174	0.174	0.217	0.13	0.478	0.391	0.348	0.87	T
15	0.37	0.333	0.37	0.37	0.185	0.444	0.37	0.481	0.385	0.304	0.296	0.154	0.259	0.115	0.259	0.259	0.296	0.259	0.815	0.593	0.704	0.778	N
17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
172	0.082	0.041	0.041	0.102	0.02	0.082	0.082	0.102	0.146	0.064	0.062	0.102	0.149	0.116	0.02	0.041	0.102	0.122	0.265	0.188	0.143	0.796	T
177	0.65	0.35	0.3	0.45	0.5	0.6	0.6	0.5	0.55	0.333	0.125	0.45	0.5	0.35	0.4	0.4	0.474	0.55	0.8	0.7	0.65	0.8	T
18	0.739	0.826	0.826	0.87	0.826	0.87	0.783	0.652	0.636	0.429	0.609	0.739	0.818	0.826	0.652	0.696	0.609	0.652	0.913	0.783	0.87	0.696	T
19	0.65	0.75	0.789	0.7	0.579	0.684	0.6	0.6	0.65	0.7	0.632	0.55	0.842	0.737	0.65	0.65	0.684	0.7	0.9	0.85	0.75	0.9	N
22	0.383	0.188	0.167	0.167	0.106	0.312	0.25	0.25	0.104	0.152	0.128	0.125	0.261	0.087	0.104	0.125	0.188	0.146	0.438	0.271	0.312	0.915	N
25	0.124	0.132	0.101	0.124	0.07	0.202	0.109	0.078	0.07	0.056	0.055	0.07	0.086	0.116	0.039	0.101	0.094	0.047	0.349	0.194	0.147	0.814	N
27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T
31	0.826	0.826	0.783	0.739	0.565	0.864	0.87	0.783	0.87	0.864	0.773	0.87	0.864	0.87	0.913	0.826	0.87	0.826	1	0.913	0.909	0.909	T
32	0.077	0.154	0.077	0	0	0.077	0.077	0.154	0.077	0	0.154	0.077	0.077	0.167	0	0.231	0.538	0.077	0.385	0.154	0.154	0.692	N
34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
36	0.333	0.389	0.5	0.444	0.278	0.556	0.5	0.444	0.444	0.467	0.444	0.353	0.333	0.333	0.333	0.278	0.333	0.444	0.722	0.444	0.444	0.778	N
39	0.652	0.652	0.652	0.652	0.609	0.826	0.696	0.652	0.696	0.565	0.636	0.783	0.739	0.682	0.682	0.696	0.652	0.696	0.87	0.652	0.783	0.87	T
